cue_word,association_word,cue_valence,associated_valence
art,beauty,1,1
art,expression,1,0
art,creativity,1,1
history,past,0,-1
history,story,0,0
history,culture,0,0
society,people,-1,1
society,change,-1,-1
society,rule,-1,-1
experiment,science,0,0
experiment,test,0,-1
experiment,discovery,0,1
informatic,technology,-1,0
informatic,datum,-1,-1
informatic,cod,-1,-1
number,math,-1,-1
number,calculation,-1,-1
number,logic,-1,-1
philosophy,think,0,0
philosophy,mean,0,1
philosophy,wisdom,0,1
success,achievement,1,1
success,effort,1,0
success,reward,1,1
class,student,-1,0
class,teacher,-1,0
class,lesson,-1,-1
career,job,0,0
career,growth,0,1
career,future,0,0
model,design,-1,0
model,example,-1,-1
model,structure,-1,-1
job,work,0,-1
job,salary,0,0
job,responsibility,0,-1
datum,information,-1,0
datum,analysis,-1,-1
datum,fact,-1,-1
future,hope,0,1
future,opportunity,0,1
future,uncertainty,0,-1
work,effort,-1,0
work,routine,-1,-1
work,productivity,-1,0
ai,technology,-1,0
ai,future,-1,0
ai,complexity,-1,-1
creativity,art,1,1
creativity,innovation,1,1
creativity,freedom,1,1
variable,change,-1,-1
variable,factor,-1,-1
variable,unknown,-1,-1
scientist,discovery,0,1
scientist,experiment,0,0
scientist,knowledge,0,1
chemistry,science,-1,0
chemistry,element,-1,-1
chemistry,reaction,-1,-1
grade,exam,-1,-1
grade,effort,-1,0
grade,score,-1,-1
exam,stress,-1,-1
exam,knowledge,-1,1
exam,grade,-1,-1
llm,technology,-1,0
llm,language,-1,0
llm,ai,-1,-1
knowledge,learn,1,1
knowledge,wisdom,1,1
knowledge,power,1,0
literature,story,1,0
literature,language,1,1
literature,art,1,1
failure,stress,-1,-1
failure,regret,-1,-1
failure,sweat,-1,-1
professor,lecture,0,-1
professor,blackboard,0,-1
professor,authority,0,-1
computation,algorithm,-1,0
computation,code,-1,-1
computation,equation,-1,-1
proof,logic,1,1
proof,theorem,1,0
proof,math,1,-1
biology,nature,0,1
biology,life,0,1
biology,experiment,0,-1
study,homework,-1,-1
study,library,-1,0
study,focus,-1,0
student,note,-1,-1
student,exam,-1,-1
student,classroom,-1,-1
homework,deadline,-1,-1
homework,boredom,-1,-1
homework,effort,-1,-1
algorithm,step,0,0
algorithm,logic,0,1
algorithm,computer,0,-1
blackboard,chalk,-1,-1
blackboard,lecture,-1,-1
blackboard,formula,-1,-1
mathematic,number,-1,-1
mathematic,proof,-1,1
mathematic,challenge,-1,-1
equation,solve,-1,0
equation,symbol,-1,-1
equation,complex,-1,-1
classroom,desk,-1,-1
classroom,teacher,-1,0
classroom,quiet,-1,-1
anxiety,pressure,-1,-1
anxiety,nervous,-1,-1
anxiety,fear,-1,-1
stem,science,-1,0
stem,math,-1,-1
stem,future,-1,0
logic,reason,1,1
logic,proof,1,1
logic,clear,1,1
problem - solve,challenge,1,0
problem - solve,creative,1,1
problem - solve,solution,1,1
teacher,guide,1,1
teacher,knowledge,1,1
teacher,respect,1,1
lecture,note,-1,-1
lecture,professor,-1,0
lecture,boredom,-1,-1
science,discovery,1,1
science,experiment,1,0
science,curiosity,1,1
teamwork,collaboration,1,1
teamwork,support,1,1
teamwork,fun,1,1
music,art,1,1
music,emotion,1,1
music,relax,1,1
physics,law,-1,0
physics,universe,-1,1
physics,complex,-1,-1
chatgpt,ai,0,0
chatgpt,help,0,1
chatgpt,future,0,0
theorem,proof,1,1
theorem,logic,1,1
theorem,elegant,1,1
