cue_word,association_word,cue_valence,associated_valence
theorem,proof,1,1
theorem,logic,1,1
theorem,demonstration,1,1
blackboard,chalk,0,-1
blackboard,chalkboard,0,0
blackboard,classroom,0,0
future,innovation,1,1
future,hope,1,0
future,progress,1,1
professor,knowledge,0,1
professor,lecture,0,0
professor,expert,0,0
society,community,0,0
society,culture,0,0
society,interaction,0,-1
lecture,classroom,0,0
lecture,knowledge,0,1
lecture,presentation,0,0
classroom,education,0,1
classroom,student,0,0
classroom,learn,0,1
teacher,mentor,1,1
teacher,instructor,1,0
teacher,guide,1,1
informatic,computer,0,0
informatic,datum,0,0
informatic,technology,0,0
success,achievement,1,1
success,goal,1,0
success,win,1,0
datum,information,0,0
datum,analysis,0,0
datum,statistic,0,-1
chatgpt,assistant,0,0
chatgpt,ai,0,0
chatgpt,dialogue,0,-1
student,learner,0,0
student,scholar,0,-1
student,education,0,1
physics,experiment,0,0
physics,theory,0,0
physics,science,0,1
stem,science,1,1
stem,technology,1,1
stem,engineering,1,1
literature,fiction,-1,-1
literature,read,-1,0
literature,analysis,-1,-1
homework,assignment,-1,-1
homework,study,-1,0
homework,practice,-1,-1
philosophy,think,1,1
philosophy,wisdom,1,1
philosophy,question,1,0
model,representation,0,0
model,framework,0,0
model,prototype,0,-1
biology,life,-1,1
biology,cell,-1,-1
biology,ecology,-1,0
knowledge,learn,1,1
knowledge,information,1,0
knowledge,understand,1,1
problem - solve,logic,1,1
problem - solve,analysis,1,1
problem - solve,strategy,1,1
history,past,0,-1
history,event,0,-1
history,record,0,-1
mathematic,calculation,1,0
mathematic,proof,1,1
mathematic,formula,1,0
science,experiment,1,1
science,discovery,1,1
science,research,1,1
work,dedication,0,0
work,achievement,0,1
work,balance,0,-1
proof,verification,-1,0
proof,certainty,-1,0
proof,evidence,-1,0
music,harmony,1,1
music,emotion,1,1
music,rhythm,1,0
grade,performance,-1,0
grade,evaluation,-1,-1
grade,score,-1,-1
algorithm,logic,0,0
algorithm,calculation,0,-1
algorithm,pattern,0,0
variable,change,-1,-1
variable,parameter,-1,-1
variable,flexibility,-1,0
ai,innovation,0,1
ai,future,0,0
ai,machine,0,-1
class,group,-1,0
class,learn,-1,0
class,structure,-1,-1
logic,reasoning,0,1
logic,order,0,0
logic,clarity,0,1
study,learn,0,0
study,research,0,0
study,discipline,0,-1
job,career,0,0
job,income,0,-1
job,responsibility,0,-1
computation,calculation,-1,-1
computation,algorithm,-1,0
computation,process,-1,-1
career,future,1,0
career,growth,1,1
career,ambition,1,0
teamwork,collaboration,1,1
teamwork,cooperation,1,1
teamwork,unity,1,0
anxiety,stress,-1,-1
anxiety,worry,-1,-1
anxiety,tension,-1,-1
llm,language,0,0
llm,model,0,0
llm,ai,0,0
number,calculation,-1,-1
number,datum,-1,0
number,logic,-1,0
exam,test,-1,-1
exam,challenge,-1,-1
exam,pressure,-1,-1
scientist,research,1,0
scientist,experiment,1,0
scientist,discovery,1,1
creativity,innovation,1,1
creativity,imagination,1,1
creativity,expression,1,0
art,expression,1,1
art,aesthetic,1,1
art,imagination,1,1
equation,formula,-1,-1
equation,solution,-1,0
equation,balance,-1,-1
experiment,trial,0,-1
experiment,research,0,0
experiment,discovery,0,1
failure,challenge,-1,-1
failure,mistake,-1,-1
failure,growth,-1,0
chemistry,reaction,0,0
chemistry,experiment,0,0
chemistry,molecule,0,-1
