cue_word,association_word,cue_valence,associated_valence
llm,language,0,0
llm,model,0,-1
llm,ai,0,-1
work,career,0,0
work,job,0,0
work,task,0,0
future,prospect,-1,0
future,goal,-1,0
future,hop,-1,-1
professor,teacher,0,-1
professor,mentor,0,0
professor,knowledge,0,0
problem - solve,critical thinking,0,0
problem - solve,analytical,0,0
problem - solve,solution,0,0
philosophy,think,-1,0
philosophy,reasoning,-1,0
philosophy,idea,-1,-1
student,learner,0,-1
student,education,0,0
student,scholarship,0,0
lecture,classroom,0,0
lecture,lesson,0,-1
lecture,teach,0,0
algorithm,process,-1,0
algorithm,formula,-1,0
algorithm,datum,-1,-1
chemistry,science,0,0
chemistry,molecule,0,-1
chemistry,lab,0,-1
grade,score,0,0
grade,evaluation,0,-1
grade,success,0,0
informatic,compute,0,0
informatic,software,0,0
informatic,datum,0,-1
literature,book,0,0
literature,story,0,-1
literature,write,0,0
logic,reasoning,-1,0
logic,argument,-1,0
logic,validity,-1,-1
mathematic,number,0,-1
mathematic,equation,0,0
mathematic,calculation,0,0
equation,formula,-1,0
equation,solve,-1,-1
equation,balance,-1,-1
job,career,0,0
job,employment,0,0
job,responsibility,0,-1
science,research,0,0
science,experiment,0,-1
science,knowledge,0,0
history,past,0,0
history,event,0,0
history,lesson,0,-1
class,school,-1,0
class,education,-1,0
class,learn,-1,0
exam,assessment,-1,0
exam,test,-1,-1
exam,performance,-1,0
homework,assignment,-1,-1
homework,task,-1,0
homework,practice,-1,0
datum,information,0,0
datum,fact,0,0
datum,detail,0,-1
proof,evidence,-1,0
proof,verification,-1,0
proof,certainty,-1,-1
stem,science,-1,0
stem,technology,-1,0
stem,engineering,-1,-1
computation,number,0,0
computation,equation,0,0
computation,algorithm,0,-1
teacher,education,0,0
teacher,knowledge,0,0
teacher,mentor,0,0
physics,science,0,0
physics,theory,0,0
physics,experiment,0,0
knowledge,learn,0,0
knowledge,wisdom,0,0
knowledge,understand,0,0
teamwork,collaboration,0,0
teamwork,partnership,0,0
teamwork,cooperation,0,0
model,representation,0,0
model,simulation,0,-1
model,design,0,0
ai,machine learn,0,0
ai,artificial intelligence,0,0
ai,automation,0,-1
number,statistic,0,0
number,datum,0,0
number,calculation,0,0
theorem,mathematic,0,0
theorem,proof,0,0
theorem,theory,0,0
career,job,0,0
career,profession,0,0
career,goal,0,0
anxiety,stress,-1,-1
anxiety,worry,-1,-1
anxiety,nervousness,-1,-1
biology,life,0,0
biology,ecology,0,0
biology,cell,0,0
failure,mistake,-1,-1
failure,setback,-1,-1
failure,disappointment,-1,-1
classroom,learn,0,0
classroom,education,0,0
classroom,structure,0,0
variable,parameter,0,0
variable,factor,0,0
variable,condition,0,-1
study,research,0,0
study,analysis,0,0
study,learn,0,0
music,melody,0,0
music,harmony,0,0
music,performance,0,0
success,achievement,0,0
success,accomplishment,0,0
success,prosperity,0,0
chatgpt,language model,0,0
chatgpt,conversation ai,0,-1
chatgpt,ai assistant,0,0
blackboard,write,0,0
blackboard,chalk,0,0
blackboard,teach,0,0
society,culture,0,0
society,community,0,0
society,value,0,0
art,creativity,0,0
art,expression,0,0
art,beauty,0,0
experiment,research,0,0
experiment,trial,0,0
experiment,discovery,0,-1
creativity,imagination,0,0
creativity,innovation,0,0
creativity,originality,0,0
scientist,researcher,0,0
scientist,discoverer,0,0
scientist,explorer,0,0
