cue_word,association_word,cue_valence,associated_valence
number,abstraction,1,0
number,precision,1,1
number,calculation,1,1
theorem,proof,1,1
theorem,logic,1,1
theorem,truth,1,1
future,uncertainty,0,-1
future,possibility,0,0
future,change,0,1
teacher,guidance,1,1
teacher,education,1,1
teacher,expert,1,1
ai,intelligence,0,1
ai,automation,0,-1
ai,future tech,0,1
creativity,innovation,1,1
creativity,imagination,1,1
creativity,artistic,1,0
problem - solve,logic,1,1
problem - solve,challenge,1,0
problem - solve,resolution,1,1
llm,language,-1,0
llm,generation,-1,-1
llm,artificial,-1,-1
biology,life,1,1
biology,science,1,1
biology,organism,1,0
teamwork,collaboration,1,1
teamwork,group,1,1
teamwork,synergy,1,1
model,simulation,0,0
model,representation,0,-1
model,datum,0,0
lecture,teach,1,1
lecture,classroom,1,0
lecture,explanation,1,1
philosophy,think,1,1
philosophy,question,1,0
philosophy,ethic,1,1
study,learn,1,1
study,research,1,1
study,knowledge,1,1
equation,math,0,1
equation,solve,0,0
equation,formula,0,-1
anxiety,stress,-1,-1
anxiety,worry,-1,-1
anxiety,nervous,-1,-1
knowledge,information,1,1
knowledge,awareness,1,0
knowledge,wisdom,1,1
art,expression,1,1
art,creativity,1,1
art,culture,1,-1
work,labor,0,-1
work,effort,0,-1
work,productivity,0,1
algorithm,process,-1,0
algorithm,code,-1,-1
algorithm,step - by - step,-1,0
informatic,datum,0,1
informatic,technology,0,0
informatic,system,0,-1
stem,science,0,1
stem,engineering,0,1
stem,tech,0,-1
literature,book,1,1
literature,story,1,0
literature,word,1,0
logic,reasoning,1,1
logic,deduction,1,1
logic,rule,1,-1
computation,digital,0,-1
computation,calculate,0,-1
computation,datum,0,0
music,rhythm,1,1
music,note,1,1
music,joy,1,1
physics,law,0,1
physics,energy,0,1
physics,hypothesis,0,0
scientist,experimenter,1,1
scientist,discovery,1,1
scientist,knowledge,1,1
experiment,datum,0,1
experiment,process,0,0
experiment,result,0,0
success,achievement,1,1
success,reward,1,1
success,pride,1,1
history,timeline,0,-1
history,event,0,-1
history,legacy,0,0
student,learn,1,1
student,classroom,1,0
student,education,1,1
datum,number,0,-1
datum,analysis,0,0
datum,pattern,0,1
job,work,0,0
job,salary,0,-1
job,role,0,0
homework,study,-1,-1
homework,exercise,-1,-1
homework,assignment,-1,0
society,people,1,1
society,culture,1,1
society,community,1,1
blackboard,chalk,0,-1
blackboard,write,0,-1
blackboard,lesson,0,0
career,future,1,0
career,ambition,1,1
career,growth,1,1
proof,evidence,0,-1
proof,fact,0,0
proof,logic,0,1
grade,score,-1,-1
grade,evaluation,-1,-1
grade,result,-1,-1
failure,mistake,-1,-1
failure,error,-1,-1
failure,loss,-1,-1
chemistry,molecule,0,-1
chemistry,reaction,0,0
chemistry,lab,0,0
professor,teacher,1,1
professor,lecture,1,0
professor,scholar,1,1
exam,test,-1,-1
exam,quiz,-1,-1
exam,assessment,-1,0
class,group,1,0
class,lesson,1,0
class,meet,1,-1
variable,factor,-1,-1
variable,change,-1,-1
variable,datum,-1,0
classroom,room,1,0
classroom,teach,1,1
classroom,study,1,1
science,research,1,0
science,discovery,1,1
science,fact,1,0
chatgpt,ai,0,-1
chatgpt,text,0,-1
chatgpt,help,0,0
mathematic,number,0,-1
mathematic,equation,0,0
mathematic,logic,0,1
