cue_word,association_word,cue_valence,associated_valence
literature,word,0,0
literature,story,0,1
literature,depth,0,0
job,work,0,-1
job,purpose,0,0
job,stress,0,-1
logic,reasoning,1,1
logic,pattern,1,0
logic,rule,1,0
philosophy,think,0,0
philosophy,mean,0,1
philosophy,question,0,-1
society,people,0,0
society,culture,0,0
society,conflict,0,-1
music,sound,1,0
music,emotion,1,1
music,rhythm,1,0
success,achievement,1,1
success,happiness,1,0
success,reward,1,0
scientist,research,0,0
scientist,discovery,0,1
scientist,curiosity,0,0
llm,ai,-1,-1
llm,code,-1,-1
llm,learn,-1,0
problem - solve,think,0,0
problem - solve,fix,0,1
problem - solve,challenge,0,-1
work,job,0,-1
work,effort,0,0
work,productivity,0,0
chatgpt,chat,-1,-1
chatgpt,text,-1,-1
chatgpt,help,-1,0
history,past,0,-1
history,event,0,0
history,legacy,0,1
mathematic,number,0,0
mathematic,logic,0,1
mathematic,calculus,0,0
art,creativity,1,1
art,color,1,0
art,expression,1,0
teacher,teach,0,0
teacher,student,0,-1
teacher,guidance,0,0
grade,score,-1,-1
grade,test,-1,-1
grade,performance,-1,-1
chemistry,element,0,0
chemistry,molecule,0,0
chemistry,reaction,0,0
future,tomorrow,-1,-1
future,possibility,-1,0
future,change,-1,0
algorithm,code,0,-1
algorithm,logic,0,1
algorithm,step,0,0
science,experiment,0,0
science,discovery,0,1
science,knowledge,0,0
variable,change,-1,-1
variable,value,-1,-1
variable,equation,-1,0
career,job,0,-1
career,growth,0,1
career,future,0,-1
computation,datum,0,-1
computation,process,0,0
computation,machine,0,-1
class,group,0,-1
class,lesson,0,0
class,school,0,0
number,calculation,0,1
number,precision,0,0
number,math,0,0
teamwork,collaboration,0,1
teamwork,group,0,0
teamwork,synergy,0,1
study,learn,0,0
study,focus,0,1
study,curiosity,0,0
model,simulation,0,0
model,representation,0,0
model,analysis,0,0
classroom,teach,0,0
classroom,learn,0,1
classroom,lecture,0,0
knowledge,wisdom,1,1
knowledge,understand,1,0
knowledge,expertise,1,0
informatic,technology,0,0
informatic,datum,0,1
informatic,cod,0,0
experiment,research,0,1
experiment,test,0,-1
experiment,discovery,0,1
datum,evidence,0,0
datum,pattern,0,0
datum,analysis,0,0
proof,validation,0,1
proof,logic,0,1
proof,truth,0,1
ai,intelligence,0,0
ai,automation,0,-1
ai,future,0,0
professor,teacher,1,1
professor,mentor,1,1
professor,expert,1,0
stem,science,0,0
stem,engineering,0,0
stem,technology,0,0
physics,force,0,0
physics,energy,0,1
physics,law,0,0
lecture,talk,-1,0
lecture,explanation,-1,0
lecture,discussion,-1,0
theorem,proof,0,1
theorem,truth,0,1
theorem,logic,0,1
student,learner,0,0
student,researcher,0,0
student,future,0,-1
equation,math,0,1
equation,solution,0,0
equation,balance,0,0
anxiety,stress,-1,-1
anxiety,worry,-1,-1
anxiety,nervous,-1,-1
failure,mistake,-1,-1
failure,error,-1,-1
failure,lesson,-1,0
exam,test,-1,0
exam,score,-1,0
exam,pressure,-1,-1
blackboard,write,0,0
blackboard,chalk,0,-1
blackboard,note,0,1
homework,work,-1,0
homework,practice,-1,0
homework,study,-1,0
creativity,innovation,1,1
creativity,imagination,1,1
creativity,idea,1,1
biology,life,0,1
biology,cell,0,0
biology,science,0,0
