cue_word,association_word,cue_valence,associated_valence
chatgpt,ai,0,-1
chatgpt,learn,0,1
chatgpt,chat,0,0
mathematic,number,-1,-1
mathematic,challenge,-1,-1
mathematic,problem,-1,-1
student,learn,0,1
student,future,0,1
student,effort,0,0
class,teach,-1,0
class,lesson,-1,-1
class,friend,-1,1
algorithm,cod,-1,0
algorithm,solve,-1,0
algorithm,step,-1,-1
study,focus,0,0
study,knowledge,0,1
study,effort,0,0
experiment,discover,0,1
experiment,test,0,-1
experiment,result,0,0
informatic,datum,0,0
informatic,technology,0,0
informatic,information,0,1
knowledge,power,1,0
knowledge,growth,1,1
knowledge,learn,1,1
job,work,-1,-1
job,career,-1,0
job,income,-1,0
classroom,teacher,-1,0
classroom,student,-1,1
classroom,learn,-1,1
teacher,guide,0,0
teacher,educate,0,1
teacher,inspire,0,1
biology,life,0,1
biology,cell,0,0
biology,nature,0,1
datum,information,0,1
datum,analysis,0,-1
datum,insight,0,0
anxiety,stress,-1,-1
anxiety,uncertainty,-1,-1
anxiety,worry,-1,-1
success,achievement,1,1
success,happiness,1,1
success,goal,1,0
theorem,proof,-1,-1
theorem,mathematic,-1,-1
theorem,logic,-1,-1
society,people,0,1
society,community,0,1
society,progress,0,1
work,effort,-1,0
work,achievement,-1,0
work,job,-1,-1
logic,reasoning,-1,-1
logic,think,-1,0
logic,solve,-1,0
exam,test,-1,-1
exam,pressure,-1,-1
exam,result,-1,-1
chemistry,molecule,0,0
chemistry,reaction,0,-1
chemistry,science,0,1
equation,math,-1,-1
equation,solution,-1,-1
equation,variable,-1,-1
llm,ai,0,-1
llm,language,0,0
llm,model,0,0
teamwork,collaboration,1,1
teamwork,support,1,1
teamwork,goal,1,1
homework,study,-1,0
homework,effort,-1,-1
homework,stress,-1,-1
physics,science,-1,0
physics,challenge,-1,-1
physics,formula,-1,-1
proof,math,-1,-1
proof,logic,-1,0
proof,theorem,-1,-1
creativity,art,1,1
creativity,innovation,1,1
creativity,idea,1,1
history,past,0,-1
history,event,0,-1
history,culture,0,0
philosophy,think,0,1
philosophy,question,0,0
philosophy,wisdom,0,1
variable,math,-1,-1
variable,change,-1,-1
variable,unknown,-1,-1
computation,calculate,-1,0
computation,datum,-1,0
computation,algorithm,-1,-1
number,math,-1,-1
number,count,-1,-1
number,pattern,-1,0
career,job,1,0
career,growth,1,1
career,success,1,1
art,beauty,1,1
art,expression,1,1
art,creativity,1,1
stem,science,0,0
stem,technology,0,0
stem,engineering,0,0
lecture,class,-1,0
lecture,learn,-1,1
lecture,professor,-1,0
problem - solve,challenge,0,-1
problem - solve,solution,0,1
problem - solve,strategy,0,0
literature,book,1,1
literature,write,1,1
literature,story,1,1
model,design,-1,0
model,template,-1,-1
model,example,-1,0
science,discovery,1,1
science,experiment,1,0
science,knowledge,1,1
professor,teacher,0,1
professor,lecture,0,-1
professor,expert,0,0
music,rhythm,1,1
music,melody,1,1
music,harmony,1,1
blackboard,class,-1,0
blackboard,write,-1,-1
blackboard,note,-1,0
failure,mistake,-1,-1
failure,loss,-1,-1
failure,disappointment,-1,-1
future,hope,0,1
future,uncertainty,0,-1
future,opportunity,0,1
grade,score,-1,-1
grade,evaluation,-1,-1
grade,performance,-1,0
ai,technology,0,0
ai,intelligence,0,1
ai,innovation,0,1
scientist,research,1,1
scientist,discovery,1,1
scientist,expert,1,1
