cue_word,association_word,cue_valence,associated_valence
mathematic,number,0,1
mathematic,logic,0,-1
work,job,0,-1
work,productivity,0,1
classroom,teacher,0,-1
classroom,study,0,1
proof,evidence,0,1
proof,truth,0,1
experiment,research,0,1
experiment,discovery,0,1
llm,artificial intelligence,-1,0
llm,technology,-1,1
computation,calculate,0,-1
computation,algorithm,0,1
professor,teacher,-1,-1
professor,knowledge,-1,1
lecture,explanation,0,1
lecture,discussion,0,0
philosophy,think,-1,0
philosophy,idea,-1,1
teacher,classroom,-1,0
teacher,instruction,-1,1
failure,mistake,-1,-1
failure,disappointment,-1,-1
number,math,0,1
number,count,0,1
anxiety,stress,-1,-1
anxiety,worry,-1,-1
homework,study,0,1
homework,work,0,0
art,creativity,1,1
art,expression,1,1
informatic,computer science,0,1
informatic,datum,0,-1
future,hope,0,1
future,possibility,0,1
theorem,proof,0,1
theorem,conclusion,0,1
society,community,-1,0
society,culture,-1,1
physics,science,0,1
physics,experimentation,0,1
chemistry,science,0,1
chemistry,reaction,0,-1
literature,book,1,1
literature,story,1,0
class,lesson,-1,0
class,group,-1,1
career,job,0,-1
career,future,0,1
science,experiment,1,0
science,discovery,1,1
problem - solve,think,1,0
problem - solve,research,1,1
stem,education,1,0
stem,technology,1,1
ai,machine,1,0
ai,learn,1,1
creativity,art,1,1
creativity,imagination,1,1
teamwork,collaboration,1,0
teamwork,cooperation,1,1
exam,test,-1,-1
exam,quiz,-1,-1
biology,life,1,0
biology,cell,1,1
history,past,0,-1
history,event,0,0
music,sound,1,1
music,note,1,1
student,school,0,-1
student,learn,0,1
knowledge,fact,1,0
knowledge,wisdom,1,1
equation,math,0,-1
equation,formula,0,1
model,representation,1,0
model,simulation,1,1
chatgpt,ai,1,0
chatgpt,chat,1,1
success,achievement,1,1
success,win,1,1
study,research,0,-1
study,learn,0,1
blackboard,board,0,-1
blackboard,teach,0,1
grade,score,-1,-1
grade,result,-1,-1
scientist,researcher,1,0
scientist,experiment,1,1
variable,datum,0,-1
variable,change,0,1
algorithm,logic,0,-1
algorithm,code,0,1
job,work,0,-1
job,career,0,1
logic,reasoning,0,-1
logic,think,0,0
datum,information,0,-1
datum,analysis,0,1
