cue_word,association_word,cue_valence,associated_valence
literature,story,0,1
literature,novel,0,0
literature,read,0,0
classroom,study,0,0
classroom,teacher,0,0
classroom,schedule,0,-1
lecture,information,0,0
lecture,engagement,0,-1
lecture,note - take,0,0
scientist,discovery,0,1
scientist,experiment,0,0
scientist,research,0,0
theorem,proof,0,1
theorem,math,0,0
theorem,structure,0,0
logic,reason,1,1
logic,pattern,1,0
logic,deduction,1,0
datum,information,0,1
datum,analysis,0,0
datum,collection,0,0
music,song,0,0
music,melody,0,0
music,emotion,0,1
knowledge,understand,1,1
knowledge,learn,1,0
knowledge,wisdom,1,0
computation,code,0,0
computation,calculation,0,0
computation,system,0,0
biology,life,0,0
biology,cell,0,0
biology,organism,0,0
society,culture,0,0
society,community,0,0
society,rule,0,-1
career,job,0,0
career,future,0,0
career,path,0,0
chemistry,reaction,-1,0
chemistry,molecule,-1,0
chemistry,lab,-1,0
success,goal,1,0
success,achievement,1,1
success,effort,1,0
chatgpt,help,0,1
chatgpt,answer,0,0
chatgpt,tool,0,0
homework,study,0,0
homework,assignment,0,0
homework,deadline,0,-1
informatic,computer,0,0
informatic,system,0,0
informatic,design,0,0
llm,model,0,0
llm,training,0,0
llm,language,0,0
work,effort,0,0
work,task,0,0
work,schedule,0,-1
teamwork,collaboration,0,0
teamwork,group,0,0
teamwork,cooperation,0,0
algorithm,step,0,0
algorithm,order,0,0
algorithm,process,0,0
grade,score,0,0
grade,result,0,0
grade,feedback,0,0
science,experiment,1,0
science,theory,1,0
science,truth,1,1
student,study,0,0
student,class,0,0
student,education,0,0
physics,equation,0,1
physics,experiment,0,0
physics,number,0,0
history,fact,0,0
history,date,0,0
history,conflict,0,-1
creativity,art,1,1
creativity,knit,1,0
creativity,novel,1,0
model,equation,0,1
model,representation,0,0
model,structure,0,0
proof,mathematic,0,1
proof,logic,0,0
proof,validity,0,0
class,study,0,0
class,teacher,0,0
class,exam,0,-1
teacher,professor,0,0
teacher,knowledge,0,0
teacher,help,0,1
job,study,0,0
job,career,0,0
job,future,0,0
art,creativity,1,1
art,expression,1,0
art,color,1,0
philosophy,think,0,0
philosophy,question,0,0
philosophy,value,0,0
stem,mathematic,0,1
stem,physics,0,0
stem,problem - solve,0,0
exam,stress,-1,-1
exam,anxiety,-1,0
exam,study,-1,0
problem - solve,equation,1,1
problem - solve,mathematic,1,1
problem - solve,logic,1,0
future,job,0,0
future,career,0,0
future,study,0,0
experiment,failure,0,0
experiment,variable,0,0
experiment,equation,0,1
failure,error,0,0
failure,mistake,0,0
failure,learn,0,0
equation,mathematic,1,1
equation,physics,1,0
equation,solution,1,0
professor,teacher,0,0
professor,knowledge,0,0
professor,blackboard,0,0
blackboard,equation,0,1
blackboard,teach,0,0
blackboard,mathematic,0,1
variable,equation,0,1
variable,model,0,0
variable,number,0,0
mathematic,equation,1,1
mathematic,study,1,0
mathematic,proof,1,0
study,exam,0,-1
study,job,0,0
study,number,0,0
ai,number,0,0
ai,equation,0,1
ai,technology,0,0
anxiety,exam,-1,-1
anxiety,future,-1,0
anxiety,stress,-1,0
number,equation,0,1
number,mathematic,0,1
number,problem - solve,0,1
