cue_word,association_word,cue_valence,associated_valence
teacher,lesson,0,-1
teacher,classroom,0,1
study,book,0,-1
study,exam,0,-1
informatic,code,1,1
informatic,computer,1,0
work,job,-1,-1
work,product,-1,1
literature,book,0,-1
literature,story,0,1
proof,evidence,1,0
proof,argument,1,-1
homework,task,-1,-1
homework,exam,-1,-1
algorithm,code,1,1
algorithm,logic,1,0
grade,score,-1,-1
grade,result,-1,0
future,time,1,0
future,hope,1,1
professor,teacher,-1,0
professor,lecture,-1,1
career,job,0,-1
career,work,0,-1
history,past,1,0
history,event,1,1
anxiety,stress,-1,-1
anxiety,worry,-1,-1
society,people,0,1
society,culture,0,1
failure,loss,-1,-1
failure,disappointment,-1,-1
class,group,0,1
class,lesson,0,-1
philosophy,think,1,1
philosophy,idea,1,0
model,structure,1,0
model,theory,1,-1
datum,information,0,1
datum,fact,0,1
number,math,-1,-1
number,figure,-1,0
music,sound,1,1
music,song,1,0
chatgpt,ai,-1,-1
chatgpt,code,-1,1
equation,math,0,-1
equation,formula,0,1
exam,test,-1,-1
exam,quizz,-1,0
job,work,0,-1
job,stress,0,-1
science,discovery,1,1
science,curiosity,1,0
knowledge,wisdom,1,1
knowledge,learn,1,0
llm,ai,-1,0
llm,technology,-1,1
physics,experiment,0,1
physics,theory,0,-1
problem - solve,think,1,1
problem - solve,resolution,1,0
scientist,research,0,1
scientist,experimentation,0,-1
teamwork,collaboration,1,1
teamwork,cooperation,1,0
logic,reasoning,0,1
logic,deduction,0,-1
experiment,research,0,1
experiment,discovery,0,1
theorem,proof,-1,0
theorem,mathematic,-1,1
biology,life,0,1
biology,study,0,-1
art,creativity,1,1
art,expression,1,0
success,achievement,1,1
success,reward,1,0
mathematic,number,0,-1
mathematic,pattern,0,1
creativity,imagination,1,1
creativity,art,1,0
student,learn,-1,0
student,study,-1,-1
blackboard,teach,0,1
blackboard,classroom,0,-1
lecture,explanation,0,1
lecture,discussion,0,-1
computation,calculate,-1,-1
computation,datum,-1,0
variable,change,-1,-1
variable,value,-1,1
stem,science,0,1
stem,technology,0,-1
chemistry,substance,0,-1
chemistry,reaction,0,-1
classroom,teach,-1,1
classroom,learn,-1,-1
ai,machine,0,-1
ai,intelligence,0,1
