cue_word,association_word,cue_valence,associated_valence
anxiety,stress,-1,-1
anxiety,worry,-1,-1
anxiety,nervous,-1,-1
llm,language,0,0
llm,model,0,0
llm,artificial,0,-1
equation,math,0,0
equation,solve,0,0
equation,number,0,0
grade,school,-1,-1
grade,score,-1,-1
grade,performance,-1,-1
student,learn,0,0
student,school,0,-1
student,education,0,0
literature,book,1,1
literature,read,1,1
literature,poetry,1,1
art,paint,1,1
art,creativity,1,1
art,expression,1,1
science,experiment,1,0
science,research,1,0
science,discovery,1,1
number,math,0,0
number,count,0,0
number,datum,0,0
stem,science,1,1
stem,technology,1,1
stem,engineering,1,1
music,sound,1,1
music,melody,1,1
music,rhythm,1,1
biology,life,0,1
biology,cell,0,0
biology,organism,0,0
history,past,0,0
history,event,0,0
history,culture,0,0
job,work,0,0
job,career,0,0
job,employment,0,0
scientist,research,1,0
scientist,discovery,1,1
scientist,experiment,1,0
variable,change,-1,-1
variable,unknown,-1,-1
variable,datum,-1,0
teamwork,collaboration,1,1
teamwork,cooperation,1,1
teamwork,group,1,0
philosophy,think,0,0
philosophy,knowledge,0,1
philosophy,wisdom,0,1
experiment,science,0,1
experiment,test,0,-1
experiment,discovery,0,1
knowledge,learn,1,0
knowledge,information,1,0
knowledge,wisdom,1,1
failure,mistake,-1,-1
failure,loss,-1,-1
failure,error,-1,-1
chemistry,science,0,1
chemistry,element,0,0
chemistry,reaction,0,0
class,school,-1,-1
class,student,-1,0
class,teacher,-1,0
blackboard,class,-1,-1
blackboard,teacher,-1,0
blackboard,lesson,-1,-1
creativity,art,1,1
creativity,innovation,1,1
creativity,imagination,1,1
lecture,learn,0,0
lecture,teacher,0,0
lecture,classroom,0,-1
algorithm,code,0,0
algorithm,solution,0,1
algorithm,problem,0,-1
career,success,1,1
career,work,1,0
career,growth,1,1
computation,datum,0,0
computation,processing,0,0
computation,calculation,0,-1
exam,test,-1,-1
exam,study,-1,0
exam,stress,-1,-1
proof,theorem,0,0
proof,mathematic,0,0
proof,logic,0,0
homework,study,-1,0
homework,assignment,-1,-1
homework,learn,-1,0
physics,science,0,0
physics,law,0,0
physics,experiment,0,0
success,achievement,1,1
success,career,1,1
success,happiness,1,1
professor,teacher,0,0
professor,lecture,0,0
professor,knowledge,0,1
study,learn,0,0
study,exam,0,-1
study,homework,0,-1
problem - solve,logic,0,0
problem - solve,algorithm,0,0
problem - solve,solution,0,1
chatgpt,ai,0,0
chatgpt,assistant,0,0
chatgpt,technology,0,0
theorem,proof,0,0
theorem,mathematic,0,0
theorem,logic,0,0
future,technology,0,0
future,progress,0,1
future,uncertainty,0,-1
ai,technology,0,0
ai,future,0,0
ai,learn,0,0
model,datum,0,0
model,prediction,0,0
model,machine,0,-1
logic,reasoning,0,0
logic,proof,0,0
logic,mathematic,0,0
society,people,0,0
society,culture,0,0
society,community,0,0
classroom,learn,-1,0
classroom,teacher,-1,0
classroom,student,-1,0
work,career,0,1
work,job,0,0
work,effort,0,-1
teacher,learn,0,0
teacher,classroom,0,-1
teacher,knowledge,0,1
mathematic,logic,0,0
mathematic,number,0,0
mathematic,theorem,0,0
datum,information,0,0
datum,analysis,0,0
datum,model,0,0
informatic,datum,0,0
informatic,technology,0,0
informatic,information,0,0
