cue_word,association_word,cue_valence,associated_valence
society,community,0,1
society,progress,0,0
art,creativity,1,0
art,beauty,1,0
teacher,guidance,0,1
teacher,education,0,0
professor,knowledge,0,1
professor,research,0,0
lecture,learn,-1,0
lecture,discussion,-1,0
anxiety,stress,-1,-1
anxiety,fear,-1,-1
science,discovery,0,1
science,logic,0,0
problem - solve,challenge,0,-1
problem - solve,solution,0,1
failure,mistake,-1,-1
failure,disappointment,-1,-1
chemistry,experiment,0,0
chemistry,molecule,0,-1
equation,math,0,-1
equation,solution,0,1
chatgpt,ai,0,0
chatgpt,technology,0,0
scientist,research,1,0
scientist,innovation,1,0
informatic,cod,0,0
informatic,datum,0,-1
class,learn,-1,0
class,student,-1,0
classroom,education,0,1
classroom,teach,0,0
knowledge,learn,1,0
knowledge,wisdom,1,0
ai,technology,0,0
ai,future,0,-1
exam,test,-1,-1
exam,pressure,-1,-1
number,math,0,-1
number,calculation,0,-1
theorem,proof,0,1
theorem,logic,0,0
variable,change,-1,-1
variable,unknown,-1,-1
music,joy,1,0
music,emotion,1,0
datum,information,-1,0
datum,analysis,-1,-1
work,effort,0,0
work,productivity,0,1
llm,intelligence,0,1
llm,future,0,0
philosophy,think,1,0
philosophy,wisdom,1,1
creativity,art,1,0
creativity,innovation,1,1
algorithm,code,0,-1
algorithm,efficiency,0,0
mathematic,logic,0,1
mathematic,proof,0,0
history,past,-1,-1
history,lesson,-1,0
experiment,science,0,1
experiment,discovery,0,0
biology,nature,0,0
biology,life,0,1
student,learn,-1,0
student,homework,-1,-1
teamwork,collaboration,1,1
teamwork,success,1,1
homework,stress,-1,-1
homework,study,-1,0
career,job,0,0
career,future,0,0
blackboard,classroom,-1,0
blackboard,education,-1,0
study,knowledge,0,1
study,effort,0,-1
proof,evidence,0,0
proof,mathematic,0,0
success,achievement,1,1
success,reward,1,0
physics,science,0,1
physics,universe,0,0
stem,career,0,0
stem,innovation,0,1
literature,read,0,0
literature,story,0,0
computation,technology,-1,0
computation,algorithm,-1,0
grade,evaluation,-1,-1
grade,performance,-1,0
model,design,0,0
model,simulation,0,-1
logic,reasoning,1,1
logic,mathematic,1,0
job,career,0,0
job,work,0,-1
future,opportunity,0,1
future,growth,0,0
