cue_word,association_word,cue_valence,associated_valence
datum,information,0,0
datum,analysis,0,0
datum,database,0,0
chemistry,reaction,0,0
chemistry,molecule,0,0
chemistry,lab,0,0
stem,science,1,1
stem,education,1,0
stem,innovation,1,0
variable,change,0,-1
variable,uncertainty,0,-1
variable,parameter,0,0
failure,mistake,-1,-1
failure,loss,-1,-1
failure,error,-1,-1
algorithm,code,0,0
algorithm,logic,0,1
algorithm,efficiency,0,0
theorem,proof,1,1
theorem,mathematic,1,1
theorem,truth,1,0
blackboard,classroom,0,0
blackboard,chalk,0,-1
blackboard,education,0,0
success,achievement,1,1
success,goal,1,0
success,reward,1,0
chatgpt,ai,0,0
chatgpt,language,0,0
chatgpt,model,0,0
professor,teacher,0,1
professor,expert,0,0
professor,lecture,0,-1
equation,math,1,1
equation,solution,1,0
equation,balance,1,0
experiment,test,0,0
experiment,research,0,1
experiment,discovery,0,1
mathematic,number,1,0
mathematic,logic,1,1
mathematic,theory,1,0
art,creativity,0,1
art,expression,0,0
art,beauty,0,1
computation,calculate,0,0
computation,computer,0,0
computation,datum,0,0
career,job,0,0
career,growth,0,1
career,profession,0,0
philosophy,think,0,0
philosophy,wisdom,0,1
philosophy,question,0,-1
ai,intelligence,0,0
ai,technology,0,0
ai,future,0,0
literature,story,0,1
literature,write,0,0
literature,language,0,0
job,work,0,-1
job,career,0,0
job,income,0,0
anxiety,stress,-1,-1
anxiety,fear,-1,-1
anxiety,nervousness,-1,-1
knowledge,learn,1,0
knowledge,wisdom,1,1
knowledge,information,1,0
logic,reason,1,0
logic,math,1,1
logic,structure,1,0
proof,evidence,1,0
proof,theorem,1,1
proof,validation,1,0
classroom,learn,0,1
classroom,teacher,0,0
classroom,study,0,0
exam,stress,-1,-1
exam,grade,-1,0
exam,preparation,-1,0
lecture,knowledge,0,1
lecture,teacher,0,0
lecture,engagement,0,0
music,joy,1,1
music,creativity,1,0
music,relaxation,1,0
work,productivity,0,0
work,effort,0,-1
work,achievement,0,1
society,community,0,0
society,progress,0,0
society,collaboration,0,0
model,precision,0,0
model,theory,0,0
model,simulation,0,-1
scientist,discovery,1,1
scientist,research,1,0
scientist,innovation,1,0
future,progress,0,0
future,opportunity,0,1
future,uncertainty,0,-1
problem - solve,logic,0,0
problem - solve,creativity,0,0
problem - solve,solution,0,1
informatic,datum,0,0
informatic,algorithm,0,-1
informatic,technology,0,0
teacher,education,1,1
teacher,guidance,1,0
teacher,mentorship,1,0
grade,performance,0,0
grade,evaluation,0,-1
grade,achievement,0,1
llm,intelligence,0,1
llm,language,0,0
llm,automation,0,-1
teamwork,collaboration,0,0
teamwork,synergy,0,1
teamwork,cooperation,0,0
creativity,innovation,1,0
creativity,imagination,1,1
creativity,expression,1,0
science,discovery,1,1
science,research,1,0
science,evidence,1,0
student,learn,0,1
student,study,0,0
student,growth,0,0
physics,mathematic,0,-1
physics,energy,0,0
physics,theory,0,0
study,learn,0,1
study,effort,0,-1
study,knowledge,0,0
biology,life,0,1
biology,nature,0,0
biology,research,0,0
number,mathematic,-1,-1
number,calculation,-1,-1
number,datum,-1,0
history,past,0,-1
history,culture,0,0
history,learn,0,1
homework,study,-1,0
homework,effort,-1,-1
homework,task,-1,-1
class,learn,0,1
class,teacher,0,0
class,education,0,1
