cue_word,association_word,cue_valence,associated_valence
theorem,math,0,0
theorem,proof,0,0
theorem,logic,0,0
student,learn,1,1
student,campus,1,0
student,book,1,0
chatgpt,ai,0,0
chatgpt,assistant,0,0
chatgpt,technology,0,0
informatic,computer,0,0
informatic,datum,0,0
informatic,cod,0,0
exam,stress,-1,-1
exam,study,-1,0
exam,grade,-1,0
study,book,0,0
study,focus,0,0
study,library,0,0
success,achievement,1,1
success,happy,1,1
success,goal,1,1
teamwork,collaboration,1,1
teamwork,group,1,0
teamwork,support,1,1
blackboard,classroom,0,0
blackboard,chalk,0,0
blackboard,note,0,0
creativity,art,1,1
creativity,innovation,1,1
creativity,idea,1,1
llm,machine,0,0
llm,learn,0,0
llm,model,0,0
variable,math,0,0
variable,datum,0,0
variable,change,0,0
lecture,professor,0,0
lecture,note,0,0
lecture,listen,0,0
failure,disappointment,-1,-1
failure,learn,-1,0
failure,try,-1,0
physics,difficult,-1,-1
physics,formula,-1,-1
physics,experiment,-1,0
knowledge,learn,1,1
knowledge,wise,1,1
knowledge,education,1,1
philosophy,think,0,0
philosophy,question,0,0
philosophy,mean,0,0
biology,life,0,0
biology,cell,0,0
biology,nature,0,0
literature,book,0,0
literature,story,0,0
literature,poetry,0,0
datum,information,0,0
datum,analysis,0,0
datum,number,0,0
history,past,1,1
history,event,1,1
history,culture,1,1
chemistry,reaction,0,0
chemistry,lab,0,0
chemistry,element,0,0
classroom,learn,0,1
classroom,desk,0,0
classroom,teacher,0,0
teacher,learn,1,1
teacher,guide,1,1
teacher,knowledge,1,1
homework,study,0,0
homework,assignment,0,0
homework,time,0,0
stem,science,0,0
stem,future,0,1
stem,career,0,0
algorithm,logic,0,0
algorithm,computation,0,0
algorithm,ai,0,0
problem - solve,logic,0,0
problem - solve,work,0,0
problem - solve,career,0,0
class,learn,0,0
class,grade,0,0
class,professor,0,0
proof,mathematic,0,-1
proof,logic,0,0
proof,equation,0,0
job,career,0,0
job,work,0,0
job,future,0,1
computation,algorithm,0,0
computation,number,0,-1
computation,ai,0,0
future,career,1,0
future,job,1,0
future,society,1,0
experiment,science,0,0
experiment,learn,0,0
experiment,scientist,0,0
logic,problem - solve,0,0
logic,algorithm,0,0
logic,proof,0,0
career,job,0,0
career,future,0,1
career,work,0,0
society,future,0,1
society,science,0,0
society,art,0,1
art,music,1,1
art,society,1,0
art,history,1,1
number,mathematic,-1,-1
number,computation,-1,0
number,equation,-1,0
science,stem,0,0
science,experiment,0,0
science,scientist,0,0
work,job,0,0
work,career,0,0
work,problem - solve,0,0
model,science,0,0
model,ai,0,0
model,mathematic,0,-1
grade,class,0,0
grade,learn,0,0
grade,anxiety,0,-1
ai,algorithm,0,0
ai,computation,0,0
ai,future,0,1
professor,class,0,0
professor,learn,0,0
professor,science,0,0
anxiety,grade,-1,0
anxiety,work,-1,0
anxiety,future,-1,1
mathematic,number,-1,-1
mathematic,proof,-1,0
mathematic,equation,-1,0
music,art,1,1
music,history,1,1
music,society,1,0
scientist,science,0,0
scientist,experiment,0,0
scientist,future,0,1
equation,mathematic,0,-1
equation,number,0,-1
equation,proof,0,0
