cue_word,association_word,cue_valence,associated_valence
logic,deduction,1,0
logic,clarity,1,1
logic,precision,1,0
class,group,0,0
class,structure,0,0
class,hierarchy,0,-1
teamwork,collaboration,1,1
teamwork,support,1,1
teamwork,unity,1,0
exam,stress,0,-1
exam,challenge,0,0
exam,achievement,0,1
study,learn,0,1
study,effort,0,0
study,knowledge,0,1
proof,validation,1,0
proof,certainty,1,1
proof,rigor,1,0
science,experiment,1,0
science,discovery,1,1
science,innovation,1,1
career,future,0,0
career,success,0,1
career,growth,0,0
history,memory,0,0
history,legacy,0,0
history,context,0,0
teacher,guide,1,1
teacher,mentor,1,1
teacher,instructor,1,0
llm,ai,0,0
llm,analysis,0,0
llm,language,0,0
literature,narrative,0,0
literature,expression,0,0
literature,culture,0,0
anxiety,stress,-1,-1
anxiety,fear,-1,-1
anxiety,tension,-1,-1
physics,energy,0,0
physics,force,0,0
physics,motion,0,0
student,learner,0,0
student,curious,0,0
student,ambitious,0,0
grade,score,0,0
grade,evaluation,0,0
grade,performance,0,0
failure,defeat,-1,-1
failure,mistake,-1,-1
failure,setback,-1,-1
music,melody,1,1
music,harmony,1,1
music,rhythm,1,1
informatic,datum,0,0
informatic,technology,0,0
informatic,logic,0,0
scientist,researcher,1,1
scientist,explorer,1,1
scientist,innovator,1,1
creativity,imagination,1,1
creativity,originality,1,1
creativity,expression,1,1
work,duty,0,0
work,effort,0,0
work,productivity,0,0
theorem,proof,0,0
theorem,logic,0,0
theorem,mathematic,0,0
computation,algorithm,0,0
computation,calculation,0,0
computation,process,0,0
job,employment,0,0
job,career,0,0
job,income,0,0
professor,mentor,0,0
professor,lecturer,0,0
professor,guide,0,0
homework,assignment,0,0
homework,challenge,0,0
homework,study,0,0
blackboard,chalk,-1,-1
blackboard,slide,-1,-1
blackboard,visual,-1,-1
model,framework,0,0
model,representation,0,0
model,prototype,0,0
problem - solve,logic,1,1
problem - solve,analysis,1,1
problem - solve,puzzle,1,1
classroom,learn,0,0
classroom,group,0,0
classroom,discipline,0,0
stem,science,0,0
stem,technology,0,0
stem,innovation,0,0
knowledge,wisdom,1,1
knowledge,information,1,1
knowledge,learn,1,1
algorithm,code,0,0
algorithm,process,0,0
algorithm,structure,0,0
lecture,talk,0,0
lecture,presentation,0,0
mathematic,number,0,0
mathematic,logic,0,0
mathematic,pattern,0,0
society,community,0,0
society,culture,0,0
society,value,0,0
number,count,0,0
number,calculation,0,0
number,math,0,0
future,progress,0,0
future,innovation,0,0
future,potential,0,0
chemistry,experiment,0,0
chemistry,reaction,0,0
chemistry,formula,0,0
ai,automation,0,0
ai,learn,0,0
ai,intelligence,0,0
chatgpt,assistant,0,0
chatgpt,conversational,0,0
chatgpt,innovation,0,0
biology,life,0,0
biology,science,0,0
biology,organism,0,0
art,creativity,0,0
art,expression,0,0
art,imagination,0,0
datum,information,0,0
datum,analysis,0,0
datum,statistic,0,0
variable,parameter,0,0
variable,element,0,0
variable,factor,0,0
philosophy,think,-1,-1
philosophy,theory,-1,-1
philosophy,ethic,-1,-1
success,achievement,1,1
success,goal,1,1
success,win,1,1
experiment,trial,0,0
experiment,research,0,0
experiment,testing,0,0
equation,formula,0,0
equation,calculation,0,0
equation,balance,0,0
