cue_word,association_word,cue_valence,associated_valence
teamwork,collaboration,0,0
teamwork,support,0,0
teamwork,trust,0,0
theorem,proof,-1,0
theorem,math,-1,0
theorem,logic,-1,0
knowledge,learn,0,0
knowledge,understand,0,0
knowledge,wisdom,0,0
blackboard,chalk,-1,0
blackboard,write,-1,0
blackboard,classroom,-1,0
exam,stress,-1,-1
exam,pressure,-1,-1
exam,result,-1,0
stem,science,0,0
stem,engineering,0,0
stem,technology,0,0
anxiety,fear,-1,-1
anxiety,worry,-1,-1
anxiety,nervousness,-1,-1
logic,reasoning,0,0
logic,deduction,0,0
logic,structure,0,0
science,experiment,0,0
science,datum,0,0
science,discovery,0,0
music,song,0,0
music,note,0,0
music,harmony,0,0
grade,score,-1,0
grade,mark,-1,0
grade,performance,-1,0
mathematic,equation,0,0
mathematic,problem,0,-1
mathematic,solution,0,0
llm,ai,0,0
llm,model,0,0
llm,language,0,0
career,job,0,0
career,growth,0,0
career,path,0,0
variable,unknown,-1,0
variable,input,-1,0
variable,output,-1,0
algorithm,step,0,0
algorithm,process,0,0
algorithm,sequence,0,0
professor,teach,0,0
professor,class,0,0
professor,student,0,0
ai,intelligence,0,0
ai,machine,0,0
ai,learn,0,0
lecture,class,0,0
lecture,presentation,0,0
lecture,discussion,0,0
informatic,computer,0,0
informatic,datum,0,0
informatic,system,0,0
physics,equation,0,0
physics,force,0,0
physics,energy,0,0
chemistry,molecule,0,0
chemistry,reaction,0,0
chemistry,lab,0,0
experiment,test,0,0
experiment,datum,0,0
experiment,result,0,0
history,past,0,0
history,event,0,0
history,period,0,0
philosophy,question,0,0
philosophy,think,0,0
philosophy,idea,0,0
society,community,0,0
society,diversity,0,-1
society,change,0,-1
homework,focus,-1,0
homework,stress,-1,-1
homework,learn,-1,0
job,income,0,0
job,satisfaction,0,0
job,workload,0,-1
art,expression,0,0
art,beauty,0,0
art,creativity,0,0
teacher,guidance,0,0
teacher,knowledge,0,0
teacher,patience,0,0
literature,story,0,0
literature,idea,0,0
literature,emotion,0,0
proof,logic,0,0
proof,evidence,0,0
proof,certainty,0,0
problem - solve,critical,0,0
problem - solve,effort,0,-1
problem - solve,clarity,0,0
future,hope,-1,0
future,uncertainty,-1,-1
future,potential,-1,0
datum,information,0,0
datum,analysis,0,0
datum,pattern,0,-1
classroom,discipline,0,-1
classroom,interaction,0,0
classroom,learn,0,0
model,simulation,0,-1
model,representation,0,0
model,accuracy,0,0
number,math,0,0
number,pattern,0,0
number,logic,0,0
computation,speed,0,0
computation,precision,0,0
computation,algorithm,0,0
biology,life,0,0
biology,growth,0,0
biology,health,0,0
study,effort,0,-1
study,knowledge,0,0
study,discipline,0,0
student,education,0,0
student,growth,0,0
student,challenge,0,-1
equation,solution,0,0
equation,math,0,0
equation,balance,0,0
success,achievement,0,0
success,pride,0,0
success,goal,0,0
failure,lesson,-1,0
failure,setback,-1,-1
failure,recovery,-1,0
scientist,discovery,0,0
scientist,research,0,0
scientist,curiosity,0,0
chatgpt,helpful,0,0
chatgpt,information,0,0
chatgpt,tool,0,0
creativity,innovation,0,0
creativity,imagination,0,0
creativity,originality,0,0
class,group,0,0
class,discussion,0,0
class,activity,0,0
work,purpose,0,0
work,productivity,0,0
work,effort,0,0
