cue_word,association_word,cue_valence,associated_valence
theorem,logic,-1,0
theorem,proof,-1,0
theorem,math,-1,-1
mathematic,number,-1,-1
mathematic,difficult,-1,-1
mathematic,abstract,-1,-1
art,creative,1,1
art,expression,1,1
art,beauty,1,1
biology,life,0,1
biology,science,0,0
biology,nature,0,1
anxiety,stress,-1,-1
anxiety,worry,-1,-1
anxiety,fear,-1,-1
variable,change,-1,0
variable,unknown,-1,-1
variable,math,-1,-1
computation,calculation,-1,-1
computation,computer,-1,0
computation,datum,-1,0
proof,evidence,0,0
proof,logic,0,0
proof,certainty,0,1
datum,information,0,0
datum,analysis,0,0
datum,fact,0,1
literature,book,-1,-1
literature,read,-1,-1
literature,bore,-1,-1
knowledge,learn,1,1
knowledge,wisdom,1,1
knowledge,power,1,0
failure,mistake,-1,-1
failure,loss,-1,-1
failure,learn,-1,1
logic,reason,0,1
logic,clarity,0,1
logic,think,0,1
teamwork,collaboration,1,1
teamwork,support,1,1
teamwork,efficiency,1,0
blackboard,teach,-1,0
blackboard,chalk,-1,-1
blackboard,classroom,-1,-1
exam,test,-1,-1
exam,stress,-1,-1
exam,evaluation,-1,-1
classroom,learn,-1,1
classroom,student,-1,0
classroom,bore,-1,-1
future,hope,0,1
future,uncertainty,0,-1
future,progress,0,1
work,job,0,0
work,effort,0,-1
work,income,0,1
number,math,-1,-1
number,count,-1,-1
number,abstract,-1,-1
chemistry,science,1,0
chemistry,experiment,1,1
chemistry,reaction,1,0
music,harmony,1,1
music,emotion,1,1
music,entertainment,1,1
stem,science,0,0
stem,technology,0,1
stem,innovation,0,1
chatgpt,ai,0,0
chatgpt,tool,0,0
chatgpt,helpful,0,1
lecture,teach,-1,0
lecture,monologue,-1,-1
lecture,information,-1,0
philosophy,think,0,0
philosophy,wisdom,0,1
philosophy,abstract,0,-1
teacher,guidance,1,1
teacher,knowledge,1,1
teacher,patience,1,0
experiment,discovery,0,1
experiment,trial,0,-1
experiment,datum,0,0
homework,work,-1,-1
homework,tedious,-1,-1
homework,learn,-1,0
model,simulation,0,0
model,predict,0,0
model,simplify,0,-1
class,learn,0,1
class,social,0,1
class,routine,0,-1
informatic,datum,-1,0
informatic,computer,-1,0
informatic,analysis,-1,0
history,past,-1,-1
history,story,-1,0
history,context,-1,0
professor,expert,1,1
professor,research,1,0
professor,academic,1,0
job,income,0,1
job,stability,0,1
job,stress,0,-1
problem - solve,logic,0,0
problem - solve,challenge,0,-1
problem - solve,solution,0,1
grade,evaluation,-1,-1
grade,pressure,-1,-1
grade,achievement,-1,1
physics,law,-1,0
physics,complex,-1,-1
physics,universe,-1,1
student,growth,0,1
student,youth,0,0
student,learn,0,1
career,advancement,1,1
career,fulfillment,1,1
career,competition,1,-1
science,knowledge,1,1
science,progress,1,1
science,rigor,1,0
study,effort,0,0
study,focus,0,0
study,improvement,0,1
equation,math,-1,-1
equation,balance,-1,0
equation,complexity,-1,-1
ai,future,0,1
ai,automation,0,-1
ai,innovation,0,1
algorithm,logic,-1,0
algorithm,efficiency,-1,1
algorithm,code,-1,-1
llm,language,0,0
llm,ai,0,0
llm,technology,0,0
scientist,discovery,1,1
scientist,curiosity,1,1
scientist,dedication,1,1
success,achievement,1,1
success,recognition,1,0
success,happiness,1,1
society,community,0,1
society,norm,0,-1
society,interaction,0,1
creativity,innovation,1,1
creativity,expression,1,1
creativity,originality,1,1
