cue_word,association_word,cue_valence,associated_valence
model,design,0,0
model,art,0,1
model,creativity,0,1
professor,teacher,0,0
professor,knowledge,0,1
professor,lecture,0,0
grade,school,0,0
grade,evaluation,0,0
grade,success,0,0
student,learn,0,0
student,education,0,0
student,youth,0,0
physics,science,-1,0
physics,mathematic,-1,-1
physics,experiment,-1,0
computation,informatic,0,0
computation,mathematic,0,-1
computation,algorithm,0,0
exam,test,-1,-1
exam,stress,-1,-1
exam,grade,-1,0
creativity,art,1,1
creativity,innovation,1,1
creativity,imagination,1,1
mathematic,physics,-1,-1
mathematic,computation,-1,0
mathematic,number,-1,0
teacher,professor,0,0
teacher,education,0,0
teacher,classroom,0,0
blackboard,classroom,0,0
blackboard,teacher,0,0
blackboard,write,0,0
class,student,0,0
class,teacher,0,0
class,learn,0,0
success,achievement,1,1
success,grade,1,0
success,work,1,0
art,creativity,1,1
art,paint,1,1
art,beauty,1,1
literature,book,0,0
literature,read,0,0
literature,poetry,0,0
science,biology,0,1
science,experiment,0,0
science,physics,0,-1
experiment,science,0,0
experiment,physics,0,-1
experiment,lab,0,0
informatic,computation,0,0
informatic,technology,0,0
informatic,datum,0,0
society,people,0,0
society,community,0,0
society,work,0,0
biology,science,1,0
biology,life,1,1
biology,nature,1,1
work,job,0,0
work,success,0,1
work,teamwork,0,0
classroom,teacher,0,0
classroom,student,0,0
classroom,learn,0,0
teamwork,collaboration,0,0
teamwork,work,0,0
teamwork,success,0,1
lecture,professor,0,0
lecture,classroom,0,0
lecture,learn,0,0
music,art,1,1
music,sound,1,1
music,rhythm,1,1
homework,study,0,0
homework,stress,0,-1
homework,learn,0,0
knowledge,learn,1,0
knowledge,power,1,0
knowledge,growth,1,1
philosophy,think,0,0
philosophy,wisdom,0,1
philosophy,question,0,0
stem,science,0,0
stem,math,0,0
stem,future,0,0
number,math,0,0
number,logic,0,0
number,pattern,0,0
problem - solve,logic,0,0
problem - solve,challenge,0,0
problem - solve,solution,0,1
failure,learn,-1,0
failure,anxiety,-1,-1
failure,growth,-1,0
history,past,0,0
history,learn,0,0
history,culture,0,0
scientist,science,0,0
scientist,discovery,0,1
scientist,curiosity,0,1
llm,learn,0,0
llm,tech,0,0
llm,future,0,0
theorem,math,0,0
theorem,proof,0,0
theorem,logic,0,0
study,learn,0,0
study,homework,0,0
study,knowledge,0,1
chatgpt,ai,0,0
chatgpt,tech,0,0
chatgpt,future,0,0
ai,tech,0,0
ai,future,0,0
ai,learn,0,0
datum,information,0,0
datum,analysis,0,0
datum,tech,0,0
equation,math,0,0
equation,solution,0,1
equation,logic,0,0
proof,math,0,0
proof,logic,0,0
proof,theorem,0,0
chemistry,science,0,0
chemistry,reaction,0,0
chemistry,experiment,0,0
variable,math,0,0
variable,change,0,0
variable,unknown,0,-1
career,job,0,0
career,future,0,0
career,growth,0,0
future,career,0,0
future,tech,0,0
future,hope,0,1
algorithm,logic,0,0
algorithm,math,0,0
algorithm,tech,0,0
logic,reasoning,0,0
logic,math,0,0
logic,problem - solve,0,0
job,career,0,0
job,work,0,0
job,income,0,0
anxiety,stress,-1,-1
anxiety,worry,-1,-1
anxiety,fear,-1,-1
