cue_word,association_word,cue_valence,associated_valence
mathematic,logic,1,1
mathematic,number,1,0
mathematic,puzzle,1,0
classroom,learn,-1,0
classroom,boredom,-1,-1
classroom,peer,-1,0
theorem,proof,0,0
theorem,truth,0,1
theorem,complex,0,-1
biology,life,-1,1
biology,cell,-1,-1
biology,memorization,-1,-1
grade,stress,-1,-1
grade,achievement,-1,1
grade,pressure,-1,-1
art,expression,1,1
art,color,1,1
art,freedom,1,1
failure,disappointment,-1,-1
failure,learn,-1,0
failure,shame,-1,-1
exam,anxiety,-1,-1
exam,preparation,-1,-1
exam,test,-1,-1
anxiety,fear,-1,-1
anxiety,stress,-1,-1
anxiety,unease,-1,-1
music,rhythm,1,0
music,emotion,1,1
music,escape,1,0
study,focus,-1,0
study,tedious,-1,-1
study,knowledge,-1,1
science,discovery,0,1
science,method,0,0
science,fact,0,-1
computation,calculation,0,0
computation,computer,0,1
computation,precise,0,0
variable,unknown,0,-1
variable,algebra,0,0
variable,change,0,-1
history,past,-1,-1
history,date,-1,-1
history,story,-1,0
model,simulation,0,0
model,simplify,0,0
model,representation,0,0
student,learn,0,0
student,stress,0,-1
student,growth,0,1
ai,future,0,0
ai,intelligence,0,1
ai,uncertainty,0,-1
algorithm,step,0,-1
algorithm,efficiency,0,1
algorithm,code,0,0
proof,evidence,1,0
proof,certainty,1,1
proof,rigor,1,0
creativity,innovation,1,1
creativity,art,1,1
creativity,originality,1,1
literature,book,0,0
literature,imagination,0,1
literature,analysis,0,-1
llm,chatbot,0,-1
llm,language,0,0
llm,technology,0,1
experiment,test,0,-1
experiment,discovery,0,1
experiment,trial,0,-1
blackboard,teach,-1,0
blackboard,chalk,-1,-1
blackboard,classroom,-1,-1
physics,difficult,-1,-1
physics,theory,-1,0
physics,math,-1,1
future,uncertain,0,-1
future,hope,0,1
future,technology,0,0
informatic,computer,-1,0
informatic,cod,-1,-1
informatic,system,-1,-1
datum,number,0,1
datum,analysis,0,-1
datum,information,0,0
philosophy,think,-1,0
philosophy,question,-1,0
philosophy,abstract,-1,-1
number,math,1,1
number,logic,1,0
number,precision,1,0
problem - solve,challenge,1,-1
problem - solve,logic,1,0
problem - solve,satisfaction,1,1
homework,stress,-1,-1
homework,learn,-1,0
homework,tedious,-1,-1
job,money,-1,0
job,stress,-1,-1
job,career,-1,0
professor,knowledge,-1,1
professor,strict,-1,-1
professor,lecture,-1,-1
teamwork,collaboration,0,1
teamwork,conflict,0,-1
teamwork,efficiency,0,0
success,achievement,1,1
success,happiness,1,1
success,pressure,1,-1
logic,reason,1,0
logic,clarity,1,0
logic,math,1,1
class,learn,-1,0
class,bore,-1,-1
class,teacher,-1,-1
career,future,0,0
career,stability,0,0
career,work,0,-1
chatgpt,ai,0,0
chatgpt,helpful,0,1
chatgpt,technology,0,0
teacher,guidance,0,1
teacher,strict,0,-1
teacher,education,0,1
stem,science,0,0
stem,math,0,1
stem,career,0,0
chemistry,difficult,-1,-1
chemistry,lab,-1,-1
chemistry,equation,-1,-1
society,people,0,0
society,norm,0,-1
society,community,0,1
knowledge,power,1,0
knowledge,learn,1,0
knowledge,wisdom,1,1
work,effort,-1,-1
work,money,-1,0
work,tiring,-1,-1
equation,math,0,1
equation,solve,0,0
equation,complex,0,-1
lecture,bore,-1,-1
lecture,information,-1,0
lecture,professor,-1,-1
scientist,research,1,0
scientist,smart,1,1
scientist,discovery,1,1
