cue_word,association_word,cue_valence,associated_valence
informatic,datum,1,1
informatic,technology,1,0
informatic,compute,1,-1
stem,science,1,1
stem,engineering,1,0
stem,mathematic,1,-1
variable,change,1,0
variable,factor,1,-1
variable,condition,1,-1
art,creativity,1,1
art,expression,1,0
art,beauty,1,-1
experiment,testing,1,0
experiment,research,1,-1
experiment,discovery,1,-1
logic,reasoning,1,1
logic,analysis,1,0
logic,deduction,1,-1
computation,algorithm,1,0
computation,processing,1,-1
computation,programming,1,-1
future,possibility,1,1
future,trend,1,0
future,development,1,-1
history,past,1,0
history,event,1,-1
history,change,1,-1
creativity,imagination,1,1
creativity,innovation,1,0
creativity,originality,1,-1
biology,life,1,1
biology,cell,1,0
biology,ecology,1,-1
music,melody,1,1
music,harmony,1,0
music,sound,1,-1
blackboard,chalk,1,0
blackboard,write,1,-1
blackboard,learn,1,-1
classroom,education,1,1
classroom,learn,1,0
classroom,school,1,-1
class,group,1,1
class,lecture,1,0
class,session,1,-1
physics,force,1,1
physics,energy,1,0
physics,motion,1,-1
number,mathematic,1,1
number,calculation,1,0
number,figure,1,-1
teamwork,collaboration,1,1
teamwork,partnership,1,0
teamwork,cooperation,1,-1
equation,formula,1,1
equation,balance,1,0
equation,solution,1,-1
work,job,1,0
work,task,1,-1
work,effort,1,-1
ai,machine,1,1
ai,learn,1,0
ai,intelligence,1,-1
anxiety,stress,1,0
anxiety,fear,1,-1
anxiety,uncertainty,1,-1
professor,teacher,1,1
professor,lecturer,1,0
professor,scholar,1,-1
lecture,presentation,1,1
lecture,discussion,1,0
lecture,knowledge,1,-1
literature,write,1,1
literature,storytelle,1,0
literature,analysis,1,-1
philosophy,abstract,1,1
philosophy,rational,1,0
philosophy,existential,1,-1
study,research,1,1
study,analysis,1,1
study,learn,1,1
theorem,proof,1,1
theorem,principle,1,0
theorem,concept,1,-1
scientist,researcher,1,1
scientist,discoverer,1,1
scientist,analyst,1,0
proof,evidence,1,1
proof,validation,1,1
proof,logic,1,1
chemistry,science,1,1
chemistry,reaction,1,0
chemistry,compound,1,-1
datum,information,1,1
datum,analysis,1,1
datum,statistic,1,0
model,simulation,1,1
model,framework,1,0
model,representation,1,-1
society,culture,1,1
society,community,1,1
society,progress,1,0
algorithm,process,1,1
algorithm,logic,1,1
algorithm,automation,1,0
llm,language,1,1
llm,model,1,1
llm,ai,1,0
grade,score,1,1
grade,evaluation,1,0
grade,assessment,1,-1
chatgpt,ai,1,1
chatgpt,conversation,1,0
chatgpt,assistant,1,-1
knowledge,information,1,1
knowledge,understand,1,1
knowledge,wisdom,1,0
job,career,1,1
job,position,1,0
job,work,1,0
failure,mistake,-1,-1
failure,setback,-1,-1
failure,defeat,-1,-1
exam,test,0,1
exam,assessment,0,1
exam,evaluation,0,0
career,profession,1,1
career,path,1,0
career,goal,1,-1
science,research,1,1
science,theory,1,1
science,experiment,1,0
success,achievement,1,1
success,accomplishment,1,1
success,prosperity,1,0
problem - solve,critical thinking,1,1
problem - solve,solution,1,1
problem - solve,analysis,1,0
mathematic,number,1,1
mathematic,equation,1,1
mathematic,logic,1,0
student,learner,1,1
student,pupil,1,0
student,scholar,1,-1
homework,assignment,0,1
homework,task,0,1
homework,practice,0,0
teacher,educator,1,1
teacher,mentor,1,0
teacher,guide,1,-1
