cue_word,association_word,cue_valence,associated_valence
grade,academic,0,0
grade,achievement,0,0
grade,performance,0,0
llm,intelligent,0,0
llm,language,0,0
llm,model,0,0
experiment,test,0,-1
experiment,research,0,0
experiment,datum,0,0
stem,science,0,0
stem,technology,0,0
stem,engineering,0,0
teacher,educator,0,0
teacher,instructor,0,0
teacher,guide,0,0
datum,information,0,0
datum,statistic,0,0
datum,analysis,0,0
society,community,0,0
society,culture,0,0
society,influence,0,0
homework,assignment,-1,0
homework,practice,-1,0
homework,task,-1,-1
success,achievement,0,0
success,result,0,0
success,goal,0,0
study,learn,0,0
study,education,0,0
study,research,0,0
failure,mistake,-1,-1
failure,error,-1,-1
failure,lesson,-1,0
literature,book,0,0
literature,text,0,0
literature,read,0,0
student,learner,0,0
student,academic,0,0
student,education,0,0
creativity,innovation,0,0
creativity,imagination,0,0
creativity,art,0,0
equation,math,0,0
equation,formula,0,0
equation,problem,0,-1
computation,calculation,0,0
computation,algorithm,0,0
computation,processing,0,0
model,simulation,0,0
model,representation,0,0
model,theory,0,0
informatic,computer,0,0
informatic,system,0,0
informatic,software,0,0
physics,science,0,0
physics,law,0,0
physics,mechanic,0,0
classroom,school,0,0
classroom,learn,0,0
classroom,environment,0,0
music,sound,0,0
music,art,0,0
music,performance,0,0
class,group,0,0
class,room,0,0
class,student,0,0
knowledge,information,0,0
knowledge,understand,0,0
knowledge,wisdom,0,0
career,profession,0,0
career,path,0,0
career,growth,0,0
scientist,researcher,0,0
scientist,discoverer,0,0
scientist,expert,0,0
algorithm,logic,0,0
algorithm,mathematic,0,0
algorithm,efficiency,0,0
professor,knowledge,0,0
professor,teach,0,0
professor,guidance,0,0
history,past,-1,-1
history,event,-1,-1
history,context,-1,-1
blackboard,write,-1,0
blackboard,chalk,-1,-1
blackboard,classroom,-1,0
lecture,class,0,0
lecture,information,0,0
lecture,knowledge,0,0
exam,stress,-1,-1
exam,pressure,-1,-1
exam,result,-1,-1
job,career,0,0
job,work,0,0
job,income,0,-1
chemistry,molecule,-1,0
chemistry,reaction,-1,-1
chemistry,lab,-1,0
art,creativity,0,0
art,expression,0,0
art,beauty,0,0
variable,math,-1,0
variable,equation,-1,0
variable,unknown,-1,-1
work,effort,0,0
work,productivity,0,0
work,task,0,-1
science,experiment,0,0
science,datum,0,0
science,discovery,0,0
number,math,0,0
number,calculation,0,0
number,quantity,0,-1
ai,technology,0,0
ai,intelligent,0,0
ai,learn,0,0
future,potential,0,0
future,innovation,0,0
future,uncertainty,0,-1
theorem,proof,0,0
theorem,mathematic,0,0
theorem,logic,0,0
anxiety,stress,-1,-1
anxiety,fear,-1,-1
anxiety,worry,-1,-1
philosophy,question,-1,0
philosophy,reasoning,-1,0
philosophy,ethic,-1,0
biology,life,-1,0
biology,cell,-1,-1
biology,genetic,-1,-1
teamwork,collaboration,0,0
teamwork,support,0,0
teamwork,success,0,0
problem - solve,critical,0,0
problem - solve,analysis,0,0
problem - solve,solution,0,0
mathematic,logic,0,0
mathematic,proof,0,0
mathematic,theorem,0,0
proof,logic,0,0
proof,mathematic,0,0
proof,rigor,0,0
chatgpt,ai,0,0
chatgpt,language,0,0
chatgpt,model,0,0
logic,reasoning,0,0
logic,deduction,0,0
logic,truth,0,0
