cue_word,association_word,cue_valence,associated_valence
science,fact,0,1
science,truth,0,1
science,research,0,0
proof,validity,0,1
proof,certainty,0,1
proof,logic,0,0
society,community,0,1
society,people,0,1
society,culture,0,0
teacher,mentor,0,1
teacher,guide,0,1
teacher,educator,0,1
history,past,-1,0
history,legacy,-1,0
history,event,-1,-1
physics,law,0,1
physics,energy,0,1
physics,matter,0,0
teamwork,collaboration,1,1
teamwork,cooperation,1,1
teamwork,unity,1,1
creativity,innovation,1,1
creativity,art,1,0
creativity,expression,1,0
classroom,learn,-1,1
classroom,student,-1,0
classroom,education,-1,1
career,profession,0,0
career,future,0,0
career,growth,0,1
job,employment,-1,-1
job,duty,-1,-1
job,income,-1,-1
lecture,presentation,-1,-1
lecture,teach,-1,0
lecture,knowledge,-1,1
exam,test,-1,-1
exam,grade,-1,-1
exam,stress,-1,-1
variable,change,-1,-1
variable,unknown,-1,-1
variable,factor,-1,-1
philosophy,think,0,1
philosophy,wisdom,0,1
philosophy,ethic,0,1
literature,read,0,0
literature,write,0,0
literature,story,0,0
success,achievement,1,1
success,goal,1,0
success,victory,1,1
homework,task,-1,-1
homework,assignment,-1,-1
homework,study,-1,-1
algorithm,logic,0,1
algorithm,code,0,0
algorithm,pattern,0,0
llm,ai,0,0
llm,intelligence,0,1
llm,model,0,-1
equation,math,0,0
equation,formula,0,0
equation,solution,0,1
scientist,researcher,1,1
scientist,innovator,1,0
scientist,curious,1,1
anxiety,worry,-1,-1
anxiety,fear,-1,-1
anxiety,stress,-1,-1
failure,loss,-1,-1
failure,mistake,-1,-1
failure,end,-1,-1
work,effort,-1,0
work,labor,-1,-1
work,output,-1,-1
number,mathematic,-1,0
number,count,-1,-1
number,arithmetic,-1,0
study,learn,0,1
study,effort,0,0
study,focus,0,0
professor,teach,0,1
professor,knowledge,0,1
professor,education,0,1
student,learn,-1,1
student,curiosity,-1,0
student,grade,-1,-1
informatic,technology,0,0
informatic,datum,0,-1
informatic,system,0,-1
logic,reasoning,1,1
logic,deduction,1,0
logic,clarity,1,1
problem - solve,creativity,0,1
problem - solve,strategy,0,0
problem - solve,solution,0,1
chemistry,science,0,1
chemistry,lab,0,-1
chemistry,reaction,0,-1
music,harmony,1,0
music,expression,1,1
music,emotion,1,0
mathematic,logic,0,1
mathematic,pattern,0,0
mathematic,abstraction,0,-1
blackboard,education,-1,1
blackboard,chalk,-1,-1
blackboard,classroom,-1,-1
art,creativity,1,1
art,beauty,1,1
art,expression,1,0
knowledge,wisdom,1,1
knowledge,understand,1,1
knowledge,learn,1,1
datum,information,-1,0
datum,analysis,-1,0
datum,science,-1,1
class,education,-1,1
class,learn,-1,1
class,teach,-1,1
stem,science,0,1
stem,technology,0,0
stem,education,0,1
grade,evaluation,-1,-1
grade,performance,-1,-1
grade,school,-1,-1
future,hope,0,1
future,possibility,0,0
future,growth,0,0
ai,technology,0,0
ai,intelligence,0,1
ai,innovation,0,1
computation,mathematic,-1,0
computation,processing,-1,-1
computation,logic,-1,1
chatgpt,ai,-1,0
chatgpt,language,-1,0
chatgpt,assistant,-1,-1
biology,science,0,1
biology,life,0,1
biology,research,0,0
theorem,mathematic,0,0
theorem,proof,0,0
theorem,logic,0,1
experiment,science,0,1
experiment,research,0,0
experiment,discovery,0,1
model,analysis,0,0
model,prediction,0,-1
model,simulation,0,-1
