cue_word,association_word,cue_valence,associated_valence
lecture,class,0,-1
lecture,teach,0,0
lecture,learn,0,1
science,discover,1,1
science,experiment,1,0
science,knowledge,1,1
history,past,0,-1
history,event,0,0
history,culture,0,1
creativity,innovate,1,1
creativity,art,1,1
creativity,imagine,1,1
logic,reason,0,0
logic,analyze,0,0
logic,solve,0,0
anxiety,worry,-1,-1
anxiety,stress,-1,-1
anxiety,fear,-1,-1
variable,change,-1,-1
variable,datum,-1,0
variable,unknown,-1,-1
chatgpt,ai,1,0
chatgpt,chat,1,0
chatgpt,help,1,1
chemistry,element,0,-1
chemistry,reaction,0,0
chemistry,lab,0,0
physics,energy,0,0
physics,motion,0,0
physics,law,0,0
informatic,datum,0,0
informatic,compute,0,0
informatic,system,0,-1
stem,technology,1,1
stem,engineer,1,0
stem,innovation,1,1
society,people,0,1
society,community,0,1
society,progress,0,1
future,hope,1,1
future,change,1,-1
future,possibility,1,1
blackboard,class,-1,-1
blackboard,write,-1,0
blackboard,teach,-1,0
number,math,-1,-1
number,count,-1,-1
number,calculate,-1,-1
student,learn,0,1
student,study,0,0
student,school,0,0
success,achieve,1,1
success,goal,1,1
success,happy,1,1
teamwork,collaborate,1,1
teamwork,support,1,1
teamwork,win,1,1
philosophy,think,0,0
philosophy,question,0,-1
philosophy,wisdom,0,1
failure,lose,-1,-1
failure,mistake,-1,-1
failure,learn,-1,0
professor,teach,0,0
professor,expert,0,1
professor,knowledge,0,1
study,learn,0,1
study,research,0,0
study,focus,0,0
music,sound,1,1
music,rhythm,1,1
music,emotion,1,1
experiment,test,0,-1
experiment,discover,0,1
experiment,science,0,1
career,future,0,-1
career,success,0,1
datum,information,0,-1
datum,analysis,0,-1
ai,technology,0,0
ai,intelligence,0,1
classroom,learn,-1,0
classroom,student,-1,-1
biology,science,0,0
biology,life,0,1
class,school,-1,-1
class,friend,-1,0
knowledge,learn,1,0
knowledge,understand,1,1
computation,mathematic,-1,-1
computation,cod,-1,0
job,work,0,0
job,income,0,1
mathematic,number,-1,-1
mathematic,formula,-1,-1
work,effort,0,0
work,achievement,0,1
homework,study,-1,-1
homework,assignment,-1,-1
llm,language,0,0
llm,modeling,0,0
proof,demonstration,-1,-1
proof,logic,-1,-1
art,creativity,1,1
art,expression,1,1
algorithm,cod,0,0
algorithm,solution,0,1
exam,test,-1,-1
exam,result,-1,-1
literature,book,1,1
literature,story,1,1
scientist,research,1,1
scientist,discovery,1,1
grade,score,-1,-1
grade,performance,-1,0
theorem,mathematic,-1,-1
theorem,proof,-1,-1
equation,math,-1,-1
equation,solution,-1,0
teacher,educator,1,1
teacher,mentor,1,1
model,structure,-1,-1
model,representation,-1,-1
problem - solve,challenge,0,0
problem - solve,solution,0,1
