cue_word,association_word,cue_valence,associated_valence
philosophy,bore,-1,-1
philosophy,useless,-1,-1
philosophy,abstract,-1,-1
success,achievement,1,1
success,money,1,1
success,happiness,1,1
logic,reason,1,1
logic,puzzle,1,1
logic,math,1,1
blackboard,chalk,0,-1
blackboard,school,0,-1
blackboard,write,0,0
professor,strict,-1,-1
professor,lecture,-1,-1
professor,smart,-1,1
informatic,computer,0,1
informatic,code,0,0
informatic,programming,0,0
variable,x,1,0
variable,equation,1,1
variable,math,1,1
biology,cell,0,0
biology,dissection,0,-1
biology,life,0,1
theorem,proof,1,0
theorem,math,1,1
theorem,pythagoras,1,1
failure,lose,-1,-1
failure,sad,-1,-1
failure,lesson,-1,0
student,friend,1,1
student,class,1,0
student,learn,1,1
knowledge,power,1,1
knowledge,book,1,1
knowledge,wisdom,1,1
history,date,-1,-1
history,war,-1,-1
history,bore,-1,-1
scientist,lab,1,0
scientist,discovery,1,1
scientist,genius,1,1
algorithm,step,1,0
algorithm,code,1,0
algorithm,efficient,1,1
job,money,0,1
job,stress,0,-1
job,tired,0,-1
creativity,art,1,1
creativity,idea,1,1
creativity,fun,1,1
science,experiment,1,1
science,discover,1,1
science,fact,1,0
study,book,-1,0
study,exam,-1,-1
study,stress,-1,-1
mathematic,number,1,1
mathematic,puzzle,1,1
mathematic,fun,1,1
experiment,lab,1,0
experiment,test,1,0
experiment,result,1,1
grade,test,0,-1
grade,number,0,0
grade,pass,0,1
work,job,0,0
work,money,0,1
work,effort,0,-1
lecture,professor,-1,-1
lecture,sleep,-1,0
lecture,note,-1,-1
homework,bore,-1,-1
homework,night,-1,-1
homework,finish,-1,0
chemistry,lab,0,-1
chemistry,experiment,0,0
chemistry,molecule,0,0
number,math,1,1
number,logic,1,1
number,count,1,0
teamwork,group,-1,-1
teamwork,collaboration,-1,0
teamwork,stress,-1,-1
stem,science,0,0
stem,technology,0,1
stem,engineering,0,-1
anxiety,worry,-1,-1
anxiety,panic,-1,-1
anxiety,heart,-1,-1
datum,statistic,0,-1
datum,graph,0,0
datum,analysis,0,0
physics,force,-1,-1
physics,motion,-1,0
physics,difficult,-1,-1
ai,robot,1,0
ai,smart,1,1
ai,future,1,1
equation,solve,1,1
equation,balance,1,0
equation,math,1,1
music,song,1,1
music,relax,1,1
music,dance,1,0
class,lecture,-1,-1
class,bore,-1,-1
class,attendance,-1,-1
computation,calculate,0,0
computation,computer,0,1
computation,fast,0,1
proof,evidence,0,1
proof,theorem,0,0
proof,hard,0,-1
teacher,explain,0,1
teacher,strict,0,-1
teacher,help,0,1
model,predict,0,0
model,fit,0,0
model,fashion,0,1
literature,book,1,1
literature,story,1,1
literature,poetry,1,1
society,people,0,-1
society,culture,0,1
society,issue,0,-1
classroom,desk,-1,-1
classroom,noise,-1,-1
classroom,learn,-1,0
problem - solve,puzzle,1,1
problem - solve,logic,1,1
problem - solve,success,1,1
chatgpt,help,1,1
chatgpt,answer,1,1
chatgpt,easy,1,1
exam,stress,-1,-1
exam,study,-1,-1
exam,fail,-1,-1
future,career,1,1
future,adventure,1,1
future,uncertain,1,-1
career,job,1,0
career,money,1,1
career,passion,1,1
llm,ai,1,1
llm,chat,1,1
llm,useful,1,1
art,paint,1,1
art,creative,1,1
art,beautiful,1,1
