cue_word,association_word,cue_valence,associated_valence
knowledge,wisdom,1,1
knowledge,power,1,0
knowledge,learn,1,1
professor,smart,0,1
professor,mentor,0,1
professor,strict,0,0
grade,a,0,1
grade,effort,0,0
grade,fail,0,-1
physics,quantum,0,1
physics,force,0,0
physics,challenge,0,0
datum,analysis,1,0
datum,bigdata,1,1
datum,useful,1,1
student,learn,0,1
student,friend,0,1
student,stress,0,-1
problem - solve,logic,1,1
problem - solve,challenge,1,0
problem - solve,reward,1,1
success,achievement,1,1
success,money,1,0
success,happiness,1,1
informatic,cod,1,1
informatic,computer,1,1
informatic,future,1,1
creativity,idea,1,1
creativity,innovation,1,1
creativity,art,1,0
lecture,bore,0,-1
lecture,info,0,0
lecture,sleep,0,-1
proof,math,0,1
proof,correct,0,1
proof,tough,0,-1
computation,fast,1,1
computation,complex,1,0
computation,key,1,1
teacher,guide,1,1
teacher,inspire,1,0
teacher,knowledge,1,1
teamwork,collaboration,0,0
teamwork,fun,0,1
teamwork,conflict,0,-1
theorem,pythagoras,1,0
theorem,prove,1,0
theorem,elegant,1,1
job,career,0,1
job,salary,0,1
job,pressure,0,-1
society,progress,0,0
society,people,0,0
society,problem,0,-1
algorithm,efficient,1,1
algorithm,sort,1,0
algorithm,ai,1,1
llm,chatgpt,1,1
llm,helpful,1,1
llm,smart,1,1
model,ml,1,1
model,predict,1,0
model,accurate,1,1
art,paint,0,0
art,beautiful,0,1
art,subjective,0,0
biology,dna,0,0
biology,cell,0,0
biology,bore,0,-1
music,relax,1,1
music,fun,1,1
music,passion,1,1
equation,solve,0,0
equation,math,0,1
work,money,0,0
work,boss,0,-1
work,shift,0,-1
blackboard,chalk,-1,-1
blackboard,math,-1,-1
blackboard,teacher,-1,0
exam,stress,-1,-1
exam,grade,-1,0
exam,cram,-1,-1
number,math,-1,-1
number,calculator,-1,-1
number,headache,-1,-1
class,friend,0,1
class,bell,0,0
class,teacher,0,0
science,lab,-1,-1
science,chem,-1,-1
science,bore,-1,-1
failure,shame,-1,-1
failure,retry,-1,-1
failure,quit,-1,-1
study,book,-1,0
study,tired,-1,-1
study,library,-1,0
history,war,1,0
history,story,1,0
history,interest,1,1
experiment,error,-1,-1
experiment,lab,-1,-1
experiment,fail,-1,-1
variable,equation,-1,-1
variable,solve,-1,-1
variable,unknown,-1,-1
scientist,nerd,0,-1
scientist,labcoat,0,-1
scientist,smart,0,0
homework,tedious,-1,-1
homework,late,-1,-1
homework,copy,-1,-1
chatgpt,help,0,1
chatgpt,cheat,0,0
chatgpt,easy,0,1
stem,hard,-1,-1
stem,boy,-1,0
stem,job,-1,0
mathematic,bore,-1,-1
mathematic,forget,-1,-1
mathematic,test,-1,-1
anxiety,worry,-1,-1
anxiety,panic,-1,-1
anxiety,exam,-1,-1
chemistry,stink,-1,-1
chemistry,mole,-1,-1
chemistry,hate,-1,-1
logic,argue,-1,-1
logic,puzzle,-1,0
logic,confuse,-1,-1
classroom,desk,0,-1
classroom,friend,0,1
classroom,clock,0,0
future,baby,0,1
future,job,0,0
future,worry,0,-1
ai,robot,0,0
ai,smart,0,0
ai,job,0,0
literature,story,0,0
literature,book,0,0
literature,fun,0,1
philosophy,pointless,-1,-1
philosophy,argue,-1,-1
philosophy,bore,-1,-1
career,money,0,0
career,boss,0,-1
career,freedom,0,0
