cue_word,association_word,cue_valence,associated_valence
student,learn,0,1
student,future,0,0
student,exam,0,-1
society,people,0,0
society,culture,0,1
society,change,0,-1
failure,mistake,-1,-1
failure,loss,-1,-1
failure,disappointment,-1,-1
study,learn,0,1
study,book,0,0
study,research,0,-1
computation,calculate,-1,-1
computation,algorithm,-1,-1
computation,datum,-1,0
literature,book,1,0
literature,poetry,1,1
literature,fiction,1,0
theorem,proof,-1,-1
theorem,mathematic,-1,0
theorem,logic,-1,-1
chatgpt,ai,1,0
chatgpt,conversation,1,1
chatgpt,assistant,1,1
variable,change,-1,-1
variable,unknown,-1,-1
variable,mathematic,-1,0
biology,life,1,1
biology,cell,1,0
biology,nature,1,1
classroom,learn,0,1
classroom,teacher,0,0
classroom,student,0,0
job,work,0,-1
job,career,0,0
job,money,0,1
philosophy,think,0,0
philosophy,question,0,-1
philosophy,wisdom,0,1
art,creativity,1,1
art,paint,1,0
art,beauty,1,1
physics,mathematic,0,0
physics,energy,0,0
physics,law,0,-1
work,job,-1,0
work,effort,-1,-1
work,productivity,-1,0
creativity,art,1,1
creativity,innovation,1,1
creativity,idea,1,1
teacher,learn,0,1
teacher,classroom,0,0
teacher,student,0,0
number,mathematic,-1,0
number,count,-1,-1
number,datum,-1,0
algorithm,computation,-1,-1
algorithm,step,-1,-1
algorithm,solution,-1,0
class,student,0,0
class,teacher,0,0
class,learn,0,1
equation,mathematic,-1,0
equation,solution,-1,0
equation,variable,-1,-1
grade,exam,-1,-1
grade,performance,-1,-1
grade,school,-1,0
stem,science,1,1
stem,technology,1,1
stem,education,1,1
informatic,computation,0,-1
informatic,datum,0,0
informatic,information,0,0
chemistry,reaction,0,-1
chemistry,element,0,0
chemistry,laboratory,0,-1
career,growth,1,1
career,success,1,1
career,ambition,1,0
blackboard,chalk,-1,-1
blackboard,lesson,-1,0
blackboard,classroom,-1,-1
history,past,0,-1
history,event,0,0
history,culture,0,1
teamwork,collaboration,1,1
teamwork,communication,1,1
teamwork,support,1,0
future,hope,0,1
future,progress,0,0
future,uncertainty,0,-1
scientist,research,0,0
scientist,discovery,0,1
scientist,experiment,0,-1
ai,technology,0,0
ai,learn,0,1
ai,automation,0,-1
professor,teacher,0,0
professor,lecture,0,-1
professor,knowledge,0,1
lecture,teach,-1,0
lecture,student,-1,0
lecture,note,-1,-1
anxiety,stress,-1,-1
anxiety,worry,-1,-1
anxiety,nervousness,-1,-1
experiment,test,-1,-1
experiment,result,-1,0
experiment,hypothesis,-1,-1
exam,test,-1,-1
exam,study,-1,-1
exam,stress,-1,-1
problem - solve,logic,0,0
problem - solve,solution,0,1
problem - solve,challenge,0,-1
proof,evidence,0,0
proof,demonstration,0,0
proof,validation,0,0
model,simulation,-1,-1
model,representation,-1,-1
model,design,-1,0
music,sound,1,0
music,rhythm,1,0
music,melody,1,1
llm,language,0,0
llm,model,0,-1
llm,learn,0,1
datum,information,0,0
datum,analysis,0,0
datum,statistic,0,-1
science,research,1,0
science,experiment,1,-1
science,discovery,1,1
knowledge,learn,1,1
knowledge,understand,1,1
knowledge,information,1,0
logic,reasoning,0,0
logic,argument,0,-1
logic,think,0,0
success,achievement,1,1
success,goal,1,1
success,victory,1,1
homework,study,-1,-1
homework,assignment,-1,-1
homework,task,-1,-1
mathematic,number,-1,-1
mathematic,equation,-1,-1
mathematic,algebra,-1,-1
