cue_word,association_word,cue_valence,associated_valence
success,achievement,0,0
success,confidence,0,0
success,goal,0,0
society,community,0,0
society,change,0,-1
society,inclusion,0,0
proof,evidence,0,0
proof,truth,0,0
proof,clarity,0,0
literature,story,0,0
literature,emotion,0,0
literature,imagination,0,0
chemistry,reaction,0,0
chemistry,molecule,0,-1
chemistry,balance,0,0
creativity,innovation,0,0
creativity,expression,0,0
creativity,vision,0,0
classroom,learn,-1,0
classroom,structure,-1,0
classroom,discipline,-1,-1
datum,pattern,0,0
datum,analysis,0,0
datum,fact,0,0
equation,solution,0,0
equation,balance,0,0
equation,logic,0,0
future,opportunity,0,0
future,growth,0,0
future,change,0,0
anxiety,stress,-1,-1
anxiety,fear,-1,-1
anxiety,uncertainty,-1,-1
philosophy,question,0,0
philosophy,mean,0,0
philosophy,think,0,0
homework,task,-1,-1
homework,deadline,-1,-1
homework,focus,-1,0
logic,reason,0,0
logic,structure,0,0
logic,consistency,0,0
teacher,guidance,0,0
teacher,support,0,0
teacher,knowledge,0,0
teamwork,collaboration,0,0
teamwork,trust,0,0
teamwork,share goal,0,0
computation,algorithm,0,0
computation,speed,0,0
computation,efficiency,0,0
experiment,discovery,0,0
experiment,test,0,0
experiment,result,0,0
physics,law,0,0
physics,motion,0,0
physics,universe,0,0
scientist,curiosity,0,0
scientist,research,0,0
scientist,innovation,0,0
grade,score,-1,-1
grade,performance,-1,0
grade,evaluation,-1,-1
job,career,0,0
job,income,0,0
job,stability,0,0
theorem,proof,0,0
theorem,math,0,0
theorem,foundation,0,0
llm,technology,0,0
llm,intelligence,0,0
llm,tool,0,0
failure,lesson,-1,0
failure,setback,-1,-1
failure,growth,-1,0
lecture,knowledge,0,0
lecture,class,0,-1
lecture,study,0,0
work,career,-1,0
work,money,-1,0
work,stress,-1,-1
professor,knowledge,-1,0
professor,strict,-1,-1
professor,helpful,-1,0
mathematic,number,0,0
mathematic,logic,0,0
mathematic,problem - solve,0,0
art,paint,0,0
art,creativity,0,0
art,expression,0,0
algorithm,code,0,0
algorithm,ai,0,0
algorithm,logic,0,0
stem,science,0,0
stem,technology,0,0
stem,mathematic,0,0
history,fact,-1,-1
history,class,-1,-1
history,memory,-1,0
music,emotion,0,0
music,performance,0,0
music,hike,0,-1
study,focus,0,0
study,knowledge,0,0
study,exam,0,-1
variable,mathematic,0,0
variable,datum,0,0
variable,change,0,-1
problem - solve,logic,0,0
problem - solve,ai,0,0
problem - solve,algorithm,0,0
ai,chatgpt,0,0
ai,model,0,0
ai,technology,0,0
exam,stress,-1,-1
exam,number,-1,0
exam,study,-1,0
blackboard,lecture,-1,0
blackboard,mathematic,-1,0
blackboard,class,-1,-1
career,work,0,-1
career,future,0,0
career,goal,0,0
student,study,0,0
student,class,0,-1
student,hike,0,-1
chatgpt,ai,0,0
chatgpt,helpful,0,0
chatgpt,model,0,0
model,ai,0,0
model,science,0,0
model,algorithm,0,0
science,biology,0,0
science,experiment,0,0
science,knowledge,0,0
knowledge,study,0,0
knowledge,mathematic,0,0
knowledge,art,0,0
biology,science,0,0
biology,laboratory,0,-1
biology,life,0,0
informatic,algorithm,0,0
informatic,code,0,0
informatic,ai,0,0
class,lecture,-1,0
class,study,-1,0
class,professor,-1,-1
number,mathematic,0,0
number,exam,0,-1
number,problem - solve,0,0
