cue_word,association_word,cue_valence,associated_valence
lecture,learn,0,0
lecture,presentation,0,0
lecture,information,0,0
computation,calculation,0,0
computation,algorithm,0,0
computation,processing,0,0
problem - solve,solution,0,0
problem - solve,analysis,0,0
problem - solve,creativity,0,0
llm,language,0,0
llm,model,0,0
llm,intelligence,0,0
chatgpt,assistant,0,0
chatgpt,dialogue,0,0
chatgpt,helpful,0,0
exam,test,-1,-1
exam,assessment,-1,-1
exam,stress,-1,-1
philosophy,think,0,0
philosophy,wisdom,0,0
philosophy,question,0,0
proof,evidence,0,0
proof,verification,0,0
proof,certainty,0,0
anxiety,worry,-1,-1
anxiety,fear,-1,-1
anxiety,stress,-1,-1
classroom,education,0,0
classroom,learn,0,0
classroom,student,0,0
informatic,datum,0,0
informatic,information,0,0
informatic,technology,0,0
knowledge,understand,0,0
knowledge,wisdom,0,0
knowledge,information,0,0
grade,score,-1,-1
grade,evaluation,-1,-1
grade,performance,-1,0
variable,change,0,-1
variable,parameter,0,0
variable,flexibility,0,0
success,achievement,0,0
success,accomplishment,0,0
success,victory,0,0
logic,reasoning,0,0
logic,rationality,0,0
logic,consistency,0,0
student,learner,0,0
student,education,0,0
student,growth,0,0
literature,write,0,0
literature,story,0,0
literature,culture,0,0
failure,mistake,-1,-1
failure,learn,-1,0
failure,setback,-1,-1
study,learn,0,0
study,research,0,0
study,preparation,0,0
experiment,test,0,-1
experiment,discovery,0,0
experiment,science,0,0
theorem,truth,0,0
theorem,mathematic,0,0
theorem,proof,0,0
physics,science,0,0
physics,universe,0,0
physics,law,0,0
professor,teacher,0,0
professor,expert,0,0
professor,mentor,0,0
work,effort,0,0
work,productivity,0,0
work,accomplishment,0,0
stem,innovation,0,0
stem,progress,0,0
stem,knowledge,0,0
chemistry,reaction,0,0
chemistry,element,0,0
chemistry,laboratory,0,0
ai,intelligence,0,0
ai,automation,0,0
ai,technology,0,0
scientist,research,0,0
scientist,discovery,0,0
scientist,expertise,0,0
society,community,0,0
society,culture,0,0
society,people,0,0
datum,information,0,0
datum,analysis,0,0
datum,insight,0,0
class,learn,0,0
class,education,0,0
class,student,0,0
history,past,0,-1
history,event,0,-1
history,legacy,0,0
homework,practice,-1,0
homework,assignment,-1,-1
homework,study,-1,0
equation,balance,0,0
equation,solution,0,0
equation,mathematic,0,0
science,knowledge,0,0
science,method,0,0
science,discovery,0,0
music,harmony,0,0
music,expression,0,0
music,art,0,0
teamwork,collaboration,0,0
teamwork,synergy,0,0
teamwork,cooperation,0,0
future,progress,0,0
future,potential,0,0
future,tomorrow,0,0
creativity,innovation,0,0
creativity,imagination,0,0
creativity,originality,0,0
algorithm,logic,0,0
algorithm,process,0,0
algorithm,computation,0,0
number,quantity,0,0
number,mathematic,0,0
number,precision,0,0
model,representation,0,0
model,simulation,0,0
model,framework,0,0
biology,life,0,0
biology,organism,0,0
biology,nature,0,0
career,profession,0,0
career,growth,0,0
career,achievement,0,0
job,work,0,0
job,employment,0,0
job,responsibility,0,0
art,creativity,0,0
art,expression,0,0
art,beauty,0,0
blackboard,teach,0,0
blackboard,chalk,0,-1
blackboard,education,0,0
mathematic,logic,0,0
mathematic,number,0,0
mathematic,precision,0,0
teacher,education,0,0
teacher,guidance,0,0
teacher,mentor,0,0
