cue_word,association_word,cue_valence,associated_valence
student,busy,0,-1
student,stressful,0,-1
student,motivated,0,1
history,bore,0,-1
history,interest,0,1
history,fact,0,0
class,noisy,0,-1
class,learn,0,1
class,social,0,1
exam,stressful,-1,-1
exam,important,-1,0
exam,scary,-1,-1
anxiety,fear,-1,-1
anxiety,worry,-1,-1
anxiety,panic,-1,-1
physics,difficult,-1,-1
physics,complex,-1,0
physics,number,-1,-1
professor,strict,0,-1
professor,helpful,0,1
professor,demand,0,-1
literature,creative,1,1
literature,emotional,1,0
literature,relax,1,1
success,rewarding,1,1
success,achievable,1,0
success,difficult,1,-1
variable,change,0,0
variable,math,0,-1
variable,science,0,0
logic,clear,0,1
logic,structure,0,0
logic,abstract,0,0
homework,tiring,-1,-1
homework,important,-1,0
homework,deadline,-1,-1
grade,number,0,-1
grade,stress,0,-1
grade,motivation,0,0
future,uncertain,0,-1
future,hopeful,0,1
future,bright,0,1
theorem,proof,-1,0
theorem,math,-1,-1
theorem,complex,-1,-1
experiment,scientific,0,0
experiment,learn,0,1
experiment,fun,0,1
teacher,supportive,1,1
teacher,strict,1,-1
teacher,inspire,1,1
knowledge,powerful,1,1
knowledge,necessary,1,1
knowledge,deep,1,0
number,abstract,-1,-1
number,confuse,-1,-1
number,useful,-1,0
scientist,curious,1,1
scientist,smart,1,1
scientist,dedicate,1,1
job,career,0,1
job,income,0,0
job,stress,0,-1
datum,analysis,-1,0
datum,complex,-1,0
datum,number,-1,-1
biology,interest,0,1
biology,life,0,1
biology,cell,0,0
art,creative,1,1
art,free,1,1
art,beautiful,1,1
society,complex,0,0
society,connect,0,1
society,diverse,0,1
teamwork,collaboration,1,1
teamwork,support,1,1
teamwork,efficiency,1,1
lecture,bore,-1,-1
lecture,memorization,-1,0
lecture,passive,-1,-1
computation,fast,1,1
computation,accurate,1,1
computation,tedious,1,-1
chatgpt,helpful,0,1
chatgpt,creative,0,1
chatgpt,unreliable,0,-1
stem,challenge,0,1
stem,important,0,1
stem,dull,0,-1
classroom,learn,0,1
classroom,stressful,0,-1
classroom,traditional,0,0
equation,complex,0,1
equation,logic,0,1
equation,number,0,1
work,demand,0,0
work,productive,0,1
work,tiring,0,-1
llm,powerful,0,1
llm,abstract,0,0
llm,frighten,0,-1
problem - solve,logical,1,1
problem - solve,creative,1,1
problem - solve,difficult,1,-1
model,simplified,1,0
model,useful,1,1
model,abstract,1,0
mathematic,challenge,0,1
mathematic,beautiful,0,1
mathematic,intimidate,0,-1
proof,rigorous,0,1
proof,logic,0,1
proof,confuse,0,-1
study,focus,0,1
study,stressful,0,-1
study,productive,0,1
philosophy,deep,1,1
philosophy,abstract,1,1
philosophy,interest,1,1
algorithm,efficient,0,1
algorithm,complex,0,0
algorithm,rigid,0,-1
creativity,free,1,1
creativity,innovative,1,1
creativity,chaotic,1,0
informatic,structure,1,1
informatic,logical,1,1
informatic,technical,1,0
ai,future,0,1
ai,complex,0,0
ai,scary,0,-1
music,relax,1,1
music,emotional,1,1
music,creative,1,1
science,truthful,1,1
science,logical,1,1
science,bore,1,-1
chemistry,experimental,0,1
chemistry,dangerous,0,-1
chemistry,fascinating,0,1
failure,negative,-1,-1
failure,learn,-1,1
failure,opportunity,-1,1
career,goal,0,1
career,ambitious,0,1
career,uncertain,0,-1
blackboard,traditional,0,0
blackboard,chalk,0,-1
blackboard,memorable,0,1
