cue_word,association_word,cue_valence,associated_valence
failure,loss,-1,-1
failure,disappointment,-1,-1
ai,technology,0,-1
ai,intelligence,0,1
music,harmony,1,1
music,rhythm,1,1
classroom,learn,-1,0
classroom,teacher,-1,0
chemistry,reaction,-1,-1
chemistry,element,-1,-1
anxiety,stress,-1,-1
anxiety,worry,-1,-1
science,discovery,0,1
science,experiment,0,0
art,creativity,1,1
art,expression,1,1
variable,change,-1,-1
variable,unknown,-1,-1
future,hope,0,1
future,uncertainty,0,-1
informatic,datum,0,0
informatic,technology,0,-1
grade,performance,-1,0
grade,evaluation,-1,-1
society,community,0,1
society,culture,0,1
experiment,test,0,-1
experiment,discovery,0,1
physics,energy,0,0
physics,motion,0,0
homework,study,-1,-1
homework,task,-1,-1
success,achievement,1,1
success,happiness,1,1
exam,test,-1,-1
exam,pressure,-1,-1
job,work,0,-1
job,career,0,0
literature,story,1,1
literature,poetry,1,1
student,learn,0,0
student,youth,0,0
history,past,-1,-1
history,event,-1,-1
teacher,educate,0,1
teacher,guide,0,1
datum,information,0,0
datum,analysis,0,0
model,representation,-1,-1
model,prediction,-1,-1
mathematic,number,0,-1
mathematic,logic,0,0
mathematic,proof,0,0
professor,teacher,1,0
professor,lecture,1,-1
professor,knowledge,1,1
philosophy,think,0,0
philosophy,wisdom,0,1
philosophy,question,0,-1
knowledge,learn,1,1
knowledge,understand,1,1
knowledge,truth,1,0
scientist,research,0,0
scientist,discovery,0,1
scientist,experiment,0,0
work,effort,-1,-1
work,job,-1,-1
work,task,-1,-1
biology,life,0,1
biology,cell,0,0
biology,ecosystem,0,0
lecture,teach,-1,0
lecture,classroom,-1,-1
lecture,presentation,-1,-1
blackboard,write,-1,-1
blackboard,chalk,-1,-1
blackboard,lesson,-1,-1
class,student,-1,0
class,learn,-1,1
class,schedule,-1,-1
creativity,innovation,1,1
creativity,art,1,1
creativity,imagination,1,1
computation,calculate,-1,-1
computation,algorithm,-1,0
computation,datum,-1,-1
chatgpt,ai,0,1
chatgpt,language,0,0
chatgpt,model,0,0
logic,reasoning,0,0
logic,proof,0,0
logic,argument,0,-1
proof,mathematic,0,0
proof,evidence,0,0
proof,demonstration,0,0
career,job,0,-1
career,path,0,0
career,growth,0,1
stem,science,0,0
stem,technology,0,1
stem,engineering,0,0
llm,language,0,0
llm,model,0,0
llm,ai,0,1
number,mathematic,-1,0
number,count,-1,-1
number,datum,-1,-1
teamwork,collaboration,1,1
teamwork,group,1,0
teamwork,cooperation,1,1
theorem,proof,0,0
theorem,mathematic,0,0
theorem,logic,0,0
problem - solve,solution,0,1
problem - solve,challenge,0,-1
problem - solve,strategy,0,0
equation,math,-1,0
equation,formula,-1,-1
equation,solve,-1,-1
algorithm,computation,0,-1
algorithm,step,0,-1
algorithm,programming,0,0
