cue_word,association_word,cue_valence,associated_valence
blackboard,chalk,0,-1
blackboard,lesson,0,0
blackboard,teach,0,1
classroom,student,0,0
classroom,learn,0,1
classroom,desk,0,-1
teamwork,collaboration,1,1
teamwork,support,1,1
teamwork,goal,1,1
knowledge,learn,1,1
knowledge,wisdom,1,1
knowledge,growth,1,1
informatic,technology,0,0
informatic,datum,0,0
informatic,system,0,-1
success,achievement,1,1
success,happiness,1,1
success,goal,1,1
failure,loss,-1,-1
failure,disappointment,-1,-1
failure,lesson,-1,-1
stem,science,0,0
stem,engineering,0,0
stem,innovation,0,1
work,effort,0,-1
work,job,0,0
work,achievement,0,1
biology,life,0,1
biology,cell,0,0
biology,research,0,0
career,growth,1,1
career,opportunity,1,1
career,path,1,0
art,creativity,1,1
art,expression,1,1
art,beauty,1,1
proof,evidence,0,0
proof,logic,0,0
proof,mathematic,0,-1
society,community,0,1
society,culture,0,0
society,progress,0,1
creativity,innovation,1,1
creativity,art,1,1
creativity,idea,1,1
science,discovery,1,1
science,research,1,0
science,experiment,1,0
mathematic,number,-1,-1
mathematic,logic,-1,0
mathematic,problem,-1,-1
chemistry,reaction,0,0
chemistry,element,0,0
chemistry,laboratory,0,-1
llm,language,0,0
llm,model,0,0
llm,ai,0,0
study,learn,1,1
study,effort,1,-1
study,knowledge,1,1
lecture,teach,0,1
lecture,classroom,0,0
lecture,information,0,0
problem - solve,challenge,0,-1
problem - solve,solution,0,1
problem - solve,think,0,0
literature,book,1,1
literature,story,1,1
literature,write,1,1
scientist,research,0,0
scientist,discovery,0,1
scientist,experiment,0,0
chatgpt,ai,0,0
chatgpt,conversation,0,0
chatgpt,assistant,0,0
equation,math,-1,0
equation,solve,-1,-1
equation,problem,-1,-1
class,learn,-1,0
class,teacher,-1,-1
class,student,-1,-1
number,count,-1,-1
number,add,-1,-1
number,calculate,-1,-1
computation,calculate,-1,-1
computation,datum,-1,0
computation,process,-1,-1
professor,teach,0,0
professor,expert,0,1
professor,knowledge,0,1
philosophy,think,-1,0
philosophy,question,-1,-1
philosophy,wisdom,-1,0
homework,study,-1,-1
homework,assignment,-1,-1
homework,stress,-1,-1
history,past,-1,-1
history,event,-1,0
history,learn,-1,0
experiment,test,0,0
experiment,discover,0,1
experiment,science,0,1
algorithm,code,-1,0
algorithm,logic,-1,0
algorithm,solution,-1,0
student,learn,0,0
student,school,0,-1
student,future,0,1
datum,information,0,0
datum,analyze,0,0
datum,insight,0,1
future,hope,0,1
future,uncertainty,0,-1
future,opportunity,0,1
music,sound,1,1
music,rhythm,1,1
music,emotion,1,1
grade,score,-1,-1
grade,evaluate,-1,-1
grade,performance,-1,0
anxiety,worry,-1,-1
anxiety,stress,-1,-1
anxiety,fear,-1,-1
job,work,-1,0
job,career,-1,1
job,income,-1,0
model,represent,-1,-1
model,predict,-1,0
model,theory,-1,0
ai,technology,0,1
ai,intelligence,0,1
ai,future,0,0
teacher,educate,0,1
teacher,guide,0,1
teacher,inspire,0,1
variable,change,-1,-1
variable,unknown,-1,-1
variable,factor,-1,-1
exam,test,-1,-1
exam,prepare,-1,-1
exam,stress,-1,-1
logic,reason,0,1
logic,think,0,0
logic,solution,0,0
theorem,proof,-1,0
theorem,math,-1,0
theorem,solve,-1,-1
physics,science,0,1
physics,energy,0,1
physics,motion,0,1
