cue_word,association_word,cue_valence,associated_valence
study,baking,-1,0
study,order,-1,0
study,focus,-1,0
datum,truth,0,0
datum,pattern,0,0
datum,science,0,0
equation,balance,0,0
equation,logic,0,0
equation,symmetry,0,0
philosophy,think,0,0
philosophy,question,0,0
philosophy,mean,0,0
teamwork,harmony,0,0
teamwork,support,0,0
teamwork,peace,0,0
failure,lesson,-1,0
failure,grief,-1,-1
failure,growth,-1,0
mathematic,order,0,0
mathematic,clarity,0,0
mathematic,logic,0,0
algorithm,step,0,0
algorithm,process,0,0
algorithm,rule,0,-1
lecture,attention,-1,0
lecture,memory,-1,0
lecture,story,-1,0
professor,wisdom,0,0
professor,care,0,0
professor,guidance,0,0
class,community,-1,0
class,routine,-1,0
class,noise,-1,-1
experiment,curiosity,0,0
experiment,caution,0,0
experiment,result,0,-1
physics,motion,0,0
physics,law,0,0
physics,order,0,0
homework,focus,-1,0
homework,routine,-1,0
homework,stress,-1,-1
music,feel,0,0
music,harmony,0,0
music,joy,0,0
blackboard,write,0,0
blackboard,clarity,0,0
blackboard,memory,0,0
scientist,curiosity,0,0
scientist,truth,0,0
scientist,search,0,0
job,routine,-1,0
job,security,-1,0
job,work,-1,-1
chatgpt,help,0,0
chatgpt,answer,0,0
chatgpt,tool,0,0
student,learn,0,0
student,curiosity,0,0
student,growth,0,0
anxiety,fear,-1,-1
anxiety,doubt,-1,-1
anxiety,worry,-1,-1
classroom,order,-1,0
classroom,quiet,-1,0
classroom,energy,-1,-1
chemistry,balance,0,0
chemistry,change,0,0
chemistry,mix,0,0
science,truth,0,0
science,discovery,0,0
science,order,0,0
biology,life,0,0
biology,growth,0,0
biology,pattern,0,0
career,work,-1,0
career,success,-1,0
career,society,-1,-1
theorem,proof,0,0
theorem,logic,0,0
theorem,math,0,0
literature,story,0,0
literature,history,0,0
literature,art,0,0
model,structure,0,0
model,design,0,-1
model,system,0,0
number,computation,-1,0
number,logic,-1,0
number,pattern,-1,0
llm,ai,-1,0
llm,technology,-1,0
llm,future,-1,0
proof,logic,0,0
proof,truth,0,0
proof,theorem,0,0
art,paint,0,0
art,creativity,0,0
art,expression,0,0
problem - solve,logic,0,0
problem - solve,creativity,0,0
problem - solve,work,0,0
creativity,art,0,0
creativity,paint,0,0
creativity,idea,0,0
computation,number,-1,-1
computation,logic,-1,0
computation,machine,-1,-1
future,ai,0,0
future,technology,0,0
future,change,0,-1
logic,proof,0,0
logic,theorem,0,0
logic,reason,0,0
history,literature,0,0
history,society,0,-1
history,memory,0,0
knowledge,learn,0,0
knowledge,study,0,-1
knowledge,understand,0,0
informatic,computer,-1,-1
informatic,datum,-1,-1
informatic,system,-1,0
ai,future,0,0
ai,technology,0,0
ai,llm,0,-1
work,career,0,-1
work,grade,0,-1
work,success,0,0
society,history,-1,0
society,future,-1,0
society,community,-1,0
grade,exam,-1,-1
grade,teacher,-1,0
grade,study,-1,-1
teacher,knowledge,0,0
teacher,guide,0,0
teacher,help,0,0
variable,number,-1,-1
variable,model,-1,0
variable,change,-1,0
stem,science,-1,0
stem,math,-1,0
stem,technology,-1,0
exam,grade,-1,-1
exam,stress,-1,-1
exam,test,-1,-1
success,work,0,0
success,career,0,-1
success,grade,0,-1
