cue_word,association_word,cue_valence,associated_valence
chatgpt,intelligent,0,1
chatgpt,efficient,0,0
chatgpt,logical,0,1
career,growth,0,1
career,stability,0,0
career,purpose,0,1
job,income,-1,1
job,routine,-1,-1
job,pressure,-1,0
proof,validity,1,1
proof,clarity,1,0
proof,certainty,1,1
number,precision,0,1
number,order,0,0
number,pattern,0,-1
theorem,truth,1,1
theorem,structure,1,0
theorem,proof,1,1
logic,reasoning,1,1
logic,consistency,1,0
logic,clarity,1,1
physics,universe,0,1
physics,law,0,-1
physics,motion,0,0
lecture,knowledge,0,1
lecture,structure,0,-1
lecture,engagement,0,-1
teacher,guidance,1,0
teacher,wisdom,1,1
teacher,influence,1,-1
class,discipline,0,-1
class,structure,0,0
class,learn,0,1
algorithm,step - by - step,0,0
algorithm,efficiency,0,1
algorithm,process,0,-1
music,emotion,1,1
music,rhythm,1,0
music,harmony,1,0
philosophy,question,1,1
philosophy,depth,1,0
philosophy,understand,1,1
biology,life,0,1
biology,growth,0,-1
biology,evolution,0,0
homework,practice,-1,0
homework,effort,-1,1
homework,completion,-1,-1
blackboard,write,0,-1
blackboard,chalk,0,-1
blackboard,clarity,0,1
stem,science,1,0
stem,engineering,1,-1
stem,mathematic,1,1
equation,balance,0,0
equation,solution,0,1
equation,formula,0,-1
professor,expertise,1,1
professor,knowledge,1,1
professor,authority,1,0
art,expression,1,1
art,beauty,1,0
art,creativity,1,1
literature,story,0,1
literature,narrative,0,-1
literature,emotion,0,1
creativity,innovation,1,0
creativity,imagination,1,1
creativity,originality,1,1
model,representation,0,-1
model,simplification,0,-1
model,accuracy,0,1
computation,speed,0,1
computation,precision,0,1
computation,processing,0,-1
chemistry,molecule,0,1
chemistry,lab,0,-1
chemistry,curiosity,0,1
student,book,0,0
student,schedule,0,-1
student,responsibility,0,1
grade,score,-1,0
grade,effort,-1,1
grade,report card,-1,-1
informatic,code,0,1
informatic,algorithm,0,-1
informatic,computer,0,0
history,event,-1,0
history,timeline,-1,-1
history,memory,-1,1
scientist,discovery,1,1
scientist,research,1,0
scientist,curiosity,1,1
experiment,result,0,-1
experiment,hypothesis,0,-1
experiment,test,0,0
ai,machine,0,1
ai,learn,0,-1
ai,automation,0,0
llm,language,0,1
llm,model,0,0
llm,text,0,-1
anxiety,stress,-1,-1
anxiety,fear,-1,-1
anxiety,pressure,-1,-1
teamwork,collaboration,0,1
teamwork,trust,0,0
teamwork,share goal,0,-1
future,progress,0,1
future,innovation,0,1
future,change,0,-1
society,community,-1,0
society,value,-1,-1
society,structure,-1,-1
knowledge,learn,1,1
knowledge,wisdom,1,0
knowledge,understand,1,1
study,focus,0,1
study,routine,0,-1
study,effort,0,1
work,job,0,0
work,salary,0,-1
work,productivity,0,-1
datum,analysis,0,1
datum,collection,0,-1
datum,information,0,0
classroom,teacher,-1,0
classroom,student,-1,-1
classroom,curriculum,-1,-1
exam,test,-1,-1
exam,pressure,-1,-1
exam,performance,-1,0
failure,mistake,-1,-1
failure,setback,-1,-1
failure,lesson,-1,1
problem - solve,logic,0,1
problem - solve,strategy,0,0
problem - solve,solution,0,1
mathematic,number,-1,0
mathematic,equation,-1,-1
mathematic,proof,-1,1
success,achievement,1,1
success,goal,1,0
success,reward,1,-1
science,experiment,1,0
science,discovery,1,1
science,fact,1,0
variable,change,-1,-1
variable,factor,-1,0
variable,input,-1,-1
