cue_word,association_word,cue_valence,associated_valence
art,beauty,0,1
art,creativity,0,1
art,emotion,0,0
chatgpt,helpful,0,1
chatgpt,fast,0,0
chatgpt,neutral,0,0
chemistry,lab,0,0
chemistry,dangerous,0,-1
chemistry,complex,0,0
experiment,learn,0,1
experiment,risk,0,-1
experiment,fun,0,0
logic,reasoning,0,1
logic,clear,0,1
logic,abstract,0,0
success,achievement,1,1
success,goal,1,0
success,reward,1,1
variable,change,0,0
variable,unknown,0,-1
variable,factor,0,0
computation,calculation,0,0
computation,speed,0,1
computation,accuracy,0,1
creativity,innovation,1,1
creativity,artistic,1,0
creativity,unique,1,0
informatic,datum,0,0
informatic,tech,0,0
informatic,analysis,0,0
exam,stress,-1,-1
exam,test,-1,0
exam,grade,-1,0
mathematic,number,0,0
mathematic,logic,0,1
mathematic,problem,0,0
literature,story,0,0
literature,emotion,0,0
literature,language,0,0
homework,work,-1,0
homework,stress,-1,-1
homework,learn,-1,0
science,discovery,1,1
science,truth,1,1
science,curiosity,1,1
study,learn,0,1
study,effort,0,0
study,growth,0,0
class,teacher,0,0
class,peer,0,0
class,learn,0,0
knowledge,wisdom,1,1
knowledge,understand,1,1
knowledge,power,1,0
physics,law,0,0
physics,nature,0,0
physics,math,0,0
equation,formula,0,0
equation,balance,0,0
equation,solution,0,0
society,people,0,0
society,culture,0,0
society,system,0,0
teamwork,collaboration,0,1
teamwork,support,0,1
teamwork,goal,0,0
blackboard,chalk,0,-1
blackboard,classroom,0,0
blackboard,learn,0,0
llm,ai,0,0
llm,chatbot,0,0
llm,tool,0,0
anxiety,worry,-1,-1
anxiety,fear,-1,-1
anxiety,stress,-1,-1
future,uncertain,0,-1
future,hopeful,0,0
future,planning,0,0
job,career,0,0
job,work,0,0
job,income,0,0
number,math,0,0
number,logic,0,0
number,precision,0,0
datum,information,0,0
datum,analysis,0,0
datum,insight,0,0
scientist,research,0,0
scientist,curiosity,0,1
scientist,discovery,0,0
history,past,0,0
history,lesson,0,0
history,context,0,0
classroom,learn,0,0
classroom,teacher,0,0
classroom,student,0,0
model,simulation,0,0
model,theory,0,0
model,prediction,0,0
failure,mistake,-1,-1
failure,lesson,-1,0
failure,growth,-1,0
professor,mentor,0,0
professor,expert,0,0
professor,knowledgeable,0,0
algorithm,code,0,0
algorithm,logic,0,0
algorithm,automation,0,0
music,emotion,1,0
music,relaxation,1,1
music,creativity,1,0
proof,truth,0,1
proof,logic,0,0
proof,certainty,0,0
grade,evaluation,-1,0
grade,performance,-1,0
grade,stress,-1,-1
career,growth,0,0
career,success,0,1
career,purpose,0,0
teacher,mentor,0,0
teacher,guide,0,0
teacher,inspiration,0,0
student,learn,0,0
student,curiosity,0,0
student,effort,0,0
problem - solve,logic,0,0
problem - solve,creativity,0,0
problem - solve,persistence,0,0
ai,technology,0,0
ai,future,0,0
ai,uncertainty,0,-1
philosophy,think,0,0
philosophy,question,0,0
philosophy,wisdom,0,1
theorem,math,0,0
theorem,proof,0,0
theorem,logic,0,0
stem,science,0,0
stem,technology,0,0
stem,innovation,0,0
biology,life,0,1
biology,cell,0,0
biology,nature,0,0
work,effort,0,0
work,income,0,0
work,balance,0,0
lecture,learn,-1,0
lecture,presentation,-1,0
lecture,bore,-1,-1
