cue_word,association_word,cue_valence,associated_valence
chemistry,lab,1,1
chemistry,reaction,1,0
chemistry,element,1,1
model,simulation,0,0
model,theory,0,-1
model,abstract,0,-1
literature,book,1,1
literature,story,1,1
literature,imagination,1,1
biology,life,1,1
biology,cell,1,0
biology,nature,1,1
class,learn,0,1
class,peer,0,1
class,routine,0,-1
creativity,innovation,1,1
creativity,expression,1,1
creativity,freedom,1,1
lecture,teach,-1,0
lecture,monotony,-1,-1
lecture,information,-1,1
anxiety,stress,-1,-1
anxiety,fear,-1,-1
anxiety,pressure,-1,-1
society,community,0,1
society,rule,0,-1
society,interaction,0,0
grade,evaluation,-1,-1
grade,stress,-1,-1
grade,achievement,-1,1
student,learn,1,1
student,pressure,1,-1
student,growth,1,1
equation,math,-1,-1
equation,solution,-1,0
equation,complexity,-1,-1
logic,reasoning,0,1
logic,structure,0,0
logic,rigid,0,-1
job,career,1,1
job,stability,1,1
job,obligation,1,-1
stem,science,1,1
stem,technology,1,1
stem,rigor,1,0
future,hope,1,1
future,uncertainty,1,-1
future,possibility,1,1
professor,knowledge,1,1
professor,authority,1,0
professor,guidance,1,1
number,math,-1,-1
number,precision,-1,0
number,abstract,-1,-1
scientist,research,1,1
scientist,discovery,1,1
scientist,dedication,1,1
theorem,proof,-1,0
theorem,math,-1,-1
theorem,complex,-1,-1
computation,calculation,0,0
computation,ai,0,1
computation,efficiency,0,1
art,creativity,1,1
art,beauty,1,1
art,expression,1,1
ai,technology,1,1
ai,future,1,1
ai,automation,1,0
work,effort,0,0
work,productivity,0,1
work,exhaustion,0,-1
music,harmony,1,1
music,emotion,1,1
music,relaxation,1,1
career,future,1,1
career,stress,1,-1
career,money,1,1
teacher,guidance,1,1
teacher,authority,1,0
teacher,patience,1,1
physics,difficult,0,-1
physics,universe,0,1
physics,equation,0,-1
variable,change,0,0
variable,maths,0,-1
variable,uncertainty,0,-1
problem - solve,challenge,1,1
problem - solve,logic,1,0
problem - solve,frustration,1,-1
history,past,0,0
history,story,0,1
history,memorization,0,-1
science,discovery,1,1
science,experiment,1,1
science,complexity,1,0
informatic,computer,0,1
informatic,cod,0,0
informatic,technical,0,0
philosophy,think,-1,1
philosophy,abstract,-1,-1
philosophy,confuse,-1,-1
teamwork,collaboration,1,1
teamwork,conflict,1,-1
teamwork,efficiency,1,1
llm,ai,1,1
llm,technology,1,1
llm,future,1,1
algorithm,step,0,0
algorithm,efficiency,0,1
algorithm,complex,0,-1
knowledge,power,1,1
knowledge,learn,1,1
knowledge,overwhelm,1,-1
mathematic,number,-1,0
mathematic,difficult,-1,-1
mathematic,logic,-1,0
chatgpt,helpful,1,1
chatgpt,ai,1,1
chatgpt,tool,1,1
study,effort,0,1
study,stress,0,-1
study,growth,0,1
failure,disappointment,-1,-1
failure,learn,-1,1
failure,shame,-1,-1
exam,stress,-1,-1
exam,evaluation,-1,0
exam,relief,-1,1
proof,evidence,1,1
proof,certainty,1,1
proof,rigorous,1,0
success,achievement,1,1
success,happiness,1,1
success,pride,1,1
blackboard,teach,0,1
blackboard,chalk,0,0
blackboard,classroom,0,0
homework,work,-1,0
homework,tedious,-1,-1
homework,learn,-1,1
classroom,learn,0,1
classroom,bore,0,-1
classroom,social,0,1
experiment,hand - on,1,1
experiment,discovery,1,1
experiment,messy,1,-1
datum,information,0,1
datum,analysis,0,0
datum,overload,0,-1
