cue_word,association_word,cue_valence,associated_valence
work,career,-1,0
work,stress,-1,-1
work,balance,-1,0
homework,deadline,-1,-1
homework,grade,-1,0
homework,boredom,-1,-1
knowledge,wisdom,0,0
knowledge,power,0,0
knowledge,growth,0,0
student,learn,-1,0
student,curiosity,-1,0
student,pressure,-1,-1
professor,mentor,0,0
professor,expert,0,0
professor,authority,0,-1
history,past,0,-1
history,lesson,0,0
history,context,0,-1
variable,change,-1,-1
variable,datum,-1,0
variable,experiment,-1,0
biology,life,0,0
biology,cell,0,0
biology,nature,0,0
art,creativity,0,0
art,beauty,0,0
art,expression,0,0
anxiety,fear,-1,-1
anxiety,worry,-1,-1
anxiety,panic,-1,-1
creativity,innovation,0,0
creativity,freedom,0,0
creativity,joy,0,0
stem,logic,0,0
stem,problem - solve,0,0
stem,career,0,0
blackboard,chalk,-1,-1
blackboard,classroom,-1,-1
blackboard,learn,-1,0
music,emotion,0,0
music,relaxation,0,0
music,expression,0,0
teamwork,collaboration,0,0
teamwork,support,0,0
teamwork,achievement,0,0
model,simulation,-1,0
model,theory,-1,0
model,prediction,-1,0
science,discovery,0,0
science,truth,0,0
science,curiosity,0,0
equation,math,-1,0
equation,logic,-1,0
equation,solution,-1,0
chatgpt,ai,0,0
chatgpt,assistant,0,0
chatgpt,tool,0,0
chemistry,reaction,0,-1
chemistry,element,0,0
chemistry,lab,0,-1
grade,success,-1,0
grade,failure,-1,-1
grade,pressure,-1,-1
study,learn,0,0
study,effort,0,0
study,preparation,0,0
success,achievement,0,0
success,happiness,0,0
success,growth,0,0
lecture,teach,-1,0
lecture,information,-1,0
lecture,boredom,-1,-1
class,learn,-1,0
class,community,-1,0
class,stress,-1,-1
classroom,learn,0,0
classroom,student,0,0
classroom,education,0,0
llm,intelligence,0,0
llm,chatbot,0,-1
llm,model,0,0
society,culture,0,0
society,community,0,0
society,people,0,0
computation,processing,0,0
computation,calculation,0,-1
computation,math,0,0
logic,reasoning,0,0
logic,deduction,0,0
logic,truth,0,0
experiment,testing,0,0
experiment,research,0,0
experiment,science,0,0
job,work,-1,0
job,career,-1,0
job,employment,-1,-1
ai,technology,0,0
ai,machine,0,-1
ai,intelligence,0,0
future,tomorrow,0,-1
future,progress,0,0
future,hope,0,0
informatic,datum,0,0
informatic,science,0,0
informatic,system,0,0
mathematic,number,0,0
mathematic,logic,0,0
mathematic,proof,0,0
datum,information,-1,0
datum,analysis,-1,0
datum,statistic,-1,0
algorithm,code,0,-1
algorithm,process,0,0
algorithm,logic,0,0
scientist,researcher,0,0
scientist,innovator,0,0
scientist,discoverer,0,0
number,math,-1,0
number,quantity,-1,-1
number,digit,-1,-1
career,profession,0,0
career,work,0,-1
career,path,0,-1
problem - solve,solution,0,0
problem - solve,think,0,0
problem - solve,puzzle,0,-1
failure,mistake,-1,-1
failure,error,-1,-1
failure,loss,-1,-1
proof,evidence,0,0
proof,truth,0,0
proof,logic,0,0
physics,science,0,0
physics,matter,0,-1
physics,energy,0,0
theorem,math,0,0
theorem,proof,0,0
theorem,logic,0,0
literature,book,0,0
literature,story,0,0
literature,write,0,0
exam,test,-1,-1
exam,grade,-1,-1
exam,school,-1,-1
philosophy,think,0,0
philosophy,ethic,0,0
philosophy,wisdom,0,0
teacher,mentor,0,0
teacher,educator,0,0
teacher,guide,0,0
