cue_word,association_word,cue_valence,associated_valence
music,rhythm,1,0
music,sound,1,1
chemistry,reaction,0,-1
chemistry,molecule,0,1
history,past,-1,-1
history,event,-1,0
society,people,1,1
society,culture,1,0
exam,test,-1,-1
exam,quiz,-1,0
algorithm,code,1,1
algorithm,logic,1,0
study,research,0,-1
study,learn,0,1
stem,science,1,1
stem,technology,1,0
class,group,-1,0
class,lesson,-1,1
mathematic,number,0,1
mathematic,equation,0,-1
homework,work,-1,-1
homework,task,-1,0
science,experiment,1,0
science,discovery,1,1
work,job,-1,-1
work,productivity,-1,1
student,school,0,-1
student,education,0,1
datum,information,1,0
datum,analysis,1,1
theorem,proof,-1,-1
theorem,conclusion,-1,1
computation,calculate,0,-1
computation,processing,0,1
blackboard,board,0,-1
blackboard,teach,0,1
informatic,computer,1,-1
informatic,software,1,1
number,count,1,0
number,arithmetic,1,1
experiment,research,0,-1
experiment,test,0,-1
logic,reasoning,1,0
logic,deduction,1,1
classroom,room,-1,-1
classroom,teach,-1,1
teacher,instructor,1,0
teacher,guidance,1,1
variable,value,-1,-1
variable,parameter,-1,1
professor,teach,1,0
professor,knowledge,1,1
ai,automation,-1,0
ai,technology,-1,1
model,simulation,0,1
model,datum,0,-1
grade,performance,0,1
grade,exam,0,-1
lecture,classroom,0,1
lecture,discussion,0,1
equation,math,-1,0
equation,formula,-1,-1
teamwork,collaboration,1,1
teamwork,group,1,0
chatgpt,ai,-1,-1
chatgpt,chat,-1,1
knowledge,study,1,0
knowledge,learn,1,1
literature,book,1,0
literature,read,1,-1
problem - solve,research,1,1
problem - solve,think,1,0
creativity,imagination,1,1
creativity,art,1,-1
future,hope,0,1
future,possibility,0,1
proof,evidence,-1,0
proof,verification,-1,-1
anxiety,stress,1,1
anxiety,fear,1,0
art,culture,-1,0
art,expression,-1,1
llm,ai,-1,-1
llm,language,-1,0
career,job,0,1
career,work,0,-1
physics,science,0,1
physics,experiment,0,-1
failure,disappointment,1,1
failure,loss,1,0
philosophy,think,-1,0
philosophy,reasoning,-1,1
job,work,0,-1
job,employment,0,-1
success,achievement,1,1
success,satisfaction,1,0
biology,life,-1,0
biology,organism,-1,-1
scientist,research,1,1
scientist,discovery,1,-1
