cue_word,association_word,cue_valence,associated_valence
lecture,teach,-1,0
lecture,learn,-1,0
proof,evidence,0,0
proof,logic,0,0
grade,score,-1,-1
grade,evaluation,-1,-1
number,math,0,0
number,calculation,0,0
scientist,research,0,0
scientist,discovery,0,0
success,achievement,0,0
success,victory,0,0
society,community,-1,0
society,culture,-1,0
failure,mistake,-1,-1
failure,loss,-1,-1
professor,teacher,0,0
professor,expert,0,0
creativity,innovation,0,0
creativity,imagination,0,0
homework,assignment,-1,-1
homework,study,-1,0
algorithm,code,0,0
algorithm,logic,0,0
future,progress,0,0
future,innovation,0,0
biology,life,0,0
biology,science,0,0
exam,test,-1,-1
exam,evaluation,-1,-1
literature,read,0,0
literature,write,0,0
teamwork,collaboration,0,0
teamwork,cooperation,0,0
physics,science,0,0
physics,mathematic,0,0
study,learn,0,0
study,research,0,0
blackboard,classroom,-1,-1
blackboard,teach,-1,0
music,art,0,0
music,melody,0,0
class,education,-1,0
class,learn,-1,0
philosophy,think,0,0
philosophy,wisdom,0,0
equation,math,0,0
equation,solution,0,0
classroom,education,-1,0
classroom,learn,-1,0
art,creativity,0,0
art,expression,0,0
art,beauty,0,0
chatgpt,ai,0,-1
chatgpt,language,0,0
chatgpt,model,0,-1
chemistry,science,0,0
chemistry,reaction,0,-1
chemistry,element,0,0
history,past,0,-1
history,story,0,0
history,culture,0,0
career,job,0,-1
career,growth,0,0
career,success,0,0
job,work,-1,0
job,career,-1,0
job,income,-1,-1
computation,calculation,0,-1
computation,algorithm,0,0
computation,datum,0,0
datum,information,0,0
datum,analysis,0,0
datum,set,0,-1
stem,science,0,0
stem,technology,0,0
stem,education,0,0
student,learn,-1,0
student,knowledge,-1,0
student,school,-1,-1
model,theory,0,0
model,simulation,0,-1
model,design,0,0
theorem,proof,0,0
theorem,mathematic,0,0
theorem,logic,0,0
llm,ai,0,-1
llm,language,0,0
llm,model,0,-1
variable,change,-1,-1
variable,factor,-1,-1
variable,mathematic,-1,0
mathematic,logic,0,0
mathematic,theorem,0,0
mathematic,calculation,0,-1
work,job,0,-1
work,effort,0,0
work,productivity,0,0
problem - solve,logic,0,0
problem - solve,challenge,0,-1
problem - solve,solution,0,0
experiment,science,0,0
experiment,test,0,-1
experiment,result,0,0
knowledge,learn,0,0
knowledge,education,0,0
knowledge,wisdom,0,0
teacher,education,0,0
teacher,student,0,-1
teacher,guidance,0,0
anxiety,stress,-1,-1
anxiety,fear,-1,-1
anxiety,pressure,-1,-1
science,discovery,0,0
science,research,0,0
science,stem,0,0
ai,technology,-1,0
ai,innovation,-1,0
ai,future,-1,0
informatic,datum,0,0
informatic,computation,0,0
informatic,system,0,-1
logic,reasoning,0,0
logic,mathematic,0,0
logic,proof,0,0
