cue_word,association_word,cue_valence,associated_valence
informatic,tech,0,1
informatic,datum,0,0
informatic,computer,0,0
work,career,0,1
work,job,0,0
work,task,0,0
music,song,0,1
music,guitar,0,0
music,beat,0,0
science,physics,1,1
science,biology,1,0
science,research,1,1
philosophy,logic,1,0
philosophy,ethic,1,0
philosophy,existentialism,1,0
theorem,proof,0,0
theorem,equation,0,1
theorem,mathematic,0,1
future,possibility,0,0
future,dream,0,0
future,uncertainty,0,-1
llm,chatbot,1,0
llm,ai,1,1
llm,natural language,1,0
art,creativity,0,1
art,painting,0,0
art,expression,0,0
ai,machine,1,0
ai,intelligence,1,0
ai,learn,1,0
problem - solve,critical thinking,0,1
problem - solve,solution,0,1
problem - solve,challenge,0,0
study,learn,0,1
study,book,0,0
study,grade,0,0
success,achievement,1,1
success,goal,1,0
success,prosperity,1,0
history,past event,0,0
history,civilization,0,0
history,lesson,0,0
teamwork,collaboration,1,1
teamwork,partnership,1,0
teamwork,synergy,1,0
class,education,0,0
class,lecture,0,0
class,assignment,0,0
student,learn,1,1
student,research,1,0
student,duty,1,0
teacher,knowledge,1,1
teacher,guidance,1,0
teacher,mentorship,1,0
failure,mistake,-1,0
failure,setback,-1,0
failure,disappointment,-1,0
homework,assignment,-1,0
homework,task,-1,0
homework,practice,-1,1
stem,science,1,1
stem,technology,1,1
stem,engineering,1,0
exam,test,0,0
exam,assessment,0,0
exam,grade,0,0
career,job,1,0
career,goal,1,0
career,prospect,1,0
experiment,research,0,1
experiment,testing,0,0
experiment,discovery,0,0
society,culture,0,0
society,norm,0,-1
society,progress,0,1
chemistry,molecule,0,0
chemistry,reaction,0,-1
chemistry,formula,0,0
biology,cell,0,1
biology,gene,0,0
biology,ecosystem,0,0
model,simulation,0,1
model,equation,0,0
model,prediction,0,0
creativity,imagination,1,1
creativity,artistic,1,0
creativity,originality,1,0
datum,information,0,0
datum,number,0,0
datum,analysis,0,0
equation,formula,0,1
equation,solution,0,0
equation,balance,0,0
logic,reasoning,0,0
logic,proof,0,0
logic,deduction,0,0
professor,teacher,0,1
professor,lecturer,0,0
professor,advisor,0,0
classroom,desk,0,0
classroom,note,0,0
classroom,exam,0,-1
knowledge,information,1,0
knowledge,learn,1,0
knowledge,wisdom,1,0
job,career,0,0
job,salary,0,0
job,responsibility,0,0
scientist,researcher,1,1
scientist,discoverer,1,0
scientist,innovator,1,0
lecture,presentation,0,0
lecture,explanation,0,0
lecture,discussion,0,0
computation,calculate,0,1
computation,programming,0,0
computation,processing,0,0
blackboard,chalk,0,-1
blackboard,write,0,0
blackboard,lesson,0,0
mathematic,number,0,1
mathematic,algebra,0,0
mathematic,geometry,0,0
proof,logic,0,0
proof,verification,0,0
proof,demonstration,0,0
anxiety,stress,-1,0
anxiety,panic,-1,-1
anxiety,fear,-1,-1
chatgpt,ai,0,1
chatgpt,assistant,0,0
chatgpt,conversation,0,0
number,digit,0,0
number,calculate,0,1
number,statistic,0,0
physics,force,0,0
physics,motion,0,0
physics,energy,0,0
variable,unknown,0,0
variable,parameter,0,0
variable,change,0,1
algorithm,procedure,0,0
algorithm,step - by - step,0,0
algorithm,solution,0,0
grade,score,0,-1
grade,rating,0,0
grade,evaluation,0,1
literature,book,0,1
literature,poetry,0,0
literature,storytelle,0,0
