cue_word,association_word,cue_valence,associated_valence
music,classical,1,1
music,relaxation,1,0
music,joy,1,1
failure,stress,-1,-1
failure,disappointment,-1,-1
failure,learn,-1,-1
model,mathematic,-1,-1
model,design,-1,0
model,fashion,-1,-1
work,routine,-1,-1
work,responsibility,-1,0
work,pressure,-1,-1
mathematic,challenge,-1,-1
mathematic,economic,-1,0
mathematic,logic,-1,0
homework,boredom,-1,-1
homework,obligation,-1,-1
homework,study,-1,-1
computation,algorithm,0,0
computation,precision,0,1
computation,informatic,0,0
problem - solve,creativity,1,1
problem - solve,satisfaction,1,1
problem - solve,effort,1,-1
physics,interest,0,1
physics,complex,0,-1
physics,theory,0,0
grade,pressure,-1,-1
grade,achievement,-1,1
grade,evaluation,-1,-1
future,uncertainty,0,-1
future,hope,0,1
future,planning,0,0
career,growth,0,1
career,stability,0,0
career,challenge,0,0
biology,life,-1,1
biology,complexity,-1,-1
biology,curiosity,-1,0
knowledge,power,1,0
knowledge,growth,1,1
knowledge,access,1,0
algorithm,logic,0,0
algorithm,efficiency,0,1
algorithm,code,0,0
class,learn,-1,0
class,noise,-1,-1
class,structure,-1,-1
teamwork,collaboration,1,1
teamwork,support,1,1
teamwork,coordination,1,0
equation,solution,-1,1
equation,complexity,-1,-1
equation,balance,-1,0
ai,future,0,0
ai,curiosity,0,0
ai,tool,0,0
art,creativity,1,1
art,expression,1,1
art,beauty,1,1
creativity,freedom,1,1
creativity,innovation,1,1
creativity,joy,1,1
variable,uncertainty,-1,-1
variable,change,-1,-1
variable,analysis,-1,0
chatgpt,technology,0,0
chatgpt,help,0,1
chatgpt,curiosity,0,0
informatic,datum,0,0
informatic,system,0,0
informatic,logic,0,0
datum,information,0,1
datum,analysis,0,0
datum,organization,0,0
job,security,0,1
job,balance,0,-1
job,responsibility,0,-1
lecture,boredom,-1,-1
lecture,knowledge,-1,0
lecture,professor,-1,-1
chemistry,lab,0,0
chemistry,reaction,0,-1
chemistry,formula,0,-1
study,focus,-1,0
study,exhaustion,-1,-1
study,note,-1,-1
theorem,proof,-1,-1
theorem,complexity,-1,-1
theorem,math,-1,-1
classroom,child,-1,0
classroom,noise,-1,-1
classroom,learn,-1,0
experiment,discovery,0,1
experiment,failure,0,-1
experiment,lab,0,0
llm,technology,-1,0
llm,confusion,-1,-1
llm,future,-1,-1
society,change,-1,-1
society,inequality,-1,-1
society,progress,-1,0
teacher,guidance,0,1
teacher,patience,0,0
teacher,authority,0,-1
blackboard,chalk,-1,-1
blackboard,lesson,-1,-1
blackboard,dust,-1,-1
proof,logic,0,0
proof,evidence,0,0
proof,theorem,0,-1
science,discovery,1,1
science,truth,1,1
science,experiment,1,0
literature,book,0,1
literature,imagination,0,1
literature,classic,0,0
professor,knowledge,0,1
professor,respect,0,0
professor,lecture,0,-1
stem,career,0,0
stem,challenge,0,-1
stem,science,0,1
number,math,-1,-1
number,precision,-1,0
number,stress,-1,-1
scientist,research,1,1
scientist,curiosity,1,1
scientist,genius,1,0
student,learn,-1,0
student,youth,-1,0
student,pressure,-1,-1
logic,reason,0,1
logic,proof,0,0
logic,structure,0,0
anxiety,stress,-1,-1
anxiety,exam,-1,-1
anxiety,fear,-1,-1
exam,pressure,-1,-1
exam,preparation,-1,-1
exam,failure,-1,-1
philosophy,think,0,0
philosophy,wisdom,0,1
philosophy,debate,0,-1
success,achievement,1,1
success,happiness,1,1
success,effort,1,0
history,past,-1,-1
history,lesson,-1,-1
history,boredom,-1,-1
