cue_word,association_word,cue_valence,associated_valence
informatic,datum,0,0
informatic,code,0,0
informatic,algorithm,0,-1
mathematic,equation,0,0
mathematic,proof,0,0
mathematic,calculation,0,-1
professor,knowledge,0,0
professor,authority,0,0
professor,teach,0,0
work,salary,-1,0
work,schedule,-1,-1
work,effort,-1,0
stem,science,0,0
stem,engineering,0,0
stem,innovation,0,0
job,career,0,0
job,responsibility,0,-1
job,paycheck,0,0
model,representation,0,-1
model,prediction,0,0
model,structure,0,0
teacher,guidance,0,0
teacher,instruction,0,0
teacher,support,0,0
blackboard,write,-1,0
blackboard,chalk,-1,-1
blackboard,classroom,-1,0
success,achievement,0,0
success,goal,0,0
success,pride,0,0
history,past,-1,-1
history,event,-1,0
history,memory,-1,0
exam,stress,-1,-1
exam,test,-1,-1
exam,performance,-1,0
music,melody,0,0
music,rhythm,0,0
music,emotion,0,0
lecture,presentation,-1,0
lecture,classroom,-1,0
lecture,information,-1,0
biology,laboratory,0,-1
biology,cell,0,0
biology,life,0,0
anxiety,fear,-1,-1
anxiety,worry,-1,-1
anxiety,nervousness,-1,-1
science,experiment,0,0
science,discovery,0,0
science,truth,0,0
study,focus,0,0
study,effort,0,0
study,learn,0,0
number,calculation,-1,0
number,datum,-1,0
number,pattern,-1,-1
failure,mistake,-1,-1
failure,loss,-1,-1
failure,setback,-1,-1
teamwork,collaboration,0,0
teamwork,share,0,-1
teamwork,support,0,0
class,student,-1,0
class,group,-1,0
class,discussion,-1,0
chatgpt,helpful,0,0
chatgpt,quick,0,0
chatgpt,tool,0,-1
knowledge,understand,0,0
knowledge,wisdom,0,0
knowledge,learn,0,0
problem - solve,logic,0,0
problem - solve,strategy,0,0
problem - solve,solution,0,0
literature,story,0,0
literature,read,0,0
literature,imagination,0,0
variable,change,-1,0
variable,math,-1,0
variable,function,-1,-1
llm,technology,0,0
llm,intelligent,0,0
llm,helpful,0,0
datum,information,0,0
datum,analysis,0,0
datum,collection,0,-1
grade,score,-1,0
grade,performance,-1,0
grade,level,-1,-1
chemistry,molecule,0,0
chemistry,lab,0,0
chemistry,reaction,0,-1
computation,processing,0,0
computation,speed,0,0
computation,code,0,0
career,job,0,0
career,path,0,0
career,growth,0,0
physics,force,0,0
physics,motion,0,0
physics,law,0,0
classroom,teacher,-1,0
classroom,learn,-1,0
classroom,discipline,-1,-1
philosophy,think,0,0
philosophy,question,0,0
philosophy,reasoning,0,0
theorem,proof,0,0
theorem,logic,0,0
theorem,mathematic,0,0
ai,machine,0,-1
ai,learn,0,0
ai,intelligence,0,0
algorithm,step,0,0
algorithm,process,0,0
algorithm,sequence,0,-1
experiment,test,0,0
experiment,result,0,0
experiment,hypothesis,0,-1
proof,logic,0,0
proof,validity,0,0
proof,deduction,0,0
equation,formula,0,0
equation,math,0,0
equation,solution,0,-1
student,study,0,0
student,class,0,-1
student,homework,0,-1
scientist,research,0,0
scientist,discovery,0,0
scientist,experiment,0,0
art,expression,0,0
art,beauty,0,0
art,creativity,0,0
creativity,imagination,0,0
creativity,innovation,0,0
creativity,design,0,-1
future,progress,0,0
future,change,0,0
future,possibility,0,0
homework,task,-1,0
homework,study,-1,0
homework,assignment,-1,-1
logic,reasoning,0,0
logic,structure,0,0
logic,consistency,0,0
society,community,-1,0
society,system,-1,0
society,change,-1,0
