cue_word,association_word,cue_valence,associated_valence
professor,lecture,0,-1
professor,chalk,0,-1
professor,authority,0,0
philosophy,think,1,1
philosophy,debate,1,0
philosophy,mean,1,1
blackboard,chalk,-1,-1
blackboard,equation,-1,-1
blackboard,school,-1,0
informatic,computer,1,1
informatic,cod,1,1
informatic,datum,1,1
chemistry,lab,-1,-1
chemistry,reaction,-1,-1
chemistry,formula,-1,0
model,design,0,1
model,scale,0,0
model,prototype,0,1
science,experiment,1,1
science,discovery,1,1
science,lab,1,0
teacher,student,1,0
teacher,lesson,1,0
teacher,guide,1,1
literature,story,0,1
literature,poetry,0,1
literature,book,0,1
art,canvas,1,1
art,creativity,1,1
art,beauty,1,1
number,math,-1,-1
number,calculation,-1,-1
number,logic,-1,0
success,achievement,1,1
success,reward,1,1
success,goal,1,1
experiment,test,1,0
experiment,result,1,1
experiment,hypothesis,1,0
creativity,imagination,1,1
creativity,innovation,1,1
creativity,art,1,1
biology,life,0,1
biology,nature,0,1
biology,cell,0,0
future,hope,1,1
future,opportunity,1,1
future,change,1,0
algorithm,code,1,1
algorithm,logic,1,0
algorithm,solution,1,1
variable,change,-1,0
variable,unknown,-1,-1
variable,equation,-1,-1
anxiety,stress,-1,-1
anxiety,worry,-1,-1
anxiety,fear,-1,-1
stem,science,0,1
stem,technology,0,1
stem,math,0,-1
teamwork,collaboration,1,1
teamwork,support,1,1
teamwork,goal,1,1
exam,test,-1,0
exam,pressure,-1,-1
exam,study,-1,0
study,book,0,1
study,focus,0,1
study,knowledge,0,1
class,student,0,0
class,teacher,0,1
class,lesson,0,0
computation,calculate,1,0
computation,machine,1,0
computation,datum,1,1
grade,test,0,-1
grade,pressure,0,-1
grade,school,0,0
problem - solve,challenge,1,1
problem - solve,logic,1,1
problem - solve,creativity,1,1
scientist,research,1,1
scientist,curiosity,1,1
scientist,datum,1,0
chatgpt,tool,0,1
chatgpt,confusion,0,-1
chatgpt,efficiency,0,1
theorem,proof,-1,0
theorem,math,-1,-1
theorem,complex,-1,-1
datum,analysis,0,1
datum,number,0,0
datum,useless,0,-1
homework,boredom,-1,-1
homework,procrastination,-1,-1
homework,duty,-1,0
proof,logic,1,1
proof,evidence,1,1
proof,doubt,1,-1
history,bore,-1,-1
history,lesson,-1,-1
history,past,-1,0
lecture,sleepy,-1,-1
lecture,information,-1,0
lecture,monotone,-1,-1
equation,math,-1,-1
equation,solve,-1,0
equation,abstract,-1,-1
mathematic,difficult,-1,-1
mathematic,pattern,-1,0
mathematic,theory,-1,0
failure,disappointment,-1,-1
failure,learn,-1,0
failure,end,-1,-1
llm,ai,0,0
llm,complex,0,-1
llm,tool,0,1
work,purpose,1,1
work,stress,1,-1
work,unemployed,1,-1
career,goal,0,1
career,unstable,0,-1
career,future,0,1
ai,future,0,1
ai,scary,0,-1
ai,innovation,0,1
job,security,1,1
job,hunt,1,-1
job,responsibility,1,0
society,change,0,0
society,rule,0,-1
society,diverse,0,1
music,classical,1,1
music,relax,1,1
music,art,1,1
classroom,student,-1,0
classroom,teach,-1,0
classroom,noisy,-1,-1
student,learn,0,1
student,young,0,0
student,pressure,0,-1
physics,theory,-1,0
physics,experiment,-1,0
physics,complex,-1,-1
knowledge,power,1,1
knowledge,curiosity,1,1
knowledge,useless,1,-1
logic,reason,1,1
logic,proof,1,1
logic,order,1,1
