cue_word,association_word,cue_valence,associated_valence
success,achievement,1,1
success,pride,1,1
success,money,1,1
blackboard,chalk,0,-1
blackboard,teach,0,1
blackboard,dust,0,-1
career,job,1,0
career,future,1,1
career,stress,1,-1
logic,reason,-1,0
logic,maths,-1,-1
logic,cold,-1,-1
failure,disappointment,-1,-1
failure,shame,-1,-1
failure,learn,-1,0
problem - solve,puzzle,0,1
problem - solve,challenge,0,0
problem - solve,frustration,0,-1
grade,score,-1,0
grade,pressure,-1,-1
grade,judgment,-1,-1
homework,work,-1,-1
homework,bore,-1,-1
homework,time,-1,0
stem,science,0,1
stem,difficult,0,-1
stem,innovation,0,1
lecture,teacher,-1,0
lecture,monotone,-1,-1
lecture,information,-1,1
theorem,proof,-1,-1
theorem,complex,-1,-1
theorem,abstract,-1,-1
physics,force,0,0
physics,equation,0,-1
physics,universe,0,1
class,student,0,1
class,room,0,0
class,schedule,0,-1
datum,number,0,-1
datum,analysis,0,0
datum,overwhelm,0,-1
classroom,desk,0,-1
classroom,learn,0,1
classroom,noise,0,-1
society,people,1,1
society,rule,1,-1
society,community,1,1
teamwork,collaboration,1,1
teamwork,conflict,1,-1
teamwork,support,1,1
model,simulation,0,1
model,simplify,0,1
model,representation,0,1
history,past,-1,-1
history,bore,-1,-1
history,story,-1,0
mathematic,number,-1,-1
mathematic,hard,-1,-1
mathematic,logic,-1,-1
scientist,research,1,1
scientist,smart,1,1
scientist,lab,1,1
chemistry,experiment,1,1
chemistry,reaction,1,1
chemistry,fun,1,1
philosophy,think,1,1
philosophy,debate,1,0
philosophy,abstract,1,-1
art,creativity,1,1
art,expression,1,1
art,beauty,1,1
variable,change,-1,0
variable,unknown,-1,-1
variable,maths,-1,-1
llm,ai,1,1
llm,technology,1,1
llm,future,1,1
professor,teacher,0,0
professor,knowledge,0,1
professor,strict,0,-1
computation,number,-1,-1
computation,maths,-1,-1
computation,difficult,-1,-1
work,job,0,0
work,stress,0,-1
work,money,0,1
job,work,0,0
job,income,0,1
job,routine,0,-1
study,exam,-1,-1
study,stress,-1,-1
study,learn,-1,1
literature,book,0,1
literature,art,0,1
literature,bore,0,-1
exam,stress,-1,-1
exam,anxiety,-1,-1
exam,grade,-1,0
music,classical,1,1
music,relaxation,1,1
music,hobby,1,1
equation,maths,-1,-1
equation,difficult,-1,-1
equation,number,-1,-1
number,maths,-1,-1
number,computation,-1,-1
number,confuse,-1,-1
chatgpt,ai,1,1
chatgpt,helpful,1,1
chatgpt,technology,1,1
experiment,science,1,1
experiment,chemistry,1,1
experiment,fun,1,1
informatic,computer,0,1
informatic,technology,0,1
informatic,complex,0,-1
teacher,professor,0,0
teacher,guidance,0,1
teacher,strict,0,-1
biology,science,1,1
biology,nature,1,1
biology,interest,1,1
anxiety,stress,-1,-1
anxiety,exam,-1,-1
anxiety,fear,-1,-1
science,experiment,1,1
science,knowledge,1,1
science,chemistry,1,1
future,uncertainty,1,-1
future,hope,1,1
future,technology,1,1
algorithm,computation,0,-1
algorithm,ai,0,1
algorithm,complex,0,-1
knowledge,learn,1,1
knowledge,power,1,1
knowledge,science,1,1
ai,technology,1,1
ai,future,1,1
ai,chatgpt,1,1
proof,maths,-1,-1
proof,certainty,-1,1
proof,difficult,-1,-1
student,study,0,-1
student,stress,0,-1
student,learn,0,1
creativity,art,1,1
creativity,freedom,1,1
creativity,expression,1,1
