cue_word,association_word,cue_valence,associated_valence
study,learn,1,1
study,achievement,1,0
study,growth,1,0
success,accomplishment,1,1
success,prosperity,1,1
success,excellence,1,1
class,education,0,1
class,routine,0,-1
class,structure,0,0
philosophy,wisdom,0,1
philosophy,think,0,0
philosophy,reasoning,0,0
classroom,interaction,0,0
classroom,discipline,0,0
art,creativity,0,1
art,expression,0,1
art,beauty,0,1
knowledge,understand,1,1
knowledge,insight,1,1
knowledge,wisdom,1,1
proof,evidence,0,1
proof,certainty,0,1
proof,validation,0,0
science,research,1,1
science,fact,1,1
science,discovery,1,1
model,representation,0,0
model,analysis,0,0
model,simulation,0,-1
theorem,proof,0,1
theorem,principle,0,0
theorem,concept,0,0
equation,formula,0,0
equation,balance,0,0
equation,logic,0,0
teamwork,collaboration,1,1
teamwork,cooperation,1,1
teamwork,synergy,1,1
datum,information,0,1
datum,analysis,0,0
datum,statistic,0,-1
lecture,teach,0,0
lecture,presentation,0,0
lecture,learn,0,0
number,mathematic,0,1
number,calculation,0,0
number,precision,0,-1
career,profession,1,1
career,goal,1,0
career,achievement,1,1
informatic,compute,0,0
informatic,software,0,0
informatic,system,0,-1
professor,education,0,1
professor,expertise,0,1
professor,guidance,0,0
experiment,research,0,1
experiment,testing,0,-1
experiment,discovery,0,0
llm,artificial intelligence,-1,1
llm,language model,-1,0
llm,chatbot,-1,-1
ai,machine learn,1,1
ai,automation,1,0
ai,technology,1,0
logic,reasoning,1,1
logic,deduction,1,1
logic,argument,1,0
grade,evaluation,0,0
grade,score,0,0
grade,performance,0,0
problem - solve,critical thinking,1,1
problem - solve,solution,1,1
problem - solve,challenge,1,0
computation,number,-1,0
computation,pattern,-1,1
computation,logic,-1,-1
failure,mistake,-1,-1
failure,error,-1,-1
failure,defeat,-1,-1
chemistry,molecule,-1,0
chemistry,reaction,-1,1
chemistry,science,-1,-1
creativity,imagination,1,0
creativity,idea,1,0
creativity,artistic,1,-1
mathematic,equation,0,1
mathematic,calculation,0,0
mathematic,number,0,-1
job,career,-1,0
job,work,-1,-1
job,profession,-1,-1
stem,science,0,1
stem,technology,0,0
stem,engineering,0,0
algorithm,process,-1,-1
algorithm,step,-1,-1
algorithm,compute,-1,-1
teacher,educator,0,1
teacher,mentor,0,0
teacher,guide,0,-1
exam,test,-1,-1
exam,assessment,-1,-1
exam,evaluation,-1,-1
literature,book,-1,0
literature,story,-1,1
literature,write,-1,-1
future,prospect,-1,0
future,outlook,-1,0
future,possibility,-1,1
homework,assignment,-1,-1
homework,task,-1,-1
homework,study,-1,-1
biology,life,0,1
biology,organism,0,0
biology,science,0,-1
student,learner,0,1
student,pupil,0,0
student,scholar,0,-1
physics,force,-1,0
physics,energy,-1,0
physics,matter,-1,-1
blackboard,chalk,-1,-1
blackboard,write,-1,-1
blackboard,learn,-1,-1
anxiety,stress,-1,-1
anxiety,worry,-1,-1
anxiety,fear,-1,-1
music,note,0,1
music,melody,0,1
music,art,0,-1
work,task,-1,-1
work,career,-1,0
work,productivity,-1,0
chatgpt,ai,-1,-1
chatgpt,assistant,-1,-1
chatgpt,language,-1,-1
society,culture,-1,0
society,group,-1,0
society,norm,-1,-1
variable,change,-1,-1
variable,parameter,-1,-1
variable,unstable,-1,-1
scientist,researcher,0,1
scientist,discoverer,0,0
scientist,analyst,0,-1
history,past,-1,-1
history,event,-1,-1
history,timeline,-1,-1
