cue_word,association_word,cue_valence,associated_valence
teacher,guidance,0,1
teacher,learn,0,0
history,past,0,-1
history,truth,0,0
informatic,datum,0,1
informatic,tech,0,0
career,future,0,-1
career,work,0,0
computation,code,0,1
computation,math,0,0
blackboard,chalk,0,-1
blackboard,note,0,0
student,learn,0,1
student,young,0,-1
society,people,0,1
society,culture,0,0
philosophy,think,0,0
philosophy,idea,0,0
chemistry,element,0,1
chemistry,science,0,0
teamwork,collab,0,1
teamwork,group,0,0
equation,math,0,0
equation,balance,0,-1
knowledge,wisdom,1,0
knowledge,info,1,0
professor,expert,0,1
professor,lecture,0,0
exam,test,-1,0
exam,stress,-1,-1
classroom,seat,0,-1
classroom,school,0,0
biology,life,0,1
biology,cell,0,0
algorithm,logic,0,1
algorithm,code,0,0
failure,mistake,-1,-1
failure,loss,-1,-1
lecture,talk,0,0
lecture,teach,0,1
ai,robot,0,-1
ai,future,0,-1
creativity,imagine,0,1
creativity,art,0,0
logic,reason,0,1
logic,proof,0,-1
music,sound,0,0
music,rhythm,0,0
study,read,0,1
study,learn,0,0
experiment,test,0,0
experiment,discovery,0,1
future,tomorrow,0,0
future,possibility,0,0
stem,science,1,0
stem,logic,1,0
homework,work,-1,0
homework,chore,-1,-1
anxiety,stress,-1,-1
anxiety,worry,-1,-1
problem - solve,think,0,0
problem - solve,solve,0,1
work,job,0,-1
work,effort,0,0
job,career,0,0
job,pay,0,-1
class,lesson,0,0
class,school,0,0
mathematic,number,0,1
mathematic,calculus,0,0
grade,score,-1,-1
grade,test,-1,-1
art,creative,0,1
art,draw,0,0
proof,evidence,0,0
proof,logic,0,0
model,simulation,0,-1
model,theory,0,0
literature,book,0,0
literature,story,0,0
number,maths,1,0
number,datum,1,0
scientist,researcher,1,1
scientist,experimenter,1,0
datum,information,0,-1
datum,analysis,0,0
variable,factor,0,0
variable,change,0,-1
chatgpt,ai,0,0
chatgpt,help,0,1
theorem,proof,0,0
theorem,law,0,0
physics,science,0,1
physics,energy,0,0
success,win,1,1
success,achieve,1,0
science,research,1,0
science,discovery,1,1
llm,ai,0,0
llm,chat,0,-1
