cue_word,association_word,cue_valence,associated_valence
work,stress,0,-1
work,money,0,1
work,achievement,0,0
algorithm,logic,0,1
algorithm,precision,0,0
algorithm,complexity,0,-1
failure,frustration,-1,-1
failure,loss,-1,-1
failure,regret,-1,0
datum,fact,0,1
datum,analysis,0,0
datum,storage,0,-1
teamwork,collaboration,1,1
teamwork,support,1,0
teamwork,efficiency,1,-1
model,structure,0,1
model,design,0,0
model,representation,0,-1
anxiety,worry,-1,-1
anxiety,nervousness,-1,0
anxiety,tension,-1,-1
llm,intelligent,1,1
llm,powerful,1,0
llm,artificial,1,-1
logic,reasoning,1,0
logic,consistency,1,1
logic,truth,1,1
creativity,imagination,0,1
creativity,innovation,0,0
creativity,originality,0,1
class,subject,-1,0
class,schedule,-1,-1
class,rule,-1,-1
literature,story,1,0
literature,interpretation,1,-1
literature,emotion,1,1
science,discovery,1,1
science,experiment,1,0
science,observation,1,-1
variable,change,-1,0
variable,input,-1,-1
variable,output,-1,1
computation,processing,0,1
computation,speed,0,-1
computation,accuracy,0,0
history,past,0,-1
history,event,0,0
history,lesson,0,1
study,effort,0,1
study,learn,0,1
study,performance,0,-1
professor,knowledge,0,1
professor,authority,0,-1
professor,explanation,0,0
mathematic,number,1,1
mathematic,proof,1,1
mathematic,pattern,1,0
classroom,student,-1,0
classroom,teacher,-1,0
classroom,routine,-1,-1
teacher,guidance,1,1
teacher,instruction,1,0
teacher,support,1,-1
informatic,technology,0,1
informatic,computer,0,0
informatic,system,0,-1
music,harmony,1,1
music,emotion,1,1
music,rhythm,1,0
theorem,proof,1,1
theorem,truth,1,1
theorem,mathematic,1,1
chemistry,element,0,1
chemistry,reaction,0,-1
chemistry,lab,0,-1
exam,stress,-1,-1
exam,pressure,-1,0
exam,fear,-1,-1
equation,logic,0,1
equation,pattern,0,-1
equation,clarity,0,0
lecture,information,-1,1
lecture,structure,-1,0
lecture,boredom,-1,-1
student,effort,0,1
student,study,0,0
student,responsibility,0,-1
experiment,curiosity,0,1
experiment,failure,0,-1
experiment,datum,0,-1
scientist,discovery,1,0
scientist,dedication,1,0
scientist,critical - think,1,-1
future,ambition,-1,1
future,hope,-1,0
future,uncertainty,-1,-1
success,pride,0,1
success,achievement,0,-1
success,desire,0,0
knowledge,wisdom,1,0
knowledge,learn,1,1
knowledge,power,1,-1
biology,life,0,1
biology,growth,0,0
biology,evolution,0,-1
philosophy,question,0,1
philosophy,understand,0,0
philosophy,search,0,-1
grade,score,-1,-1
grade,effort,-1,1
grade,evaluation,-1,-1
job,income,0,-1
job,stability,0,1
job,purpose,0,0
art,expression,0,1
art,beauty,0,-1
art,creativity,0,1
society,order,-1,0
society,change,-1,-1
society,pressure,-1,-1
number,precision,0,1
number,datum,0,-1
number,pattern,0,0
problem - solve,solution,1,0
problem - solve,think,1,1
problem - solve,approach,1,-1
blackboard,write,-1,0
blackboard,chalk,-1,-1
blackboard,teach,-1,1
career,growth,0,1
career,challenge,0,-1
career,goal,0,0
physics,force,0,1
physics,law,0,-1
physics,motion,0,0
homework,routine,-1,-1
homework,completion,-1,1
homework,pressure,-1,-1
stem,science,0,1
stem,engineering,0,-1
stem,innovation,0,1
chatgpt,helpful,0,1
chatgpt,useful,0,0
chatgpt,fast,0,-1
ai,technology,0,1
ai,development,0,-1
ai,efficiency,0,0
proof,evidence,1,0
proof,validity,1,0
proof,confidence,1,-1
