cue_word,association_word,cue_valence,associated_valence
physics,science,-1,0
physics,challenge,-1,-1
exam,stressful,-1,-1
exam,preparation,-1,-1
scientist,researcher,0,1
scientist,discovery,0,1
logic,reasoning,0,0
logic,mathematic,0,-1
class,learn,-1,0
class,student,-1,0
art,creative,1,1
art,expression,1,1
anxiety,worry,-1,-1
anxiety,nervous,-1,-1
blackboard,teach,-1,0
blackboard,lesson,-1,-1
chemistry,experiment,0,0
chemistry,element,0,0
future,hope,0,1
future,uncertainty,0,-1
mathematic,number,-1,-1
mathematic,formula,-1,-1
success,achievement,1,1
success,happiness,1,1
ai,technology,0,0
ai,intelligence,0,0
computation,calculate,-1,-1
computation,algorithm,-1,-1
proof,demonstration,-1,0
proof,mathematic,-1,-1
society,community,0,1
society,progress,0,1
teacher,educator,0,0
teacher,mentor,0,1
equation,mathematic,-1,-1
equation,solution,-1,0
stem,science,0,0
stem,technology,0,0
datum,information,0,0
datum,analysis,0,0
biology,life,0,1
biology,cell,0,0
creativity,innovation,1,1
creativity,art,1,1
theorem,mathematic,-1,-1
theorem,proof,-1,-1
classroom,learn,-1,0
classroom,student,-1,0
problem - solve,challenge,0,-1
problem - solve,solution,0,1
chatgpt,ai,0,-1
chatgpt,technology,0,0
music,rhythm,1,1
music,melody,1,1
lecture,learn,-1,0
lecture,classroom,-1,-1
science,discovery,0,1
science,experiment,0,0
student,school,-1,-1
student,study,-1,-1
model,design,-1,0
model,math,-1,-1
teamwork,collaboration,1,1
teamwork,success,1,1
job,work,0,0
job,career,0,0
algorithm,code,-1,-1
algorithm,logic,-1,-1
literature,book,1,1
literature,poetry,1,1
work,effort,0,-1
work,achievement,0,1
knowledge,learn,1,0
knowledge,wisdom,1,1
history,past,0,-1
history,event,0,-1
career,growth,0,1
career,opportunity,0,1
professor,teacher,0,0
professor,expert,0,0
grade,score,-1,-1
grade,evaluation,-1,-1
llm,language,-1,0
llm,model,-1,-1
study,learn,-1,0
study,research,-1,0
homework,task,-1,-1
homework,assignment,-1,-1
experiment,test,0,-1
experiment,discover,0,1
informatic,datum,-1,0
informatic,technology,-1,0
failure,mistake,-1,-1
failure,loss,-1,-1
variable,change,-1,-1
variable,math,-1,-1
number,math,-1,-1
number,count,-1,-1
philosophy,think,0,0
philosophy,wisdom,0,1
