cue_word,association_word,cue_valence,associated_valence
computation,math,0,0
computation,datum,0,0
computation,logic,0,0
art,creativity,0,0
art,expression,0,0
art,beauty,0,0
algorithm,code,0,0
algorithm,solution,0,0
algorithm,efficiency,0,0
teacher,education,0,0
teacher,mentor,0,0
teacher,knowledge,0,0
equation,math,0,0
equation,solution,0,0
equation,variable,0,0
llm,ai,0,0
llm,language,0,0
llm,model,0,0
literature,book,0,0
literature,story,0,0
literature,knowledge,0,0
chatgpt,ai,0,0
chatgpt,conversation,0,0
chatgpt,assistant,0,0
success,achievement,0,0
success,happiness,0,0
success,goal,0,0
study,learn,0,0
study,knowledge,0,0
study,effort,0,0
stem,science,0,0
stem,technology,0,0
stem,education,0,0
logic,reasoning,0,0
logic,math,0,0
logic,problem,0,0
knowledge,learn,0,0
knowledge,education,0,0
knowledge,information,0,0
informatic,datum,0,0
informatic,technology,0,0
informatic,computer,0,0
ai,technology,0,0
ai,machine,0,0
ai,learn,0,0
blackboard,classroom,0,0
blackboard,teach,0,0
blackboard,education,0,0
teamwork,collaboration,0,0
teamwork,group,0,0
teamwork,project,0,0
anxiety,stress,-1,-1
anxiety,worry,-1,-1
anxiety,nervous,-1,-1
creativity,innovation,0,0
creativity,art,0,0
creativity,idea,0,0
chemistry,science,0,0
chemistry,element,0,0
chemistry,reaction,0,0
society,people,0,0
society,community,0,0
society,culture,0,0
grade,school,-1,-1
grade,performance,-1,-1
grade,mark,-1,-1
science,experiment,0,0
science,research,0,0
science,discovery,0,0
scientist,research,0,0
scientist,discovery,0,0
scientist,experiment,0,0
physics,science,0,0
physics,energy,0,0
physics,mathematic,0,0
datum,information,0,0
datum,analysis,0,-1
datum,insight,0,0
professor,teacher,0,0
professor,knowledge,0,0
professor,lecture,0,-1
variable,change,-1,-1
variable,flexibility,-1,0
variable,uncertainty,-1,-1
number,mathematic,0,0
number,count,0,-1
number,quantitative,0,-1
philosophy,think,0,0
philosophy,wisdom,0,0
philosophy,ethic,0,0
classroom,learn,0,0
classroom,student,0,0
classroom,education,0,0
theorem,proof,0,0
theorem,mathematic,0,0
theorem,logic,0,-1
job,work,0,0
job,career,0,0
job,employment,0,-1
music,sound,0,0
music,rhythm,0,0
music,harmony,0,0
model,simulation,0,0
model,representation,0,-1
model,theory,0,-1
problem - solve,logic,0,-1
problem - solve,solution,0,0
problem - solve,challenge,0,-1
student,learn,0,0
student,education,0,0
student,knowledge,0,0
lecture,teach,-1,0
lecture,education,-1,0
lecture,presentation,-1,-1
mathematic,number,0,0
mathematic,logic,0,-1
mathematic,theory,0,-1
career,job,0,0
career,profession,0,0
career,growth,0,0
experiment,science,0,0
experiment,research,0,0
experiment,discovery,0,0
history,past,0,-1
history,event,0,-1
history,knowledge,0,0
work,job,0,0
work,effort,0,-1
work,productivity,0,0
homework,study,-1,0
homework,assignment,-1,-1
homework,learn,-1,0
class,student,0,0
class,teach,0,0
class,education,0,0
failure,mistake,-1,-1
failure,loss,-1,-1
failure,disappointment,-1,-1
future,time,0,-1
future,hope,0,0
future,potential,0,0
biology,science,0,0
biology,life,0,0
biology,research,0,0
exam,test,-1,-1
exam,evaluation,-1,-1
exam,study,-1,0
proof,evidence,0,0
proof,demonstration,0,0
proof,mathematic,0,0
