cue_word,association_word,cue_valence,associated_valence
variable,change,0,0
variable,uncertainty,0,0
variable,flexibility,0,0
science,truth,0,0
science,experiment,0,0
science,fact,0,0
study,book,0,0
study,read,0,0
study,class,0,0
knowledge,fact,1,0
knowledge,understand,1,0
knowledge,wisdom,1,0
chemistry,molecule,0,0
chemistry,reaction,0,0
chemistry,lab,0,0
experiment,test,0,0
experiment,observation,0,0
experiment,datum,0,0
future,hope,0,0
future,possibility,0,0
future,uncertainty,0,0
teacher,instruction,0,0
teacher,guidance,0,0
teacher,mentor,0,0
success,achievement,1,0
success,goal,1,0
success,pride,1,0
work,effort,0,0
work,income,0,0
work,job,0,0
physics,energy,0,0
physics,motion,0,0
physics,law,0,0
theorem,proof,0,1
theorem,logic,0,0
theorem,mathematical,0,0
scientist,researcher,0,0
scientist,observer,0,0
scientist,discoverer,0,0
ai,technology,0,0
ai,automation,0,0
ai,intelligence,0,0
stem,math,0,0
stem,engineering,0,0
stem,problem - solve,0,0
blackboard,write,0,0
blackboard,chalk,0,0
blackboard,class,0,0
career,path,0,0
career,growth,0,0
career,opportunity,0,0
equation,formula,0,0
equation,solution,0,0
equation,balance,0,0
philosophy,reason,1,1
philosophy,think,1,0
philosophy,truth,1,1
logic,order,1,1
logic,structure,1,0
logic,coherence,1,0
problem - solve,critical,1,0
problem - solve,analysis,1,0
problem - solve,decision,1,0
society,community,0,0
society,rule,0,0
society,change,0,0
failure,setback,0,0
failure,loss,0,0
failure,reality,0,0
proof,evidence,1,1
proof,validity,1,0
proof,certainty,1,1
creativity,innovation,1,1
creativity,imagination,1,1
creativity,design,1,0
lecture,book,0,0
lecture,think,0,1
lecture,question,0,0
datum,number,0,1
datum,truth,0,0
datum,pattern,0,0
chatgpt,answer,0,1
chatgpt,help,0,0
chatgpt,tech,0,0
number,datum,1,0
number,math,1,0
number,logic,1,0
student,grade,0,0
student,book,0,0
student,homework,0,-1
algorithm,logic,0,1
algorithm,computation,0,0
algorithm,model,0,0
literature,book,1,1
literature,story,1,0
literature,philosophy,1,1
teamwork,classroom,0,0
teamwork,class,0,0
teamwork,help,0,0
homework,grade,-1,0
homework,stress,-1,-1
homework,study,-1,0
professor,question,0,0
professor,knowledge,0,1
professor,criticism,0,-1
model,algorithm,0,0
model,datum,0,0
model,prediction,0,0
anxiety,grade,-1,0
anxiety,exam,-1,-1
anxiety,math,-1,-1
llm,chatgpt,0,0
llm,answer,0,1
llm,technology,0,0
class,teamwork,0,0
class,professor,0,0
class,homework,0,-1
biology,nature,0,0
biology,life,0,0
biology,lab,0,-1
mathematic,number,0,1
mathematic,logic,0,1
mathematic,anxiety,0,-1
computation,algorithm,0,0
computation,datum,0,0
computation,computer,0,0
history,book,0,1
history,fact,0,0
history,classroom,0,0
art,book,0,1
art,music,0,0
art,expressive,0,1
job,self - employ,0,1
job,freelance,0,0
job,income,0,0
grade,anxiety,0,-1
grade,student,0,0
grade,exam,0,-1
music,art,1,0
music,feel,1,1
music,entertainment,1,0
exam,anxiety,-1,-1
exam,grade,-1,0
exam,stress,-1,-1
informatic,computation,0,0
informatic,datum,0,0
informatic,technology,0,0
classroom,class,0,0
classroom,teamwork,0,0
classroom,professor,0,0
