cue_word,association_word,cue_valence,associated_valence
science,biology,1,1
science,experiment,1,0
science,knowledge,1,1
job,work,0,0
job,future,0,0
job,money,0,0
experiment,science,0,1
experiment,datum,0,0
experiment,result,0,0
future,job,0,0
future,anxiety,0,-1
future,uncertainty,0,-1
variable,math,0,0
variable,equation,0,0
variable,science,0,1
grade,exam,0,-1
grade,classroom,0,0
grade,anxiety,0,-1
problem - solve,knowledge,0,1
problem - solve,teamwork,0,0
problem - solve,exam,0,-1
exam,anxiety,-1,-1
exam,grade,-1,0
exam,study,-1,0
art,paint,-1,0
art,creativity,-1,0
art,history,-1,-1
biology,science,1,1
biology,knowledge,1,1
biology,experiment,1,0
teamwork,problem - solve,0,0
teamwork,classroom,0,0
teamwork,board game,0,0
literature,history,-1,-1
literature,art,-1,-1
literature,knowledge,-1,1
work,job,0,0
work,future,0,0
work,money,0,0
knowledge,science,1,1
knowledge,biology,1,1
knowledge,problem - solve,1,0
classroom,exam,0,-1
classroom,grade,0,0
classroom,teamwork,0,0
datum,experiment,0,0
datum,science,0,1
datum,number,0,0
anxiety,exam,-1,-1
anxiety,future,-1,0
anxiety,grade,-1,0
physics,science,0,1
physics,equation,0,0
physics,number,0,0
scientist,science,0,1
scientist,experiment,0,0
scientist,knowledge,0,1
number,math,0,0
number,equation,0,0
number,datum,0,0
blackboard,classroom,0,0
blackboard,equation,0,0
blackboard,physics,0,0
equation,math,0,0
equation,physics,0,0
equation,number,0,0
history,art,-1,-1
history,literature,-1,-1
history,theorem,-1,-1
theorem,math,-1,0
theorem,proof,-1,-1
theorem,history,-1,-1
proof,math,-1,0
proof,theorem,-1,-1
proof,logic,-1,0
class,school,0,0
class,teacher,0,0
class,learn,0,0
informatic,computer,0,0
informatic,cod,0,0
informatic,datum,0,0
lecture,teacher,-1,0
lecture,note,-1,0
lecture,boredom,-1,-1
chatgpt,ai,1,0
chatgpt,assistant,1,0
chatgpt,technology,1,0
success,achievement,1,1
success,happiness,1,1
success,career,1,0
stem,science,0,0
stem,technology,0,0
stem,engineering,0,0
model,design,0,0
model,mathematic,0,0
model,simulation,0,0
failure,mistake,-1,-1
failure,learn,-1,0
failure,disappointment,-1,-1
creativity,art,1,-1
creativity,innovation,1,1
creativity,imagination,1,1
chemistry,science,0,0
chemistry,experiment,0,0
chemistry,reaction,0,0
logic,reasoning,0,0
logic,mathematic,0,0
logic,problem - solve,0,0
study,learn,0,0
study,book,0,0
study,exam,0,-1
mathematic,number,0,0
mathematic,algebra,0,-1
mathematic,calculus,0,-1
ai,technology,0,0
ai,future,0,0
ai,robotic,0,0
society,people,0,0
society,culture,0,0
society,community,0,0
philosophy,think,0,0
philosophy,ethic,0,0
philosophy,knowledge,0,0
music,sound,1,0
music,rhythm,1,0
music,emotion,1,1
student,learn,0,0
student,school,0,0
student,exam,0,-1
homework,study,-1,0
homework,task,-1,-1
homework,deadline,-1,-1
teacher,education,0,0
teacher,knowledge,0,0
teacher,classroom,0,0
career,job,0,0
career,success,0,1
career,growth,0,0
llm,law,0,0
llm,education,0,0
llm,profession,0,0
professor,teacher,0,0
professor,university,0,0
professor,knowledge,0,0
algorithm,computation,0,0
algorithm,logic,0,0
algorithm,programming,0,0
computation,calculation,0,0
computation,mathematic,0,0
computation,technology,0,0
