cue_word,association_word,cue_valence,associated_valence
ai,future,-1,0
ai,intelligence,-1,1
number,math,-1,-1
number,count,-1,-1
student,learn,0,0
student,youth,0,1
proof,evidence,-1,-1
proof,theorem,-1,-1
scientist,discovery,0,1
scientist,lab,0,0
creativity,art,1,1
creativity,innovation,1,1
model,design,-1,0
model,simulation,-1,0
knowledge,learn,1,0
knowledge,wisdom,1,1
experiment,test,0,-1
experiment,discover,0,1
logic,reasoning,0,0
logic,truth,0,0
grade,school,-1,-1
grade,evaluation,-1,-1
anxiety,stress,-1,-1
anxiety,worry,-1,-1
classroom,teach,-1,0
classroom,student,-1,0
lecture,professor,-1,-1
lecture,talk,-1,-1
equation,math,-1,-1
equation,solve,-1,-1
algorithm,code,-1,0
algorithm,process,-1,-1
class,learn,-1,0
class,friend,-1,1
chatgpt,ai,0,-1
chatgpt,chat,0,0
history,past,0,-1
history,event,0,0
llm,language,-1,0
llm,model,-1,-1
problem - solve,solution,1,1
problem - solve,challenge,1,0
variable,change,-1,-1
variable,unknown,-1,-1
biology,life,0,1
biology,cell,0,0
chemistry,reaction,0,0
chemistry,element,0,0
art,creative,1,1
art,expression,1,1
failure,loss,-1,-1
failure,disappointment,-1,-1
physics,science,0,0
physics,law,0,-1
stem,technology,1,1
stem,innovation,1,1
computation,cod,0,0
computation,algorithm,0,0
teacher,mentor,1,1
teacher,guidance,1,1
career,growth,1,1
career,opportunity,1,1
blackboard,classroom,-1,0
blackboard,lesson,-1,0
music,harmony,1,1
music,rhythm,1,1
society,community,0,0
society,progress,0,1
professor,expert,1,1
professor,lecture,1,0
theorem,proof,-1,-1
theorem,mathematic,-1,0
work,effort,0,0
work,achievement,0,1
success,accomplishment,1,1
success,happiness,1,1
exam,test,-1,-1
exam,stress,-1,-1
homework,study,-1,0
homework,chore,-1,-1
philosophy,think,0,0
philosophy,wisdom,0,1
job,employment,0,0
job,income,0,0
informatic,information,0,0
informatic,technology,0,1
science,discovery,1,1
science,experiment,1,0
literature,story,1,1
literature,poetry,1,1
teamwork,cooperation,1,1
teamwork,support,1,1
mathematic,number,0,-1
mathematic,logic,0,0
datum,information,0,0
datum,analysis,0,0
study,learn,0,1
study,effort,0,0
future,hope,0,0
future,uncertainty,0,-1
