cue_word,association_word,cue_valence,associated_valence
lecture,learn,0,0
lecture,bore,0,-1
lecture,teacher,0,0
homework,study,-1,0
homework,stress,-1,-1
homework,time - consume,-1,-1
datum,information,0,0
datum,analysis,0,0
datum,number,0,0
grade,performance,0,0
grade,stress,0,-1
grade,success,0,1
mathematic,number,0,0
mathematic,logic,0,0
mathematic,difficult,0,-1
biology,life,0,0
biology,cell,0,0
biology,interest,0,0
class,student,0,0
class,learn,0,0
class,teacher,0,0
informatic,computer,0,0
informatic,datum,0,0
informatic,technology,0,0
history,past,0,0
history,event,0,0
history,learn,0,0
llm,machine,0,0
llm,learn,0,0
llm,artificial,0,0
variable,change,0,0
variable,datum,0,0
variable,mathematic,0,0
teacher,learn,0,0
teacher,class,0,0
teacher,knowledge,0,0
scientist,research,0,0
scientist,experiment,0,0
scientist,knowledge,0,0
proof,mathematic,0,0
proof,evidence,0,0
proof,logic,0,0
job,work,0,0
job,career,0,0
job,money,0,0
logic,reasoning,0,0
logic,mathematic,0,0
logic,problem - solve,0,0
creativity,innovation,1,1
creativity,art,1,1
creativity,idea,1,1
problem - solve,logic,0,0
problem - solve,creativity,0,1
problem - solve,challenge,0,0
study,learn,0,0
study,homework,0,-1
study,exam,0,-1
number,mathematic,0,0
number,datum,0,0
number,calculation,0,0
experiment,science,0,0
experiment,research,0,0
experiment,scientist,0,0
career,job,0,0
career,success,0,1
career,growth,0,0
computation,calculation,0,0
computation,informatic,0,0
computation,datum,0,0
exam,stress,-1,-1
exam,study,-1,0
exam,grade,-1,0
blackboard,class,0,0
blackboard,teacher,0,0
blackboard,lecture,0,0
chatgpt,technology,0,0
chatgpt,convenience,0,1
chatgpt,uncertainty,0,0
literature,imagination,1,1
literature,classic,1,0
literature,escape,1,0
teamwork,collaboration,1,1
teamwork,support,1,1
teamwork,achievement,1,1
society,community,0,1
society,inequality,0,-1
society,progress,0,0
equation,mathematic,0,0
equation,solution,0,0
equation,complexity,0,-1
knowledge,learn,1,1
knowledge,power,1,0
knowledge,curiosity,1,1
anxiety,stress,-1,-1
anxiety,worry,-1,-1
anxiety,overwhelm,-1,-1
art,creativity,1,1
art,expression,1,1
art,beauty,1,1
ai,future,0,0
ai,efficiency,0,0
ai,ethic,0,0
future,hope,0,1
future,uncertainty,0,0
future,progress,0,0
success,achievement,1,1
success,happiness,1,1
success,recognition,1,0
theorem,mathematic,0,0
theorem,proof,0,0
theorem,complexity,0,-1
model,representation,0,0
model,simulation,0,0
model,prediction,0,0
algorithm,computation,0,0
algorithm,efficiency,0,0
algorithm,logic,0,0
classroom,learn,0,1
classroom,teacher,0,0
classroom,student,0,0
professor,teacher,0,0
professor,knowledge,0,1
professor,lecture,0,0
stem,science,0,0
stem,technology,0,0
stem,education,0,0
philosophy,think,0,0
philosophy,ethic,0,0
philosophy,knowledge,0,1
work,job,0,0
work,effort,0,0
work,productivity,0,0
chemistry,science,0,0
chemistry,reaction,0,0
chemistry,element,0,0
student,learn,0,1
student,school,0,0
student,knowledge,0,1
physics,science,0,0
physics,law,0,0
physics,energy,0,0
science,knowledge,0,1
science,experiment,0,0
science,discovery,0,1
failure,mistake,-1,-1
failure,loss,-1,-1
failure,disappointment,-1,-1
music,sound,1,1
music,rhythm,1,1
music,emotion,1,1
