cue_word,association_word,cue_valence,associated_valence
philosophy,think,0,1
philosophy,question,0,0
philosophy,mean,0,-1
future,hope,-1,1
future,uncertainty,-1,-1
future,possibility,-1,0
exam,stress,-1,-1
exam,pressure,-1,-1
exam,success,-1,1
music,joy,0,1
music,melody,0,0
music,emotion,0,-1
scientist,research,0,1
scientist,discovery,0,0
scientist,datum,0,-1
creativity,imagination,1,0
creativity,innovation,1,1
creativity,art,1,0
variable,change,-1,-1
variable,unknown,-1,-1
variable,input,-1,-1
theorem,proof,0,1
theorem,logic,0,0
theorem,truth,0,1
anxiety,fear,-1,-1
anxiety,worry,-1,-1
anxiety,panic,-1,-1
problem - solve,solution,0,1
problem - solve,challenge,0,-1
problem - solve,think,0,0
mathematic,logic,0,0
mathematic,number,0,-1
mathematic,equation,0,0
professor,teach,0,1
professor,knowledge,0,0
professor,guidance,0,0
teacher,instruction,0,0
teacher,classroom,0,-1
teacher,help,0,1
informatic,cod,0,1
informatic,computer,0,0
informatic,programming,0,1
study,book,-1,-1
study,focus,-1,0
study,concentration,-1,0
grade,score,-1,-1
grade,result,-1,-1
grade,achievement,-1,1
science,experiment,0,0
science,fact,0,-1
science,knowledge,0,1
history,past,-1,-1
history,event,-1,-1
history,story,-1,0
model,simulation,0,0
model,representation,0,-1
model,predictive,0,0
algorithm,step,0,-1
algorithm,process,0,0
algorithm,logic,0,0
class,room,-1,-1
class,group,-1,-1
class,discussion,-1,0
homework,task,-1,-1
homework,assignment,-1,-1
homework,practice,-1,0
failure,mistake,-1,-1
failure,loss,-1,-1
failure,recovery,-1,0
physics,law,0,0
physics,equation,0,0
physics,energy,0,-1
job,work,-1,0
job,salary,-1,-1
job,career,-1,0
llm,tool,0,1
llm,helpful,0,0
llm,intelligent,0,1
ai,smart,0,1
ai,advanced,0,0
ai,technology,0,-1
knowledge,learn,1,0
knowledge,understand,1,1
knowledge,wisdom,1,0
chemistry,molecule,1,0
chemistry,reaction,1,0
chemistry,lab,1,-1
lecture,class,-1,0
lecture,teacher,-1,0
lecture,note,-1,-1
stem,science,1,1
stem,math,1,1
stem,engineering,1,0
student,classroom,0,0
student,grade,0,-1
student,book,0,0
teamwork,collaboration,0,1
teamwork,group,0,0
teamwork,support,0,0
blackboard,chalk,-1,0
blackboard,write,-1,0
blackboard,classroom,-1,0
art,paint,0,1
art,creativity,0,1
art,expression,0,0
computation,algorithm,0,1
computation,cod,0,0
computation,math,0,1
experiment,lab,0,-1
experiment,result,0,0
experiment,test,0,-1
proof,logic,1,1
proof,mathematic,1,1
proof,valid,1,0
success,achievement,1,1
success,goal,1,0
success,happiness,1,1
chatgpt,assistant,0,1
chatgpt,response,0,0
chatgpt,help,0,1
society,community,0,1
society,culture,0,0
society,change,0,-1
datum,information,0,1
datum,statistic,0,0
datum,analysis,0,0
career,job,0,0
career,future,0,0
career,skill,0,1
work,job,-1,0
work,task,-1,0
work,effort,-1,0
literature,book,0,1
literature,story,0,0
literature,read,0,1
classroom,teacher,0,0
classroom,student,0,0
classroom,learn,0,1
logic,reasoning,1,1
logic,deduction,1,1
logic,structure,1,0
equation,math,0,1
equation,solve,0,0
equation,variable,0,0
biology,cell,1,0
biology,life,1,1
biology,organism,1,0
number,math,0,1
number,calculation,0,0
number,digit,0,0
