cue_word,association_word,cue_valence,associated_valence
art,creativity,0,0
art,expression,0,0
art,freedom,0,0
success,goal,0,0
success,achievement,0,0
success,confidence,0,0
society,connection,-1,0
society,structure,-1,-1
society,change,-1,0
llm,power,0,0
llm,tool,0,0
llm,intelligence,0,0
music,emotion,0,0
music,energy,0,0
music,memory,0,0
variable,flexibility,-1,0
variable,change,-1,0
variable,uncertainty,-1,-1
computation,speed,0,0
computation,precision,0,0
computation,logic,0,0
grade,pressure,-1,-1
grade,performance,-1,0
grade,status,-1,-1
number,order,0,0
number,pattern,0,0
number,clarity,0,0
mathematic,logic,0,0
mathematic,structure,0,0
mathematic,proof,0,0
physics,universe,0,0
physics,law,0,0
physics,truth,0,0
stem,growth,0,0
stem,innovation,0,0
stem,challenge,0,-1
failure,lesson,-1,0
failure,risk,-1,-1
failure,pain,-1,-1
datum,truth,0,0
datum,analysis,0,0
datum,volume,0,-1
biology,life,0,0
biology,growth,0,0
biology,complexity,0,-1
teamwork,trust,0,0
teamwork,collaboration,0,0
teamwork,support,0,0
knowledge,wisdom,0,0
knowledge,clarity,0,0
knowledge,power,0,0
student,learn,0,0
student,responsibility,0,0
student,growth,0,0
chatgpt,help,0,0
chatgpt,access,0,0
chatgpt,tool,0,0
study,focus,0,0
study,effort,0,0
study,progress,0,0
experiment,discovery,0,0
experiment,risk,0,-1
experiment,learn,0,0
work,purpose,0,0
work,effort,0,0
work,income,0,-1
logic,reason,0,0
logic,structure,0,0
logic,clarity,0,0
anxiety,fear,-1,-1
anxiety,stress,-1,-1
anxiety,uncertainty,-1,-1
proof,certainty,0,0
proof,validity,0,0
proof,truth,0,0
class,structure,0,0
class,rule,0,-1
class,order,0,0
literature,story,0,0
literature,emotion,0,0
literature,narrative,0,0
professor,knowledge,0,0
professor,authority,0,-1
professor,mentor,0,0
future,possibility,-1,0
future,change,-1,0
future,uncertainty,-1,-1
ai,technology,0,0
ai,intelligence,0,0
ai,automation,0,-1
philosophy,think,0,0
philosophy,question,0,0
philosophy,truth,0,0
job,income,-1,0
job,stress,-1,-1
job,stability,-1,0
career,growth,0,0
career,path,0,0
career,goal,0,0
teacher,guidance,0,0
teacher,support,0,0
teacher,wisdom,0,0
lecture,knowledge,0,0
lecture,structure,0,0
lecture,focus,0,-1
equation,logic,0,0
equation,solution,0,0
equation,math,0,0
algorithm,process,0,0
algorithm,efficiency,0,0
algorithm,step,0,-1
creativity,imagination,0,0
creativity,innovation,0,0
creativity,freedom,0,0
blackboard,write,0,0
blackboard,clarity,0,0
blackboard,idea,0,0
model,representation,0,0
model,prediction,0,0
model,structure,0,0
homework,effort,-1,0
homework,practice,-1,0
homework,deadline,-1,-1
scientist,discovery,0,0
scientist,curiosity,0,0
scientist,research,0,0
history,past,0,-1
history,event,0,0
history,memory,0,0
exam,pressure,-1,-1
exam,testing,-1,-1
exam,performance,-1,0
informatic,datum,0,0
informatic,system,0,0
informatic,code,0,0
problem - solve,logic,0,0
problem - solve,strategy,0,0
problem - solve,solution,0,0
theorem,proof,0,0
theorem,truth,0,0
theorem,math,0,0
science,fact,0,0
science,experiment,0,0
science,truth,0,0
classroom,learn,0,0
classroom,community,0,0
classroom,structure,0,0
chemistry,molecule,0,0
chemistry,reaction,0,0
chemistry,element,0,0
