cue_word,association_word,cue_valence,associated_valence
blackboard,chalk,0,-1
blackboard,teach,0,0
blackboard,classroom,0,0
informatic,computer,0,0
informatic,programming,0,0
informatic,datum,0,0
anxiety,stress,-1,-1
anxiety,fear,-1,-1
anxiety,worry,-1,-1
logic,reasoning,0,0
logic,deduction,0,0
logic,truth,0,0
biology,cell,0,0
biology,dna,0,0
biology,evolution,0,0
problem - solve,strategy,0,0
problem - solve,solution,0,0
problem - solve,challenge,0,0
experiment,hypothesis,0,0
experiment,lab,0,0
experiment,result,0,0
study,learn,0,0
study,research,0,0
study,exam,0,-1
computation,algorithm,0,0
computation,calculation,0,0
computation,computer,0,0
llm,ai,0,0
llm,language,0,0
llm,model,0,0
professor,teacher,0,0
professor,expert,0,0
professor,lecture,0,0
job,career,0,0
job,work,0,-1
job,income,0,0
chemistry,molecule,0,0
chemistry,reaction,0,0
chemistry,element,0,0
teamwork,collaboration,0,0
teamwork,group,0,0
teamwork,support,0,0
datum,analysis,0,0
datum,statistic,0,0
datum,information,0,0
mathematic,number,0,0
mathematic,algebra,0,0
mathematic,geometry,0,0
equation,formula,0,0
equation,variable,0,-1
equation,solve,0,0
success,achievement,0,0
success,victory,0,0
success,goal,0,0
future,opportunity,0,0
future,progress,0,0
future,hope,0,0
lecture,presentation,0,0
lecture,note,0,-1
lecture,audience,0,-1
classroom,student,0,0
classroom,desk,0,-1
classroom,learn,0,0
homework,assignment,-1,-1
homework,deadline,-1,-1
homework,study,-1,0
chatgpt,ai,0,0
chatgpt,chat,0,0
chatgpt,helpful,0,0
society,community,0,0
society,culture,0,0
society,progress,0,0
model,simulation,0,0
model,prediction,0,0
model,example,0,0
student,learn,0,0
student,study,0,0
student,future,0,0
scientist,experiment,0,0
scientist,discover,0,0
scientist,lab,0,0
art,beauty,0,0
art,expression,0,0
art,inspire,0,0
creativity,innovate,0,0
creativity,imagine,0,0
creativity,original,0,0
proof,evidence,0,0
proof,logic,0,0
proof,true,0,0
music,harmony,0,0
music,melody,0,0
music,joy,0,0
algorithm,code,0,0
algorithm,efficient,0,0
algorithm,solve,0,0
theorem,math,0,0
theorem,prove,0,0
theorem,fundamental,0,0
literature,book,0,0
literature,story,0,0
literature,wisdom,0,0
work,effort,0,0
work,job,0,0
work,achieve,0,0
variable,change,-1,-1
variable,math,-1,0
variable,unknown,-1,-1
history,past,0,-1
history,event,0,0
history,lesson,0,0
philosophy,think,0,0
philosophy,question,0,0
philosophy,wisdom,0,0
career,path,0,0
career,success,0,0
career,ambition,0,0
stem,science,0,0
stem,tech,0,0
stem,engineer,0,0
grade,score,-1,-1
grade,effort,-1,0
grade,feedback,-1,0
teacher,mentor,0,0
teacher,guide,0,0
teacher,knowledge,0,0
exam,test,-1,-1
exam,stress,-1,-1
exam,pass,-1,0
ai,smart,0,0
ai,future,0,0
ai,robot,0,0
class,lesson,0,0
class,group,0,-1
class,learn,0,0
science,discover,0,0
science,experiment,0,0
science,truth,0,0
physics,law,0,0
physics,universe,0,0
physics,motion,0,0
number,math,0,0
number,precise,0,0
number,count,0,-1
knowledge,power,0,0
knowledge,wisdom,0,0
knowledge,learn,0,0
failure,mistake,-1,-1
failure,learn,-1,0
failure,resilience,-1,0
