cue_word,association_word,cue_valence,associated_valence
stem,science,0,1
stem,knowledge,0,1
stem,logic,0,0
chemistry,lab,-1,-1
chemistry,experiment,-1,-1
chemistry,molecule,-1,-1
blackboard,chalk,0,0
blackboard,equation,0,1
blackboard,learn,0,0
proof,logic,0,1
proof,mathematic,0,1
proof,evidence,0,0
lecture,teacher,0,0
lecture,knowledge,0,1
lecture,explanation,0,1
problem - solve,critical thinking,1,1
problem - solve,challenge,1,-1
problem - solve,solution,1,-1
work,career,0,1
work,responsibility,0,0
work,task,0,0
anxiety,stress,-1,-1
anxiety,pressure,-1,-1
anxiety,uncertainty,-1,-1
literature,book,1,0
literature,story,1,1
literature,theme,1,1
biology,cell,1,1
biology,life,1,1
biology,ecosystem,1,0
teamwork,collaboration,1,1
teamwork,cooperation,1,1
teamwork,partnership,1,0
algorithm,compute,0,0
algorithm,logic,0,1
algorithm,process,0,-1
philosophy,think,-1,-1
philosophy,ethic,-1,-1
philosophy,reason,-1,-1
equation,math,0,1
equation,formula,0,1
equation,balance,0,0
chatgpt,ai,1,1
chatgpt,language,1,0
chatgpt,assistant,1,-1
datum,information,0,1
datum,number,0,0
datum,analysis,0,1
future,possibility,0,0
future,hope,0,1
future,development,0,-1
model,simulation,0,-1
model,representation,0,-1
model,design,0,-1
job,career,0,1
job,income,0,0
job,responsibility,0,0
llm,artificial intelligence,-1,-1
llm,language model,-1,-1
llm,generation,-1,-1
science,research,1,1
science,knowledge,1,1
science,discovery,1,0
number,mathematic,-1,1
number,statistic,-1,0
number,calculation,-1,-1
theorem,proof,0,1
theorem,principle,0,0
theorem,law,0,0
grade,evaluation,0,0
grade,assessment,0,-1
grade,achievement,0,0
failure,mistake,-1,-1
failure,setback,-1,-1
failure,lesson,-1,1
ai,intelligent,0,1
ai,technology,0,0
ai,automation,0,-1
history,past,0,-1
history,event,0,-1
history,learn,0,1
classroom,education,0,0
classroom,student,0,1
classroom,teacher,0,0
scientist,research,1,0
scientist,discovery,1,1
scientist,knowledge,1,1
professor,teach,1,0
professor,wisdom,1,1
professor,guidance,1,0
study,learn,1,1
study,knowledge,1,1
study,effort,1,0
career,job,1,0
career,success,1,1
career,goal,1,0
variable,change,-1,-1
variable,factor,-1,-1
variable,datum,-1,0
creativity,imagination,1,1
creativity,innovation,1,1
creativity,art,1,0
student,learn,1,1
student,growth,1,1
student,future,1,0
class,school,-1,-1
class,routine,-1,-1
class,education,-1,0
homework,task,-1,-1
homework,practice,-1,-1
homework,effort,-1,-1
teacher,education,0,1
teacher,guidance,0,1
teacher,support,0,0
computation,calculation,-1,-1
computation,logic,-1,0
computation,datum,-1,0
physics,science,1,1
physics,law,1,-1
physics,motion,1,0
music,art,0,0
music,melody,0,1
music,emotion,0,0
exam,testing,-1,-1
exam,grade,-1,-1
exam,challenge,-1,-1
knowledge,learn,1,1
knowledge,information,1,0
knowledge,understand,1,1
art,creativity,0,1
art,expression,0,1
art,beauty,0,1
mathematic,number,0,-1
mathematic,equation,0,0
mathematic,logic,0,1
informatic,compute,0,-1
informatic,datum,0,0
informatic,technology,0,0
experiment,testing,1,0
experiment,result,1,0
experiment,discovery,1,1
success,achievement,1,1
success,goal,1,0
success,reward,1,0
logic,reasoning,1,1
logic,critical thinking,1,1
logic,structure,1,0
society,culture,0,-1
society,community,0,0
society,value,0,1
