cue_word,association_word,cue_valence,associated_valence
informatic,datum,0,0
informatic,technology,0,1
informatic,science,0,0
homework,stress,-1,-1
homework,learn,-1,0
homework,grade,-1,-1
classroom,learn,0,0
classroom,teacher,0,1
classroom,student,0,0
music,relaxation,1,1
music,creativity,1,1
music,emotion,1,0
society,community,0,1
society,culture,0,0
society,people,0,1
job,career,-1,0
job,income,-1,0
job,responsibility,-1,-1
lecture,learn,-1,0
lecture,bore,-1,-1
lecture,knowledge,-1,1
student,learn,0,0
student,curiosity,0,1
student,growth,0,0
datum,information,-1,0
datum,analysis,-1,0
datum,number,-1,-1
stem,science,0,0
stem,technology,0,1
stem,math,0,0
blackboard,teach,-1,0
blackboard,learn,-1,0
blackboard,chalk,-1,-1
science,discovery,1,1
science,truth,1,1
science,curiosity,1,1
work,career,-1,0
work,effort,-1,-1
work,income,-1,0
variable,datum,-1,-1
variable,change,-1,0
variable,experiment,-1,0
teacher,mentor,1,1
teacher,knowledge,1,1
teacher,guidance,1,1
class,learn,0,0
class,student,0,0
class,teacher,0,1
future,hope,-1,1
future,uncertainty,-1,-1
future,growth,-1,0
experiment,discovery,0,1
experiment,science,0,1
experiment,learn,0,0
logic,reasoning,0,1
logic,truth,0,1
logic,math,0,0
scientist,curiosity,1,1
scientist,innovation,1,1
scientist,research,1,0
algorithm,code,-1,0
algorithm,datum,-1,-1
algorithm,efficiency,-1,0
creativity,art,1,1
creativity,innovation,1,1
creativity,expression,1,0
knowledge,wisdom,1,1
knowledge,learn,1,0
knowledge,understand,1,1
physics,science,0,1
physics,math,0,0
physics,nature,0,0
number,math,-1,0
number,datum,-1,-1
number,logic,-1,0
problem - solve,logic,0,0
problem - solve,creativity,0,1
problem - solve,efficiency,0,-1
model,simulation,-1,-1
model,theory,-1,0
model,framework,-1,-1
success,achievement,1,1
success,growth,1,0
success,satisfaction,1,1
study,learn,0,1
study,research,0,0
study,preparation,0,-1
chemistry,molecule,-1,-1
chemistry,reaction,-1,-1
chemistry,lab,-1,-1
chatgpt,assistant,-1,0
chatgpt,tool,-1,0
chatgpt,ai,-1,-1
mathematic,number,0,-1
mathematic,logic,0,0
mathematic,pattern,0,0
failure,mistake,-1,-1
failure,learn,-1,0
failure,setback,-1,-1
exam,test,-1,-1
exam,stress,-1,-1
exam,grade,-1,-1
biology,cell,0,-1
biology,life,0,1
biology,science,0,0
teamwork,collaboration,0,1
teamwork,support,0,1
teamwork,communication,0,0
proof,logic,0,0
proof,verification,0,-1
proof,math,0,0
career,job,0,-1
career,growth,0,0
career,income,0,-1
art,creativity,1,1
art,expression,1,0
art,beauty,1,1
philosophy,think,0,0
philosophy,ethic,0,-1
philosophy,wisdom,0,1
literature,story,0,0
literature,language,0,-1
literature,culture,0,0
anxiety,worry,-1,-1
anxiety,fear,-1,-1
anxiety,stress,-1,-1
professor,teacher,0,0
professor,mentor,0,1
professor,expert,0,0
llm,ai,-1,-1
llm,model,-1,-1
llm,assistant,-1,0
computation,calculation,-1,-1
computation,datum,-1,-1
computation,processing,-1,-1
grade,score,-1,-1
grade,performance,-1,-1
grade,evaluation,-1,-1
equation,math,-1,0
equation,formula,-1,-1
equation,solution,-1,0
theorem,proof,0,0
theorem,logic,0,0
theorem,math,0,0
ai,technology,-1,-1
ai,automation,-1,-1
ai,intelligence,-1,0
history,past,0,-1
history,event,0,-1
history,culture,0,0
