cue_word,association_word,cue_valence,associated_valence
class,school,0,0
class,teacher,0,0
class,learn,0,1
teacher,knowledge,1,1
teacher,guidance,1,1
teacher,support,1,1
success,achievement,1,1
success,happiness,1,1
success,recognition,1,1
equation,math,0,0
equation,problem,0,-1
equation,solution,0,0
informatic,computer,0,0
informatic,datum,0,0
informatic,programming,0,0
job,work,0,0
job,career,0,0
job,income,0,0
datum,information,0,0
datum,analysis,0,0
datum,research,0,0
scientist,research,1,1
scientist,discovery,1,1
scientist,knowledge,1,1
theorem,math,0,0
theorem,proof,0,0
theorem,logic,0,0
physics,science,-1,0
physics,difficult,-1,-1
physics,formula,-1,-1
failure,mistake,-1,-1
failure,learn,-1,0
failure,disappointment,-1,-1
student,learn,0,1
student,school,0,0
student,future,0,0
society,people,0,0
society,community,0,0
society,culture,0,0
experiment,science,0,0
experiment,discovery,0,1
experiment,learn,0,1
creativity,art,1,1
creativity,innovation,1,1
creativity,expression,1,1
art,creativity,1,1
art,beauty,1,1
art,expression,1,1
model,math,0,0
model,science,0,0
model,representation,0,0
proof,math,0,0
proof,logic,0,0
proof,evidence,0,0
chemistry,science,0,0
chemistry,reaction,0,0
chemistry,experiment,0,0
teamwork,collaboration,1,1
teamwork,support,1,1
teamwork,success,1,1
literature,read,1,1
literature,story,1,1
literature,knowledge,1,1
knowledge,learn,1,1
knowledge,education,1,1
knowledge,wisdom,1,1
anxiety,stress,-1,-1
anxiety,worry,-1,-1
anxiety,fear,-1,-1
stem,science,0,0
stem,technology,0,0
stem,education,0,1
variable,math,0,0
variable,change,0,0
variable,unknown,0,-1
ai,technology,0,0
ai,future,0,0
ai,learn,0,0
professor,teacher,0,0
professor,knowledge,0,0
professor,lecture,0,0
problem - solve,challenge,0,0
problem - solve,logic,0,0
problem - solve,solution,0,0
classroom,learn,0,0
classroom,student,0,0
classroom,teacher,0,0
history,past,1,1
history,learn,1,1
history,event,1,1
grade,school,-1,-1
grade,performance,-1,-1
grade,stress,-1,-1
future,hope,0,0
future,uncertainty,0,-1
future,plan,0,0
llm,law,0,0
llm,study,0,0
llm,career,0,0
number,math,-1,-1
number,calculation,-1,-1
number,datum,-1,-1
lecture,learn,0,0
lecture,professor,0,0
lecture,note,0,0
algorithm,computer,0,0
algorithm,science,0,0
algorithm,logic,0,0
mathematic,number,-1,-1
mathematic,logic,-1,-1
mathematic,challenge,-1,-1
logic,reasoning,0,0
logic,problem - solve,0,0
logic,math,0,-1
biology,science,0,0
biology,life,0,0
biology,cell,0,0
homework,school,-1,-1
homework,study,-1,0
homework,stress,-1,-1
study,learn,0,0
study,book,0,0
study,time,0,0
blackboard,classroom,0,0
blackboard,teacher,0,0
blackboard,note,0,0
computation,math,-1,-1
computation,computer,-1,0
computation,logic,-1,0
chatgpt,ai,0,0
chatgpt,assistant,0,0
chatgpt,technology,0,0
philosophy,think,0,0
philosophy,question,0,0
philosophy,mean,0,0
work,job,0,0
work,effort,0,0
work,career,0,0
music,sound,1,1
music,rhythm,1,1
music,emotion,1,1
exam,test,-1,-1
exam,stress,-1,-1
exam,grade,-1,-1
career,job,0,0
career,future,0,0
career,success,0,0
science,learn,0,0
science,experiment,0,0
science,discovery,0,0
