cue_word,association_word,cue_valence,associated_valence
computation,logic,0,-1
computation,efficiency,0,1
computation,calculation,0,0
anxiety,stress,-1,-1
anxiety,nervousness,-1,-1
anxiety,uncertainty,-1,-1
chatgpt,intelligence,1,0
chatgpt,assistance,1,1
chatgpt,innovation,1,0
classroom,learn,0,1
classroom,education,0,1
classroom,student,0,-1
professor,expertise,0,1
professor,teach,0,0
professor,authority,0,-1
class,education,0,1
class,student,0,-1
class,curriculum,0,-1
algorithm,logic,0,-1
algorithm,efficiency,0,1
algorithm,structure,0,0
proof,evidence,0,0
proof,verification,0,0
proof,certainty,0,1
datum,information,0,-1
datum,analysis,0,0
datum,insight,0,1
physics,science,0,1
physics,law,0,-1
physics,universe,0,0
equation,math,0,0
equation,solution,0,1
equation,balance,0,-1
informatic,information,0,-1
informatic,technology,0,1
informatic,system,0,0
teacher,education,1,1
teacher,guidance,1,1
teacher,mentor,1,0
variable,change,-1,-1
variable,factor,-1,-1
variable,uncertainty,-1,-1
theorem,proof,0,0
theorem,mathematic,0,0
theorem,truth,0,1
future,innovation,-1,0
future,progress,-1,0
future,uncertainty,-1,-1
stem,science,1,1
stem,education,1,1
stem,career,1,0
scientist,research,1,1
scientist,discovery,1,1
scientist,innovation,1,0
model,simulation,0,-1
model,design,0,0
model,representation,0,-1
biology,life,0,1
biology,science,0,1
biology,nature,0,0
number,math,-1,0
number,quantification,-1,-1
number,datum,-1,0
problem - solve,logic,1,-1
problem - solve,creativity,1,0
problem - solve,solution,1,1
art,creativity,1,0
art,expression,1,0
art,beauty,1,1
experiment,research,0,1
experiment,discovery,0,1
experiment,testing,0,-1
failure,mistake,-1,-1
failure,learn,-1,0
failure,challenge,-1,-1
knowledge,learn,0,0
knowledge,wisdom,0,1
knowledge,understand,0,0
success,achievement,1,1
success,victory,1,0
success,growth,1,0
homework,study,-1,0
homework,effort,-1,0
homework,task,-1,-1
history,past,0,-1
history,culture,0,1
history,time,0,-1
literature,story,1,0
literature,poetry,1,1
literature,language,1,0
society,community,-1,0
society,culture,-1,1
society,change,-1,-1
blackboard,classroom,-1,-1
blackboard,teach,-1,0
blackboard,lesson,-1,-1
grade,score,-1,-1
grade,performance,-1,-1
grade,evaluation,-1,-1
creativity,imagination,1,1
creativity,innovation,1,0
creativity,art,1,0
science,discovery,0,1
science,research,0,0
science,experiment,0,-1
ai,technology,-1,0
ai,intelligence,-1,1
ai,future,-1,-1
study,learn,0,0
study,knowledge,0,0
study,effort,0,0
logic,reasoning,0,1
logic,structure,0,-1
logic,analysis,0,0
chemistry,science,-1,0
chemistry,element,-1,-1
chemistry,reaction,-1,-1
llm,ai,-1,-1
llm,language,-1,0
llm,model,-1,-1
philosophy,think,1,0
philosophy,wisdom,1,1
philosophy,question,1,-1
student,learn,-1,0
student,study,-1,0
student,education,-1,0
work,job,-1,-1
work,effort,-1,0
work,productivity,-1,0
mathematic,logic,-1,0
mathematic,number,-1,-1
mathematic,problem,-1,-1
music,art,1,0
music,melody,1,1
music,emotion,1,0
career,job,-1,-1
career,growth,-1,0
career,success,-1,1
exam,test,-1,-1
exam,grade,-1,-1
exam,pressure,-1,-1
teamwork,collaboration,0,1
teamwork,cooperation,0,1
teamwork,success,0,1
lecture,teach,-1,0
lecture,learn,-1,0
lecture,classroom,-1,-1
job,work,-1,-1
job,career,-1,-1
job,income,-1,0
