cue_word,association_word,cue_valence,associated_valence
theorem,proof,0,1
theorem,logic,0,0
theorem,math,0,-1
success,achievement,1,1
success,goal,1,0
success,win,1,1
grade,score,-1,-1
grade,evaluation,-1,-1
grade,mark,-1,-1
history,past,0,-1
history,record,0,-1
history,legacy,0,0
career,job,1,0
career,profession,1,1
career,future,1,0
failure,loss,-1,-1
failure,mistake,-1,-1
failure,setback,-1,-1
blackboard,chalk,-1,-1
blackboard,classroom,-1,0
blackboard,teach,-1,1
knowledge,learn,1,1
knowledge,wisdom,1,1
knowledge,information,1,0
student,learner,0,0
student,scholar,0,-1
student,pupil,0,-1
computation,calculation,-1,-1
computation,algorithm,-1,0
computation,processing,-1,-1
music,melody,1,1
music,rhythm,1,0
music,harmony,1,1
homework,assignment,-1,-1
homework,study,-1,0
homework,task,-1,-1
model,framework,0,0
model,representation,0,-1
model,prototype,0,-1
literature,write,1,0
literature,novel,1,1
literature,poetry,1,0
teacher,instructor,1,1
teacher,mentor,1,1
teacher,educator,1,1
variable,constant,-1,-1
variable,parameter,-1,-1
variable,symbol,-1,-1
logic,reasoning,0,1
logic,deduction,0,0
logic,argument,0,-1
job,employment,0,0
job,career,0,1
job,work,0,0
art,creativity,1,1
art,expression,1,0
art,paint,1,-1
professor,scholar,1,0
professor,lecturer,1,0
professor,expert,1,1
lecture,talk,-1,-1
lecture,presentation,-1,-1
creativity,innovation,1,1
creativity,imagination,1,1
creativity,design,1,0
science,experiment,1,0
science,research,1,1
science,discovery,1,1
datum,information,-1,0
datum,statistic,-1,-1
datum,analysis,-1,0
biology,life,0,1
biology,organism,0,-1
biology,evolution,0,0
study,learn,0,1
study,focus,0,-1
study,curiosity,0,0
exam,pressure,-1,-1
exam,challenge,-1,-1
exam,performance,-1,0
teamwork,collaboration,1,1
teamwork,cooperation,1,0
teamwork,unity,1,1
scientist,researcher,0,0
scientist,innovator,0,1
scientist,explorer,0,0
number,mathematic,-1,0
number,logic,-1,0
number,precision,-1,-1
chemistry,experimentation,-1,0
chemistry,reaction,-1,-1
chemistry,mixture,-1,-1
work,effort,-1,-1
work,productivity,-1,0
work,duty,-1,-1
mathematic,logic,1,0
mathematic,number,1,-1
mathematic,problem - solve,1,1
anxiety,stress,-1,-1
anxiety,nervousness,-1,-1
anxiety,worry,-1,-1
ai,technology,0,1
ai,innovation,0,1
ai,machine - learn,0,0
problem - solve,logic,1,0
problem - solve,analysis,1,0
problem - solve,creativity,1,1
algorithm,code,0,-1
algorithm,efficiency,0,0
algorithm,pattern,0,-1
society,community,-1,0
society,culture,-1,1
society,norm,-1,-1
philosophy,think,0,0
philosophy,ethic,0,0
philosophy,existence,0,-1
informatic,datum,0,-1
informatic,compute,0,0
informatic,analysis,0,0
equation,formula,-1,-1
equation,solution,-1,1
equation,balance,-1,-1
future,progress,0,1
future,innovation,0,1
future,uncertainty,0,-1
experiment,trial,0,-1
experiment,research,0,0
experiment,discovery,0,1
llm,language - model,0,0
llm,ai,0,0
llm,analysis,0,0
classroom,learn,-1,1
classroom,teach,-1,0
classroom,discipline,-1,-1
chatgpt,assistant,0,0
chatgpt,ai,0,0
chatgpt,conversational,0,-1
physics,force,0,-1
physics,energy,0,1
physics,motion,0,-1
class,group,-1,-1
class,session,-1,-1
class,learn,-1,1
proof,logic,0,0
proof,validation,0,0
proof,certainty,0,1
stem,science,1,1
stem,technology,1,1
stem,engineering,1,1
