cue_word,association_word,cue_valence,associated_valence
future,hope,0,0
future,growth,0,0
future,opportunity,0,0
class,structure,-1,0
class,rule,-1,-1
class,discipline,-1,0
lecture,knowledge,0,0
lecture,information,0,0
lecture,attention,0,-1
theorem,proof,0,0
theorem,logic,0,0
theorem,truth,0,0
success,effort,0,0
success,achievement,0,0
success,pride,0,0
experiment,datum,0,0
experiment,testing,0,0
experiment,result,0,-1
proof,logic,0,0
proof,certainty,0,0
proof,clarity,0,0
datum,fact,0,0
datum,analysis,0,0
datum,evidence,0,0
problem - solve,logic,0,0
problem - solve,strategy,0,0
problem - solve,solution,0,0
literature,history,0,0
literature,story,0,0
literature,idea,0,0
equation,mathematic,0,0
equation,balance,0,0
equation,pattern,0,0
grade,effort,-1,0
grade,performance,-1,0
grade,assessment,-1,-1
informatic,datum,0,0
informatic,technology,0,0
informatic,system,0,0
failure,lesson,-1,0
failure,challenge,-1,-1
failure,growth,-1,0
history,fact,0,0
history,pattern,0,0
history,context,0,0
physics,law,0,0
physics,universe,0,0
physics,equation,0,0
knowledge,learn,0,0
knowledge,understand,0,0
knowledge,wisdom,0,0
mathematic,logic,0,0
mathematic,number,0,0
mathematic,proof,0,0
number,datum,0,0
number,pattern,0,0
number,quantity,0,0
logic,reason,0,0
logic,structure,0,0
logic,truth,0,0
algorithm,step,0,0
algorithm,process,0,0
algorithm,efficiency,0,0
variable,change,-1,0
variable,factor,-1,0
variable,input,-1,0
professor,knowledge,0,0
professor,authority,0,0
professor,mentor,0,0
teacher,guidance,0,0
teacher,support,0,0
teacher,instruction,0,0
blackboard,write,0,0
blackboard,idea,0,0
blackboard,class,0,-1
classroom,learn,0,0
classroom,rule,0,-1
classroom,structure,0,0
society,community,0,0
society,change,0,-1
society,value,0,0
biology,life,0,0
biology,cell,0,0
biology,evolution,0,0
art,expression,0,0
art,emotion,0,0
art,creativity,0,0
anxiety,stress,-1,-1
anxiety,fear,-1,-1
anxiety,uncertainty,-1,-1
chemistry,molecule,0,0
chemistry,reaction,0,0
chemistry,lab,0,-1
chatgpt,help,0,0
chatgpt,information,0,0
chatgpt,technology,0,0
philosophy,reason,0,0
philosophy,truth,0,0
philosophy,question,0,0
student,study,0,0
student,grade,0,-1
student,education,0,0
job,income,0,0
job,responsibility,0,0
job,growth,0,0
homework,task,-1,-1
homework,focus,-1,0
homework,pressure,-1,-1
study,focus,0,0
study,knowledge,0,0
study,effort,0,0
model,pattern,0,0
model,prediction,0,0
model,design,0,-1
ai,innovation,0,0
ai,automation,0,0
ai,ethic,0,-1
teamwork,collaboration,0,0
teamwork,support,0,0
teamwork,communication,0,0
llm,language,0,0
llm,understand,0,0
llm,power,0,0
creativity,idea,0,0
creativity,innovation,0,0
creativity,expression,0,0
exam,pressure,-1,-1
exam,assessment,-1,-1
exam,result,-1,-1
stem,science,0,0
stem,technology,0,0
stem,problem - solve,0,0
scientist,discovery,0,0
scientist,research,0,0
scientist,curiosity,0,0
work,productivity,0,0
work,balance,0,0
work,goal,0,0
computation,datum,0,0
computation,processing,0,0
computation,speed,0,0
science,fact,0,0
science,experiment,0,0
science,truth,0,0
music,emotion,0,0
music,rhythm,0,0
music,passion,0,0
career,growth,0,0
career,purpose,0,0
career,stability,0,0
