cue_word,association_word,cue_valence,associated_valence
grade,exam,0,-1
grade,stress,0,-1
grade,future,0,0
chatgpt,ai,0,0
chatgpt,assistant,0,0
chatgpt,technology,0,0
equation,math,-1,-1
equation,solve,-1,0
equation,problem,-1,-1
knowledge,learn,1,1
knowledge,study,1,0
knowledge,wise,1,1
informatic,computer,-1,-1
informatic,cod,-1,-1
informatic,datum,-1,0
failure,lose,-1,-1
failure,sad,-1,-1
failure,try,-1,0
art,draw,-1,0
art,creative,-1,0
art,paint,-1,0
anxiety,stress,-1,-1
anxiety,worry,-1,-1
anxiety,nervous,-1,-1
music,sound,1,1
music,song,1,1
music,rhythm,1,1
chemistry,lab,0,0
chemistry,react,0,0
chemistry,molecule,0,0
experiment,test,0,0
experiment,science,0,0
experiment,try,0,0
proof,math,0,-1
proof,evidence,0,0
proof,verify,0,0
logic,reason,0,0
logic,think,0,0
logic,solve,0,0
mathematic,number,-1,-1
mathematic,solve,-1,0
mathematic,hard,-1,-1
future,time,0,0
future,hope,0,1
future,plan,0,0
biology,life,0,1
biology,cell,0,0
biology,study,0,0
llm,ai,0,0
llm,model,0,0
llm,language,0,1
algorithm,code,0,-1
algorithm,solve,0,0
algorithm,math,0,-1
history,past,1,0
history,learn,1,1
history,event,1,0
philosophy,think,1,0
philosophy,wise,1,1
philosophy,life,1,1
problem - solve,solve,0,0
problem - solve,think,0,0
problem - solve,logic,0,0
teacher,learn,0,1
teacher,school,0,0
teacher,explain,0,0
classroom,school,0,0
classroom,learn,0,1
classroom,student,0,0
science,study,0,0
science,experiment,0,0
science,learn,0,1
study,learn,0,1
study,book,0,0
study,time,0,0
blackboard,class,0,0
blackboard,teacher,0,0
blackboard,note,0,0
society,people,0,0
society,rule,0,-1
society,change,0,0
student,study,0,0
student,exam,0,-1
student,future,0,1
scientist,research,0,0
scientist,discovery,0,1
scientist,lab,0,0
physics,math,-1,-1
physics,law,-1,0
physics,difficult,-1,-1
class,teacher,0,0
class,note,0,0
class,boredom,0,-1
creativity,art,1,-1
creativity,idea,1,1
creativity,freedom,1,1
number,math,-1,-1
number,datum,-1,0
number,calculation,-1,-1
literature,book,0,1
literature,story,0,1
literature,imagination,0,1
homework,study,-1,0
homework,time,-1,0
homework,stress,-1,-1
professor,teacher,0,0
professor,knowledge,0,1
professor,lecture,0,0
theorem,math,-1,-1
theorem,proof,-1,0
theorem,complexity,-1,-1
success,achievement,1,1
success,happiness,1,1
success,goal,1,1
career,job,0,0
career,growth,0,1
career,future,0,1
stem,science,0,0
stem,tech,0,0
stem,math,0,-1
work,job,0,0
work,effort,0,0
work,money,0,1
teamwork,collaboration,1,1
teamwork,support,1,1
teamwork,goal,1,1
variable,math,-1,-1
variable,change,-1,0
variable,unknown,-1,-1
job,work,0,0
job,money,0,1
job,responsibility,0,0
lecture,class,0,0
lecture,teacher,0,0
lecture,note,0,0
ai,tech,0,0
ai,future,0,1
ai,complexity,0,-1
exam,test,-1,-1
exam,stress,-1,-1
exam,grade,-1,0
datum,information,0,0
datum,analysis,0,0
datum,number,0,-1
model,math,0,-1
model,representation,0,0
model,simulation,0,0
computation,math,-1,-1
computation,calculation,-1,-1
computation,computer,-1,0
