cue_word,association_word,cue_valence,associated_valence
physics,science,0,1
physics,theory,0,0
grade,score,0,0
grade,mark,0,0
grade,assessment,0,0
knowledge,information,1,1
knowledge,understand,1,0
knowledge,wisdom,1,0
biology,life,0,0
biology,cell,0,0
biology,ecology,0,0
classroom,education,1,1
classroom,learn,1,1
classroom,school,1,0
equation,formula,0,0
equation,math,0,0
equation,balance,0,0
exam,test,0,0
exam,assessment,0,-1
exam,evaluation,0,-1
student,learner,0,1
student,pupil,0,0
student,scholar,0,0
failure,mistake,-1,-1
failure,error,-1,-1
failure,setback,-1,-1
career,job,0,0
career,profession,0,0
career,vocation,0,0
future,prospect,1,0
future,outlook,1,0
future,destiny,1,-1
art,creativity,0,1
art,expression,0,0
art,beauty,0,1
scientist,researcher,0,1
scientist,investigator,0,0
scientist,innovator,0,0
llm,artificial intelligence,0,0
llm,language model,0,0
llm,machine learn,0,0
literature,book,1,0
literature,narrative,1,0
literature,storytelle,1,0
professor,teacher,0,1
professor,educator,0,0
professor,mentor,0,0
chatgpt,ai,0,-1
chatgpt,assistant,0,-1
chatgpt,conversation,0,-1
teamwork,collaboration,0,1
teamwork,partnership,0,0
teamwork,synergy,0,0
variable,factor,0,0
variable,element,0,0
variable,unknown,0,-1
work,job,0,1
work,task,0,0
work,occupation,0,0
class,group,0,0
class,session,0,0
class,course,0,-1
job,employment,1,0
job,career,1,0
job,profession,1,0
teacher,educator,1,1
teacher,mentor,1,0
teacher,instructor,1,0
study,learn,1,1
study,research,1,0
study,education,1,-1
number,mathematic,0,0
number,statistic,0,0
number,calculation,0,0
homework,study,0,0
homework,practice,0,1
homework,rigor,0,-1
theorem,proof,0,1
theorem,logic,0,0
theorem,theory,0,0
music,melody,0,0
music,creativity,0,1
music,expression,0,0
proof,reasoning,1,0
proof,logic,1,0
proof,certainty,1,0
stem,science,0,1
stem,technology,0,0
stem,engineering,0,0
computation,algorithm,0,0
computation,datum,0,0
computation,processing,0,0
problem - solve,critical thinking,0,0
problem - solve,analysis,0,0
problem - solve,solution,0,1
mathematic,equation,0,0
mathematic,number,0,0
mathematic,concept,0,0
blackboard,chalk,-1,-1
blackboard,write,-1,0
blackboard,learn,-1,1
science,experiment,1,0
science,discovery,1,0
science,knowledge,1,1
experiment,testing,0,-1
experiment,hypothesis,0,0
experiment,analysis,0,0
datum,information,0,0
datum,number,0,0
datum,statistic,0,0
creativity,imagination,1,1
creativity,originality,1,1
creativity,innovation,1,1
success,achievement,1,1
success,goal,1,0
success,fulfillment,1,0
society,community,0,0
society,culture,0,0
society,interaction,0,0
anxiety,stress,-1,-1
anxiety,worry,-1,-1
anxiety,uncertainty,-1,-1
lecture,teach,0,0
lecture,knowledge,0,0
lecture,instruction,0,0
algorithm,process,0,-1
algorithm,logic,0,1
algorithm,step,0,0
philosophy,thought,0,0
philosophy,reasoning,0,0
philosophy,ideal,0,0
history,past,-1,-1
history,event,-1,0
history,lesson,-1,1
model,representation,0,-1
model,framework,0,0
model,example,0,0
logic,reasoning,0,1
logic,structure,0,0
logic,validity,0,0
ai,machine,0,-1
ai,intelligence,0,0
ai,learn,0,0
informatic,computational system,0,0
informatic,data analysis,0,0
informatic,software,0,0
chemistry,element,-1,-1
chemistry,reaction,-1,0
chemistry,lab,-1,1
