cue_word,association_word,cue_valence,associated_valence
literature,wisdom,0,0
literature,story,0,0
literature,emotion,0,0
professor,knowledge,0,0
professor,authority,0,-1
professor,mentor,0,0
computation,logic,0,0
computation,speed,0,-1
computation,code,0,0
science,truth,0,0
science,discovery,0,0
science,experiment,0,0
scientist,curiosity,0,0
scientist,innovation,0,0
scientist,research,0,0
study,focus,0,0
study,effort,0,0
study,progress,0,0
lecture,information,0,0
lecture,structure,0,0
lecture,clarity,0,0
biology,life,0,0
biology,growth,0,0
biology,cell,0,-1
mathematic,pattern,0,0
mathematic,logic,0,0
mathematic,precision,0,0
teacher,guidance,0,0
teacher,support,0,0
teacher,inspiration,0,0
problem - solve,think,0,0
problem - solve,strategy,0,0
problem - solve,clarity,0,0
blackboard,write,0,0
blackboard,clarity,0,0
blackboard,visual,0,0
student,learn,0,0
student,growth,0,0
student,curiosity,0,0
proof,logic,0,0
proof,certainty,0,0
proof,validity,0,0
chatgpt,help,0,0
chatgpt,speed,0,0
chatgpt,tool,0,-1
future,hope,0,0
future,possibility,0,0
future,change,0,-1
homework,task,-1,-1
homework,effort,-1,0
homework,practice,-1,0
exam,stress,-1,-1
exam,pressure,-1,-1
exam,test,-1,-1
stem,innovation,0,0
stem,application,0,0
stem,growth,0,0
ai,technology,0,0
ai,efficiency,0,0
ai,change,0,-1
career,goal,0,0
career,growth,0,0
career,stability,0,0
work,purpose,0,0
work,effort,0,0
work,income,0,-1
physics,law,0,0
physics,universe,0,0
physics,motion,0,0
knowledge,wisdom,0,0
knowledge,understand,0,0
knowledge,power,0,0
creativity,imagination,0,0
creativity,innovation,0,0
creativity,freedom,0,0
art,creativity,0,0
art,expression,0,0
art,freedom,0,0
philosophy,truth,0,0
philosophy,question,0,0
philosophy,reason,0,0
classroom,structure,-1,0
classroom,learn,-1,0
classroom,rule,-1,-1
grade,pressure,-1,-1
grade,performance,-1,0
grade,goal,-1,0
chemistry,molecule,0,0
chemistry,lab,0,0
chemistry,reaction,0,-1
teamwork,trust,0,0
teamwork,collaboration,0,0
teamwork,support,0,0
llm,intelligence,0,0
llm,power,0,0
llm,technology,0,0
theorem,proof,0,0
theorem,logic,0,0
theorem,truth,0,0
model,representation,0,0
model,prediction,0,0
model,design,0,-1
anxiety,fear,-1,-1
anxiety,stress,-1,-1
anxiety,uncertainty,-1,-1
variable,change,-1,0
variable,input,-1,-1
variable,factor,-1,-1
success,achievement,0,0
success,hope,0,0
success,goal,0,0
algorithm,order,0,0
algorithm,precision,0,0
algorithm,code,0,0
music,emotion,0,0
music,rhythm,0,0
music,feel,0,0
job,income,0,0
job,work,0,-1
job,responsibility,0,0
equation,balance,0,0
equation,solution,0,0
equation,math,0,0
society,rule,-1,-1
society,change,-1,0
society,structure,-1,-1
failure,lesson,-1,0
failure,setback,-1,-1
failure,risk,-1,-1
datum,fact,0,0
datum,analysis,0,0
datum,truth,0,0
informatic,system,0,0
informatic,code,0,0
informatic,digital,0,0
experiment,test,0,0
experiment,discovery,0,0
experiment,process,0,-1
number,pattern,0,0
number,calculation,0,0
number,order,0,0
history,memory,-1,0
history,event,-1,-1
history,past,-1,-1
logic,reason,0,0
logic,structure,0,0
logic,truth,0,0
class,group,-1,0
class,study,-1,0
class,time,-1,-1
