cue_word,association_word,cue_valence,associated_valence
society,community,0,1
society,culture,0,0
society,value,0,-1
study,learn,1,1
study,research,1,0
study,discipline,1,0
grade,score,1,0
grade,evaluation,1,0
grade,achievement,1,0
history,past,0,0
history,event,0,0
history,lesson,0,0
biology,life,1,1
biology,cell,1,0
biology,ecology,1,0
datum,information,1,0
datum,analysis,1,0
datum,statistic,1,0
career,job,1,0
career,pathway,1,0
career,goal,1,0
job,work,1,0
job,position,1,0
job,responsibility,1,0
professor,teacher,1,0
professor,mentor,1,0
professor,scholar,1,0
homework,assignment,0,0
homework,practice,0,0
homework,task,0,0
blackboard,chalk,0,-1
blackboard,learn,0,1
blackboard,note,0,0
work,career,1,0
work,task,1,0
work,productivity,1,0
stem,science,1,1
stem,technology,1,0
stem,engineering,1,0
success,achievement,1,0
success,prosperity,1,0
success,goal,1,0
theorem,proof,1,0
theorem,mathematic,1,0
theorem,logic,1,0
science,research,1,0
science,experiment,1,0
science,theory,1,0
classroom,learn,1,1
classroom,education,1,0
classroom,environment,1,0
problem - solve,critical thinking,1,0
problem - solve,analysis,1,0
problem - solve,decision - make,1,0
knowledge,information,1,0
knowledge,understand,1,0
knowledge,wisdom,1,0
mathematic,number,1,0
mathematic,equation,1,0
mathematic,logic,1,0
teamwork,collaboration,1,1
teamwork,cooperation,1,0
teamwork,partnership,1,0
future,possibility,1,0
future,growth,1,0
future,development,1,0
chemistry,element,0,0
chemistry,reaction,0,0
chemistry,laboratory,0,-1
creativity,imagination,1,1
creativity,innovation,1,0
creativity,artistry,1,0
art,paint,1,0
art,music,1,0
art,expression,1,0
model,ai,0,1
model,learn,0,1
model,datum,0,0
experiment,research,0,1
experiment,testing,0,0
experiment,analysis,0,0
philosophy,think,0,0
philosophy,reasoning,0,0
philosophy,idea,0,0
algorithm,process,1,0
algorithm,logic,1,1
algorithm,compute,1,0
scientist,researcher,1,1
scientist,discoverer,1,1
scientist,analyst,1,0
anxiety,stress,-1,0
anxiety,worry,-1,0
anxiety,fear,-1,0
literature,book,0,0
literature,write,0,0
literature,story,0,0
music,melody,1,1
music,sound,1,1
music,art,1,0
class,school,0,0
class,lecture,0,0
class,group,0,0
physics,science,1,1
physics,law,1,0
physics,theory,1,0
llm,language,1,0
llm,model,1,1
llm,ai,1,1
student,learner,1,1
student,pupil,1,1
student,scholar,1,0
logic,reasoning,1,1
logic,argument,1,0
logic,proof,1,1
equation,math,1,0
equation,formula,1,0
equation,solve,1,0
number,digit,0,0
number,count,0,0
number,calculation,0,0
ai,machine,1,0
ai,learn,1,1
ai,intelligence,1,0
informatic,compute,0,0
informatic,datum,0,0
informatic,software,0,0
failure,mistake,-1,-1
failure,error,-1,-1
failure,defeat,-1,-1
proof,evidence,1,1
proof,verification,1,0
proof,logic,1,1
computation,calculation,1,1
computation,processing,1,0
computation,algorithm,1,1
teacher,educator,1,1
teacher,mentor,1,1
teacher,guide,1,0
exam,test,0,-1
exam,assessment,0,0
exam,evaluation,0,0
chatgpt,ai,1,1
chatgpt,language,1,0
chatgpt,model,1,1
variable,parameter,0,0
variable,value,0,0
variable,change,0,0
lecture,class,0,0
lecture,presentation,0,0
lecture,teach,0,0
